H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
ASP and ASP.NET Tutorials,,"The ASP Technology,Classic ASP - Active Server Pages,ASP.NET,ASP.NET Web Pages,ASP.NET MVC,ASP.NET Web API,ASP.NET Web Forms,ASP.NET Core",,"ASP supports many different development models:,ASP and ASP.NET are server side technologies.,Both technologies enable computer code to be executed by an Internet server.,When a browser requests an ASP or ASP.NET file, the ASP engine reads the file, executes 
any code in the file, and returns the result to the browser.,ASP (aka Classic ASP) was introduced in 1998 
as Microsoft's first server side scripting language.,Classic ASP pages have the file extension , and are normally written in VBScript.,ASP.NET was released in 2002 as a successor to Classic ASP.,ASP.NET pages have the extension , and are normally written in C# (C sharp).,ASP.NET 4.6 is the latest official version of ASP.NET.,ASP.NET 5 was expected to be an important redesign of ASP.NET.,However, the development of ASP.NET 5 was stopped in favor of 
,. ,ASP.NET Web Pages is an SPA application model (Single Page Application).,The SPA model is quite similar to PHP and Classic ASP.,ASP.NET Web Pages is being merged into the new ASP.NET Core.,ASP.NET MVC is an MVC application model (Model-View-Controller).,ASP.NET MVC is being merged into the new ASP.NET Core.,ASP.NET MVC is not covered in this tutorial.
,ASP.NET API is an API application model (Application Programming Interface).,ASP.NET API is being merged into the new ASP.NET Core.,ASP.NET API is not covered in this tutorial.,ASP.NET Web Forms is an event driven application model.,ASP.NET Web Forms is , a part of the new ASP.NET Core.,ASP.NET Web Forms is , covered in this tutorial.,ASP.NET Core was released in 2016.,ASP.NET Core merges ASP.NET MVC, ASP.NET Web API, and ASP.NET Web Pages into 
one application framework.,ASP.NET Core is not covered in this tutorial.","Classic ASP,ASP.NET Web Forms,ASP.NET MVC,ASP.NET Web Pages,ASP.NET API,ASP.NET Core",,
ASP.NET Razor ,- VB Logic Conditions,"The If Condition,The Else Condition,The ElseIf Condition,Select Conditions","Example,Example,Example,Example","Programming Logic: Execute code based on conditions.,VB lets you execute code based on conditions.,To test a condition you use the ,. The if 
statement returns true or false, based on your test:,An if statement can include an ,.,The else condition defines the code to be executed if the condition is false., In the example above, if the first condition is true, it will be executed. 
The else condition covers ""everything else"".,Multiple conditions can be tested with an ,: ,In the example above, if the first condition is true, it will be executed.,If not, then if the next condition is true, this condition will be executed.,You can have any number of else if conditions.,If none of the if or else if conditions are true, the last else block 
(without a condition) covers ""everything else"".,A , can be used to test a number of individual conditions:,
""Select Case"" is followed by the test value (day). Each individual test condition has a case 
value, and any number of code lines. If the test value matches the case value, the code lines 
are 
executed. 
,
A select block can have a default case (Case Else) for  
""everything else"" that runs if none of the other cases are true.
","The if statement starts a code block,The condition is written between if and then,The code between if ... then and end if is executed if the test is true",,
ASP.NET Razor ,- VB Loops and Arrays,"For Loops,For Each Loops,While Loops,Arrays","Example,Example,Example,Example","Statements can be executed repeatedly in loops.,If you need to run the same statements repeatedly, you can program a loop.,If you know how many times you want to loop, you can use a ,. This 
kind of loop is especially useful for counting up or counting down:,If you work with a collection or an array, you often use a ,.,A collection is a group of similar objects, and the for each loop lets 
you carry out a task on each item. The for each loop walks through a 
collection until it is finished.,The example below walks through the ASP.NET Request.ServerVariables 
collection.,The , is a general purpose loop. ,A while loop begins with the while keyword, followed by parentheses, where you 
specify how long the loop continues, then a block to repeat.,While loops typically add to, or subtract from, a 
variable used for counting.,In the example below, the += operator adds 1 to the variable i, each time the 
loop runs.,An array is useful when you want to store similar variables but don't want to 
create a separate variable for each of them:",,,
ASP ,Syntax,"ASP Uses VBScript,ASP Files,Using JavaScript in ASP,More Examples,VBScript Examples,VBScript Reference","Example,Example,Example,Example,Example","All our examples shows the ASP code in red.,This makes it easier for you to understand how 
ASP works.,A scripting language is a lightweight programming language.,VBScript is a light version of Microsoft's Visual Basic.,ASP files can be ordinary HTML files. In addition, ASP files can also contain server scripts.,Scripts surrounded by <% and %> are executed on the server.,The , method is used by ASP to write output to HTML.,The following example writes ""Hello World"" into HTML:,To set JavaScript as the scripting language for a web page you must insert a language specification at the top of the page:,There is an easy shortcut to Response.Write(). You can use an equal sign (=) 
instead. ,The following example also writes ""Hello World"" into HTML:,HTML tags can be a part of the output:,HTML attributes can be a part of the output:,This tutorial contains a lot of VBScript examples.,This tutorial has complete VBScript reference.",,,
ASP ,Variables,"More Examples,Do You Remember Algebra from School?,VBScript Variables,Declaring (Creating) VBScript Variables,Assigning Values to Variables,VBScript Array Variables,The Lifetime of Variables ",Example,"Variables are ""containers"" for storing information.,
This example demonstrates how to declare a variable, assign a value to it, and use the value in a text.,
Arrays are used to store a series of related data items. This example demonstrates how to 
create an array that stores names.,
How to loop through the six headings in HTML.,
This example will display a different message to the user depending on the time on the server.,
This example is the same as the one above, but the syntax is different.,
,
How to create a variable, assign a value to it, and then change the value of it.,
,
How to insert a variable value in a text.,Do you remember algebra from school? x=5, y=6, z=x+y,Do you remember that a letter (like x) could be used to hold a value (like 5), and that you could use the information above to calculate the value of z to be 11?,These letters are called ,, and variables can be used to hold values (x=5) or expressions (z=x+y).,As with algebra, VBScript variables are used to hold values or expressions.,A variable can have a short name, like x, or a more descriptive name, like carname.,Rules for VBScript variable names:,In VBScript, all variables are of type ,, that can store different types of data.,Creating variables in VBScript is most often referred to as ""declaring"" variables.,You can declare VBScript variables with the Dim, Public or the Private statement. Like this:,Now you have created two variables. The name of the variables are ""x"" and ""carname"".,You can also declare variables by using its name in a script. Like this:,Now you have also created a variable. The name of the variable is ""carname"". However, this method is not a good practice, because you can misspell the variable name later
in your script, and that can cause strange results when your script is running., If you misspell for example the ""carname"" variable to ""carnime"", 
the script will automatically create a new variable called ""carnime"".  To prevent your script from doing this, you can use the Option Explicit statement.
This statement forces you to declare all your variables with the dim, public or 
private statement., Put the Option Explicit statement on the top of your script. Like this:,You assign a value to a variable like this:,The variable name is on the left side of the expression and the value you want to
assign to the variable is on the right. Now the variable ""carname"" has
the value of ""Volvo"", and the variable ""x"" has the value of ""10"".,An array variable is used to store multiple values in a single variable.,
In the following example, an array containing
3 elements is declared:
,The number shown in the parentheses is 2. We start at zero so this array contains 3 elements. This is a fixed-size array.
You assign data to each of the elements of the array like this:,Similarly, the data can be retrieved from any element using the index of the particular array element you want.
Like this:,You can have up to 60 dimensions in an array. Multiple dimensions are declared by separating
the numbers in the parentheses with commas. Here we have a two-dimensional array consisting of 5 rows and 7 columns:
,Assign data to a two-dimensional array:,A variable declared outside a procedure can be accessed and changed by any script in the ASP file. ,A variable declared inside a procedure is created and destroyed every time the procedure is executed. No scripts outside the procedure can access or change the variable. ,To declare variables accessible to more than one ASP file, declare them as session variables or application variables.,Session variables are used to store information about ONE single user, and are available to all pages in one application. Typically information stored in session variables are name, id, and preferences.,Application variables are also available to all pages in one application. Application variables are used to store information about ALL users in one specific application.","Must begin with a letter ,Cannot contain a period (.),Cannot exceed 255 characters",,
VBScript ,Conditional Statements,"Conditional Statements,If...Then...Else,If...Then...ElseIf,Select Case","Example,Example,Example","Conditional statements are used to perform different actions for different decisions.,In VBScript we have four conditional statements:,Use the If...Then...Else statement if you want to,
If you want to execute only , statement when a condition is true, you can write the code on one line:,There is no ..Else.. in this syntax. You just tell the code to
perform , if a condition is true (in this case If i=10).
,If you want to execute , statement when a condition is true,
you must put each statement on separate lines, and end the statement with the
keyword ""End If"":
,There is no ..Else.. in the example above either. You just tell the code to perform , if the condition is true.,If you want to execute a statement if a condition is true and execute another statement if the condition is not true, you must add the ""Else""
keyword:,
In the example above, the first block of code will be executed if the condition is true, and the other block
will be executed otherwise (if i is greater than 10).
,You can use the If...Then...ElseIf statement if you want to select one of many blocks of
code to execute:,You can also use the ""Select Case"" statement if you want to select one of many blocks of
code to execute:,This is how it works: First we have a single expression (most often a
variable), that is evaluated once. The value of the expression is then compared with the
values for each Case in the structure. If there is a match, the block of code
associated with that Case is executed."," - executes a set of code when a condition is true,  - select one of two sets of lines to execute,  - select one of many sets of lines to execute, - select one of many sets of lines to execute,execute some code if a condition is true,select one of two blocks of code to execute",,
ASP Tutorial,,"Easy Learning with ""Show Example"",What is ASP?,What is an ASP File?,What can ASP do for you?,How Does it Work?,ASP References,ASP Examples",Example,"This ASP tutorial contains hundreds of examples.,Our ""Show Example"" tool makes it easy to learn ASP, because it shows ASP  
code with parallel HTML output.,When a browser requests a normal HTML file, the server just returns the file.,When a browser requests an ASP file, the server passes the request to the ASP engine 
which reads the ASP file and executes the server scripts in the file.,Finally the ASP file is returned to the browser as plain HTML.,At W3Schools you will find complete ASP references about built-in objects and 
components, and their properties and methods.,Learn by 100 examples! Because ASP scripts are executed on the server, you
can not view ASP code in a browser, you will only see the output from ASP which
is plain HTML. At W3Schools every example displays the hidden ASP code. This
will make it easier for you to understand how it works., ","ASP stands for ,ctive ,erver ,ages,ASP is a Microsoft Technology,ASP is a program that runs inside a web server,An ASP file has the file extension "".asp"",An ASP file is just the same as an HTML file,An ASP file can contain server scripts in addition to HTML,Server scripts in an ASP file are executed on the server,Edit, change, add content, or customize any web page,Respond to user queries or data submitted from HTML forms,Access databases or other server data and return results to a browser,Provide web security since ASP code cannot be viewed in a browser,Offer simplicity and speed",,
ASP ,Procedures,"Procedures ,Differences Between VBScript and JavaScript,VBScript Procedures,VBScript Sub Procedures,VBScript Function Procedures,Calling a Procedure,More Examples","Example,Example,Example,Example,Example","In ASP you can call a JavaScript procedure from a VBScript and vice versa. ,The ASP source code can contain procedures and functions: ,Insert the <%@ language="","" %> line above the
<html> tag to write the procedure/function in another scripting language: ,When calling a VBScript or a JavaScript procedure from an ASP file written in VBScript, you can use the
""call"" keyword followed by the procedure name. If a procedure requires
parameters, the parameter list must be enclosed in parentheses when using the
""call"" keyword. If you omit the ""call"" keyword, the
parameter list must not be enclosed in parentheses. If the procedure has no
parameters, the parentheses are optional.,When calling a JavaScript or a VBScript procedure from an ASP file written in JavaScript,
always use parentheses after the procedure name.,VBScript has two kinds procedures:,A Sub procedure:,or,A Function procedure:,or,This simple function procedures is called to calculate the sum of two arguments:,The function ""myfunction"" will return the sum of argument ""a"" and argument 
""b"". In this case 14.,When you call a procedure you can use the Call statement, like this:,Or, you can omit the Call statement, like this:
,
How to call both a JavaScript procedure and a VBScript procedure in an ASP file.","Sub procedure,Function procedure,is a series of statements, enclosed by the Sub and End Sub statements,can perform actions, but , a value,can take arguments,is a series of statements, enclosed by the Function and End Function statements,can perform actions and , a value,can take arguments that are passed to it by a calling procedure,without arguments, must include an empty set of parentheses (),returns a value by assigning a value to its name",,
VBScript ,Looping,"Looping Statements,For...Next Loop,For Each...Next Loop,Do...Loop,More Examples","Example,Example","Looping statements are used to run the same block of code a specified number of times.,In VBScript we have four looping statements:,Use the , statement to run a block of code a specified number of times.
,The , statement specifies the counter variable (,), and its start and end
values. The , statement increases the counter variable (,) by one.,With the , keyword, you can increase or decrease the counter variable by the value you specify.,In the example below, the counter variable (,) is INCREASED by two, each time the loop repeats.,To decrease the counter variable, you must use a negative , value. You must specify an end value that is less than the start value.,In the example below, the counter variable (,) is DECREASED by two, each time the loop repeats.,You can exit a For...Next statement with the Exit For keyword.,A , loop repeats a block of code for each item in a collection, or for each element of an array.,
If you don't know how many repetitions you want, use a Do...Loop statement.,
The Do...Loop statement repeats a block of code while a condition is
true, or until a condition becomes true.
,
You use the While keyword to check a condition in a Do...Loop statement.
,If , equals 9, the code inside the loop above will never be executed.,
The code inside this loop will be executed at least one time, even if , is less than 10.
,
You use the Until keyword to check a condition in a Do...Loop statement.
,
If , equals 10, the code inside the loop will never be executed.
,The code inside this loop will be executed at least one time, even if , is equal to 10.,
You can exit a Do...Loop statement with the Exit Do keyword.
,
The code inside this loop will be executed as long as , is different
from 10, and as long as , is greater than 10.
,
,
How to loop through the six headings in html.
,
,
How to make a simple , loop.
","- runs code a specified number of times,- runs code for each item in a collection or each element of an array,- loops while or until a condition is true,- Do not use it - use the Do...Loop statement instead",,
ASP.NET Razor ,- VB Variables,"Variables,Data Types,Operators,Converting Data Types",Examples,"Variables are named entities used to store data.,Variables are used to store data.,The name of a variable must begin with an alphabetic character and 
cannot contain whitespace or reserved characters. ,A variable can be of a 
specific type, indicating the kind of data it stores. String variables store 
string values (""Welcome to W3Schools""), integer variables store number values 
(103), date variables store date values, etc.,Variables are declared 
using the Dim keyword, or by using the type (if you want to declare the type), 
but ASP.NET can usually determine data types automatically.,Below is a list of  common data types:,An operator tells ASP.NET what kind of command to perform in an expression., The VB language supports many operators. Below is a list of common operators:,Converting from one data type to another is sometimes useful.,The most 
common example is to convert string input to another type, such as an integer or 
a date.,As a rule, user input comes as strings, even if the user entered a number. 
Therefore, numeric input values must be converted to numbers before they can be 
used in calculations.,Below is a list of common conversion methods:",,,
