H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
AWS Cloud Practitioner Tutorial,,"AWS Cloud Tutorial,Why Learn AWS Cloud?,Tutorial Overview",,"This skill offers many job opportunities.,AWS is one of the major cloud providers.,You can do everything in the AWS cloud.,: Text and video.,: None.,: Eight hours.,: W3schools.com collaborates with Amazon Web Services on this tutorial to deliver digital training content to our students.",,,
AWS Cloud Regions,,"Introduction AWS Regions,AWS Regions Video,Selecting a Region,Government Regulations and Data Governance,Customer Proximity,Region Availability Services,Pricing",,"AWS has Data Centers all over the world.,W3schools.com collaborates with Amazon Web Services to deliver digital training content to our students.,There are different reasons to choose a specific region.,Some countries do not allow sensitive data to be processed and stored abroad.,Your company might require that all company data shall reside in the country.,Selecting a region near your customers can help to make the services faster.,All AWS Data Centers do not support all services and features.,AWS makes new services all the time.,Making services available requires AWS to build infrastructure in the Data Centers.,As a result, the services might not have come to a Data Center near you yet.,You can select a region to access specific services.,There are many factors in how the prices are set.,For example, the prices might vary from region to region.,You will learn more about pricing in a later chapter.",,,
AWS Cloud Infrastructure,,"Introduction AWS Infrastructure,Introduction to AWS Global Infrastructure",,"AWS has global infrastructure with Data Centers all over the world.,Deploy apps across the globe or to a specific location.,Build and deploy where you want.,W3schools.com collaborates with Amazon Web Services to deliver digital training content to our students.,You will learn more about AWS Global Infrastructure in the following chapters. ",,,
AWS Cloud Elastic Beanstalk,,"Introduction to AWS Elastic Beanstalk Video,Cloud Orchestration Service - Elastic Beanstalk,AWS Elastic Beanstalk Supported Platforms",,"Elastic Beanstalk is an orchestration service.,W3schools.com collaborates with Amazon Web Services to deliver digital training content to our students.,Elastic Beanstalk is a web infrastructure management service.,Beanstalk handles deployment and scaling for web applications and services.,Elastic Beanstalk helps automatically manage AWS services' setup, configuration, scaling and provisioning.,Automatically managed AWS services: ,, ,, ,, ,, and Amazon SimpleDB.,Elastic Beanstalk supports many platforms such as:","Docker,Java with Tomcat,.NET,Ruby,AWS Documentation: ",,
AWS Cloud Availability Zones,,"Introduction to Availability Zones,AWS Availability Zones Video,Availability Zones Illustration",,"Availability Zone is a single Data Center or a group of Data Centers in a region.,In an Availability Zone the Data Centers are located many miles apart from each other.,Having them apart reduces the risk of them all going down if a disaster happens in the region.,Simultaneously, have the Data Center(s) close enough to have low latency.,
,W3schools.com collaborates with Amazon Web Services to deliver digital training content to our students.,This picture illustrates how the Availability Zones works:,Three regions (orange circles): N. California, Oregon, GovCloud(US-West).,The regions have availability zones (blue circles) displayed as a grid around them.,The picture zooms in on the N. California region.,N. California has an availability zone of three groupings of Data Centers: US-West-1A, US-West-1B, and US-West-1C.,Image created by Amazon Web Services,The Availability Zones setup makes the cloud services robust., In the next chapter, you will learn about Edge Locations.",,,
AWS Second Recap,,"Module Overview,Second Recap Video",,"In this first section, you have been introduced to the following concepts:,Refresh your memory by watching the summary video.,W3schools.com collaborates with Amazon Web Services to deliver digital training content to our students.,Related reads:","
",,
AWS Cloud First Recap,,"Module Overview,First Recap Video",,"In this first section, you have been introduced to the following concepts:,Refresh your memory by watching the summary video.,W3schools.com collaborates with Amazon Web Services to deliver digital training content to our students.,Related reads:","
",,
AWS Cloud Resource Provisioning,,"How to Provision AWS Resources Video, Part 1,Ways to Interact with AWS Services,AWS Management Console,AWS Command Line Interface,Software Development Kits",,"W3schools.com collaborates with Amazon Web Services to deliver digital training content to our students.,There are three main ways to interact with AWS services.,The AWS Management Console is a web-based interface.,It is used to access and manage AWS services., AWS Command Line Interface is also called ""AWS CLI"".,CLI saves you time when making API requests.,It allows you to control multiple AWS services with one tool.,CLI allows you to automate actions on services with scripts.,Software development kits are also called ""SDKs"".,SDKs is another option to access and manage AWS services.,It eases the use of AWS services through an API.,The API is fitted to the platform or programing language that you use.,SDKs can be used on existing applications or new ones built on AWS.",,,
AWS Cloud Edge Locations,,"Introduction Edge Locations,AWS Edge Location Video,Fast Delivery,What is Cache?,How Cache Works",,"Edge Location is the Data Center used to deliver content fast to your users.,It is the site that is nearest your users.,W3schools.com collaborates with Amazon Web Services to deliver digital training content to our students.,The AWS Edge Locations uses a service called CloudFront.,CloudFront is used to store cached copies of your content.,Resulting in fast delivery of your content.,Caching helps the software to deliver content faster and cheaper.,Cache is fast storage that copies and stores parts of data.,The data is stored in hardware that can deliver content fast, for example, RAM (Random-access memory).,The main job of the cache is to deliver content fast.,The data is saved in the fast hardware layer so that it does not have to use the slow storage hardware.,The cache saves subsets of the data, making it available.,Once someone requests the data, it is copied and stored at the Edge Location.,When the next person requests the same data, it will be delivered faster from the nearest Edge Location.",,,
AWS Cloud Provision Services,,"How to Provision AWS Resources Video, Part Two,AWS Elastic Beanstalk,AWS CloudFormation",,"AWS offers two managed tools: , and ,.,W3schools.com collaborates with Amazon Web Services to deliver digital training content to our students.,With AWS Elastic Beanstalk, you provide code and configuration settings.,Elastic Beanstalk deploys the resources necessary to perform the following tasks:,With AWS CloudFormation, you can treat your infrastructure as code.,Using this service you can build an environment by writing lines of code.,Instead of using the AWS Management Console to provision resources individually.,You got it! You will learn more about , and , in the following chapters.","Adjust capacity,Load balancing,Automatic scaling,Application health monitoring",,
AWS Cloud Fargate,,"Serverless Compute for Containers - AWS Fargate,Introduction to AWS Fargate Video,How AWS Fargate Works",,"It helps to deploy and manage applications.,Fargate manages the infrastructure for you.,You do not have to think about the provision of servers and infrastructure management when using Fargate.,W3schools.com collaborates with Amazon Web Services to deliver digital training content to our students.,It is a serverless service.,Fargate has a pay-as-you-go pricing model.,It lets you focus on doing the most important thing, building your awesome applications.",,,
AWS CloudFormation,,"Infrastructure Automation Platform - AWS CloudFormation Video,What is CloudFormation",,"AWS CloudFormation helps to automate resource provision.,W3schools.com collaborates with Amazon Web Services to deliver digital training content to our students.,CloudFormation is an infrastructure service.,It lets you create templates that describe the AWS services that you want.,Then, it handles the config and provisioning of the resources described in the template.,It makes it easier because you do not have to configure the resources individually.,CloudFormation helps to handle the dependencies between the resources.,Read more about AWS CloudFormation at ",,,
AWS EKS - Elastic Kubernetes Service,,"Kubernetes on the AWS Cloud - AWS ECS,What is Kubernetes?,How AWS EKS works",,"AWS Elastic Kubernetes Service is also called ,EKS is a managed service that lets you run Kubernetes on AWS.,It is built for scaling with Kubernetes.,Kubernetes is open-source software.,It helps you deploy and manage containerized applications.,Kubernetes has a large community.,AWS continuously keeps the AWS EKS service updated to the latest Kubernetes features.,AWS EKS is used to run and scale Kubernetes applications in the cloud and on-premises.,Deploy applications in different ways:","Cloud Deployment,Deployment on your infrastructure,Deployment with your tools",,
AWS ECS - Elastic Container Service,,"Elastic Container Service - AWS ECS,Introduction to AWS ECS Video,AWS ECS and Docker",,"ECS helps you run containerized applications.,It is a management system built for scale and high performance.,W3schools.com collaborates with Amazon Web Services to deliver digital training content to our students.,ECS supports Docker.,Docker is a platform that helps you build, test, and deploy applications.",,,
AWS Cloud Containers,,"Containers in the AWS Cloud,Containerized Approach,Containers and Scale",,"Containers are popular for deploying and managing applications in the cloud.,Containers let you package code in a single object.,The container isolates the code and removes the dependencies to other components.,It runs in isolation.,Containers are an essential concept in microservice architectures.,Having the application in a container makes debugging easier.,It makes it easier because the application is inside of an isolated container.,The container remains consistent regardless of deployment.,Image created by Amazon Web Services,The picture illustrates one host with containers.,It is important to design for scale when using containers.,There could be tens of hosts with hundreds of containers as the environment grows.,One should prepare for how to manage operations at scale.,Image created by Amazon Web Services,This picture illustrates containers in a scaled environment.",,,
