H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
AngularJS Tutorial,,"This Tutorial,Try it Yourself Examples in Every Chapter,What You Should Already Know,AngularJS History,AngularJS Examples,AngularJS Reference",AngularJS Example,"This tutorial is specially designed to help you learn AngularJS as quickly and efficiently as possible.,First, you will learn the basics of AngularJS: directives, expressions, 
filters, modules, and controllers.,Then you will learn everything else you need to know about AngularJS:,Events, DOM, Forms, Input, Validation, Http, and more.,In every chapter, you can edit the examples online, and click on a button to view the result. ,Before you study AngularJS, you should have a basic understanding of:,AngularJS version 1.0 was released in 2012.,Miško Hevery, a Google employee, started to work with AngularJS in 2009.,The idea turned out very well, and the project is now officially supported by 
Google.,W3Schools' AngularJS tutorial contains lots of AngularJS examples!,The AngularJS reference contains all directives and filters used in this tutorial.",,"
<!DOCTYPE html>,
<html lang=""en-US"">,<script src=""https://ajax.googleapis.com/ajax/libs/angularjs/1.6.9/angular.min.js""></script>,
<body>,
<div ng-app="""">,
     <p>Name : <input type=""text"" ng-model=""name""></p>,
     <h1>Hello {{name}}</h1>,
</div>,
</body>,
</html>
",
AngularJS API,,AngularJS Global API,"Example,Example,Example,Example","API stands for ,pplication 
,rogramming ,nterface.,The AngularJS Global API is a set of global JavaScript functions for 
performing common tasks 
like:,The Global API functions are accessed using the angular object.,Below is a list of some common API functions:","Comparing objects,Iterating objects,Converting data","
<div ng-app=""myApp"" ng-controller=""myCtrl"">,
  
 <p>{{ x1 }}</p>,  <p>{{ x2 }}</p>,</div>,
<script>,
var app = angular.module('myApp', []);,
app.controller('myCtrl', function($scope) {,
 
$scope.x1 = ""JOHN"";,
 
$scope.x2 = angular.lowercase($scope.x1);,
});,
</script>
,
<div ng-app=""myApp"" ng-controller=""myCtrl"">,
  
 <p>{{ x1 }}</p>,  <p>{{ x2 }}</p>,</div>,
<script>,
var app = angular.module('myApp', []);,
app.controller('myCtrl', function($scope) {,
 
$scope.x1 = ""John"";,
 
$scope.x2 = angular.uppercase($scope.x1);,
});,
</script>
,
<div ng-app=""myApp"" ng-controller=""myCtrl"">,
  
 <p>{{ x1 }}</p>,  <p>{{ x2 }}</p>,</div>,
<script>,
var app = angular.module('myApp', []);,
app.controller('myCtrl', function($scope) {,
 
$scope.x1 = ""JOHN"";,
 
$scope.x2 = angular.isString($scope.x1);,
});,
</script>
,
<div ng-app=""myApp"" ng-controller=""myCtrl"">,
  
 <p>{{ x1 }}</p>,  <p>{{ x2 }}</p>,</div>,
<script>,
var app = angular.module('myApp', []);,
app.controller('myCtrl', function($scope) {,
 
$scope.x1 = ""JOHN"";,
 
$scope.x2 = angular.isNumber($scope.x1);,
});,
</script>
",
AngularJS Form Validation,,"Form Validation,Required,E-mail,Form State and Input State,CSS Classes,Custom Validation,Validation Example","Example,Example,Example,Example,Example,Example","AngularJS can validate input data.,AngularJS offers client-side form validation.,AngularJS monitors the state of the form and input fields (input, textarea, 
select), and lets you notify the user about the current state.,AngularJS also holds information about whether they have been touched, or 
modified, or not.,You can use standard HTML5 attributes to validate input, or you can make your own validation functions.,Use 
the HTML5 attribute , to specify that the input field must 
be filled out:,Use the HTML5 type , to specify that the value must be an e-mail:,AngularJS is constantly updating the state of both the form and the input fields.,Input fields have the following states:,They are all properties of the input field, and are either , 
or ,.,Forms have the following states:,They are all properties of the form, and are either , 
or ,.,You can use these states to show meaningful messages to the user. Example, if 
a field is required, and the user leaves it blank, you should give the user a 
warning:,AngularJS adds CSS classes to forms and input fields depending on their states.,The following classes are added to, or removed from, input fields:,The following classes are added to, or removed from, forms:,The classes are removed if the value they represent is ,.,Add styles for these classes to give your application a 
better and more intuitive user interface.,Forms can also be styled:,To create your own validation function is a bit more tricky; You have to add a 
new directive to your application, and deal with the validation inside a 
function with certain specified arguments.,In HTML, the new directive will be referred to by using the attribute ,.,In the JavaScript we start by adding a new directive named ,.,Remember, when naming a directive, you must use a camel case name, ,, but when invoking it, you must use , separated name, 
,.,Then, return an object where you specify that we require  ,, 
which is the ngModelController.,Make a linking function which takes some arguments, where the fourth 
argument, ,, is the ,,,Then specify a function, in this case named ,, which 
takes one argument, this argument is the value of the input element.,Test if the value contains the letter ""e"", and set the validity of the model 
controller to either , or ,.,At last, , will add the , function to an array of other functions, which will be 
executed every time the input value changes.,The AngularJS directive , binds the input elements to the model.,The model object has two properties: , and ,.,Because of ,, the spans with color:red are displayed only 
when user or email is , and ,."," The field has not been touched yet, The field has been touched, The field has not been modified yet, The field has been modified, The field content is not valid, The field content is valid, No fields have been modified yet, One or more have been modified, The form content is not valid, The form content is valid, The form is submitted, The field has not been touched yet, The field has been touched, The field has not been  modified yet, The field has been modified, The field content is valid, The field content is not valid, One , for each validation. 
    Example: ,, useful when there are more than one 
    thing that must be validated, Example: , No fields has not been modified yet, One or more fields has been modified, The form content is valid, The form content is not valid, One , for each validation. 
    Example: ,, useful when there are more than one 
    thing that must be validated, Example: ","
    <form name=""myForm"">,  <input name=""myInput"" ng-model=""myInput"" 
    required>,</form>,<p>The input's valid state is:</p>,
    <h1>{{myForm.myInput.$valid}}</h1>,
    <form name=""myForm"">,  <input name=""myInput"" ng-model=""myInput"" 
    type=""email"">,</form>,<p>The input's valid state is:</p>,
    <h1>{{myForm.myInput.$valid}}</h1>,
    <input name=""myName"" ng-model=""myName"" required>,<span ng-show=""myForm.myName.$touched 
    && myForm.myName.$invalid"">The name is required.</span>,
    <!DOCTYPE html>,<html>,<script src=""https://ajax.googleapis.com/ajax/libs/angularjs/1.6.9/angular.min.js""></script>,
    <body>,
    ,<h2>Validation Example</h2>,<form  ng-app=""myApp""  
    ng-controller=""validateCtrl"",name=""myForm"" novalidate>,
    <p>Username:<br>,  <input type=""text"" name=""user"" ng-model=""user"" 
    required>,  <span style=""color:red"" ng-show=""myForm.user.$dirty && 
    myForm.user.$invalid"">,  <span ng-show=""myForm.user.$error.required"">Username 
    is required.</span>,  </span>,</p>,<p>Email:<br>,  
    <input type=""email"" name=""email"" ng-model=""email"" required>,  <span 
    style=""color:red"" ng-show=""myForm.email.$dirty && myForm.email.$invalid"">,  
    <span ng-show=""myForm.email.$error.required"">Email is required.</span>,  
    <span ng-show=""myForm.email.$error.email"">Invalid email address.</span>,  
    </span>,</p>,<p>,  <input type=""submit"",  
    ng-disabled=""myForm.user.$dirty && myForm.user.$invalid ||,  
    myForm.email.$dirty && myForm.email.$invalid"">,</p>,</form>,
    ,<script>,var app = angular.module('myApp', []);,app.controller('validateCtrl', 
    function($scope) {,  $scope.user = 'John Doe';,  $scope.email = 'john.doe@gmail.com';,
    });,</script>,</body>,</html>
",
AngularJS Application,,"Make a Shopping List,Application Explained","Example,Example,Example,Example,Example","It is time to create a real AngularJS Application.,Lets use some of the AngularJS features to make a shopping list, where you can 
add or remove items:,Start by making an application called ,, and add a 
controller named , to it.,The controller adds an array named , to the current 
,.,In the HTML, we use the , directive to display a list 
using the items in the array.,In the HTML, add a text field, and bind it to the application with the , 
directive.,In the controller, make a function named ,, and use the 
value of the , input field to add an item to the , array.,Add a button, and give it an , directive that will run 
the , function when the button is clicked.,We also want to be able to remove items from the shopping list.,In the controller, make a function named ,, which takes 
the index of the item you want to remove, as a parameter.,In the HTML, make a , element for each item, and give them 
an , directive which calls the , 
function with the current ,.,The application has some errors, like if you try to add the same item twice, 
the application crashes. Also, it should not be allowed to add empty items.,We will fix that by checking the value before adding new 
items.,In the HTML, we will add a container for error messages, and write an error 
message when someone tries to add an existing item.,The application works, but could use a better design. We use the W3.CSS stylesheet to style our application.,Add the W3.CSS stylesheet, and include the proper classes throughout the 
application, and the result will be the same as the shopping list at the top of 
this page.",{{x}},,
AngularJS Forms,,"Input Controls,Data-Binding,Checkbox,Radiobuttons,Selectbox,An AngularJS Form Example,Application Code,Example Explained","Example,Example,Example,Example, Example","Forms in AngularJS provides data-binding and validation of input controls.,Input controls are the HTML input elements:,Input controls provides data-binding by using the
, directive.,The application does now have a property named ,.,The , directive binds the input controller to the rest of 
your application.,The property ,, can be referred to in a controller:,It can also be referred to elsewhere in the application:,A checkbox has the value , or ,. Apply the
, directive to a checkbox, and use its value in your 
application.,Bind radio buttons to your application with the , 
directive.,Radio buttons with the same , can have different values, 
but only the selected one will be used.,The value of myVar will be either ,, ,, or 
,.,Bind select boxes to your application with the , 
directive.,The property defined in the , attribute will have the 
value of the selected option in the selectbox.,The value of myVar will be either ,, ,, or 
,.,
The , directive defines the AngularJS application.,
The , directive defines the application controller.,
The , directive binds two input elements to the , object in the model.,
The , controller sets initial values to the
, object, and defines the , method.,
The , method sets the , 
object 
equal to the , object. ,
The , directive invokes the , 
method, only if the button is clicked.,
The novalidate attribute is not needed for this application, but normally you 
will use it in AngularJS forms, to override standard HTML5 validation.","input elements,select elements,button elements,textarea elements","
    <input type=""text"" ng-model=""firstname"">
,
    <script>,var app = angular.module('myApp', []);,app.controller('formCtrl', 
    function($scope) {,  $scope.firstname = ""John"";,});,
    </script>,
    <form>,  First Name: <input type=""text"" ng-model=""firstname"">,
    </form>,<h1>You entered: {{firstname}}</h1>,
     <form>,  Check to show a header:,  <input type=""checkbox"" ng-model=""myVar"">,</form>,<h1 ng-show=""myVar"">My 
    Header</h1>,
    <form>,  Pick a topic:,  <input type=""radio"" ng-model=""myVar"" 
    value=""dogs"">Dogs,  <input type=""radio"" ng-model=""myVar"" value=""tuts"">Tutorials,
     
    <input type=""radio"" ng-model=""myVar"" value=""cars"">Cars,</form>,
        <form>,  Select a topic:,  <select ng-model=""myVar"">,    
        <option value="""">,    <option value=""dogs"">Dogs,    
        <option value=""tuts"">Tutorials,    <option 
        value=""cars"">Cars,  </select>,</form>,
    <div ng-app=""myApp"" ng-controller=""formCtrl"">,  <form 
    novalidate>,    First Name:<br>,    
    <input type=""text"" ng-model=""user.firstName""><br>,    Last 
    Name:<br>,    <input type=""text"" ng-model=""user.lastName"">,
        
    <br><br>,    <button ng-click=""reset()"">RESET</button>,  
    </form>,
      <p>form = {{,user}}</p>,
      <p>master = {{,master}}</p>,</div>,<script>,
    var app =
    angular.module('myApp', []);,app.controller('formCtrl',  
    function($scope) {,
      $scope.master = {firstName: ""John"", lastName: ""Doe""};,
      $scope.reset = function() {,    $scope.user 
    = angular.copy($scope.master);,  };,  $scope.reset();,});,
    </script>
",
AngularJS and W3.CSS,,"W3.CSS,HTML Code,Directives (Used Above) Explained,W3.CSS Classes Explained,JavaScript Code,JavaScript Code Explained",myUsers.js,"You can easily use w3.css style sheet together with AngularJS. This chapter demonstrates how.,To include W3.CSS in your AngularJS application, add the following 
line to the head of your document:,If you want to study W3.CSS, visit our ,.,Below is a complete HTML example, with all AngularJS directives and 
W3.CSS classes explained.",,"
<link rel=""stylesheet"" href=""https://www.w3schools.com/w3css/4/w3.css"">
,
    <!DOCTYPE html>,<html>,<link rel=""stylesheet"" href=""https://www.w3schools.com/w3css/4/w3.css"">,
    <script src=""https://ajax.googleapis.com/ajax/libs/angularjs/1.6.9/angular.min.js""></script>,
    <body ng-app=""myApp"" ng-controller=""userCtrl"">,<div 
    class=""w3-container"">,<h3>Users</h3>,<table class=""w3-table 
    w3-bordered w3-striped"">,  <tr>,    <th>Edit</th>,    
    <th>First Name</th>,    <th>Last Name</th>,  </tr>,  
    <tr ng-repeat=""user in users"">,    <td>,      
    <button class=""w3-btn w3-ripple"" ng-click=""editUser(user.id)"">&#9998; 
    Edit</button>,    </td>,    <td>{{ 
    user.fName }}</td>,    <td>{{ user.lName }}</td>,  
    </tr>,</table>,<br>,<button class=""w3-btn w3-green w3-ripple"" 
    ng-click=""editUser('new')"">&#9998; Create New User</button>,<form 
    ng-hide=""hideform"">,  <h3 ng-show=""edit"">Create New 
    User:</h3>,  <h3 ng-hide=""edit"">Edit User:</h3>,    <label>First 
    Name:</label>,    <input class=""w3-input w3-border"" 
    type=""text"" ng-model=""fName"" ng-disabled=""!edit"" placeholder=""First Name"">,  <br>,    <label>Last Name:</label>,    <input 
    class=""w3-input w3-border"" type=""text"" ng-model=""lName"" ng-disabled=""!edit"" 
    placeholder=""Last Name"">,  <br>,    <label>Password:</label>,    <input 
    class=""w3-input w3-border"" type=""password"" ng-model=""passw1"" 
    placeholder=""Password"">,  <br>,    <label>Repeat:</label>,    <input 
    class=""w3-input w3-border"" type=""password"" ng-model=""passw2"" 
    placeholder=""Repeat Password"">, <br>,<button 
    class=""w3-btn w3-green w3-ripple"" ng-disabled=""error || incomplete"">&#10004; 
    Save Changes</button>,</form>,</div>,<script src= ""myUsers.js""></script>,
    ,</body>,</html>",
AngularJS Animations,,"What is an Animation?,What do I Need?,What Does ngAnimate Do?,Animations Using CSS,CSS Transitions,CSS Animations","Example:,Example,Example:,Example:","AngularJS provides animated transitions, with help from CSS.,An animation is when the transformation of an HTML element 
gives you an illusion of motion.,To make your applications ready for animations, you must include the 
AngularJS Animate library:,Then you must refer to the , module in your application:,Or if your application has a name, add , as a dependency 
in your application module:,The ngAnimate module adds and removes classes.,The ngAnimate module does not animate your HTML elements, but when ngAnimate notice 
certain events, like hide or show of an HTML element, the element  
gets some pre-defined classes which can be used to make animations.,The directives in AngularJS who add/remove classes are:,The , and , directives adds or removes 
a , class value.,The other directives adds a , class value when they enter 
the DOM, and a , attribute when they are removed from the DOM.,The , directive also adds a , class 
value when the HTML element changes position. ,In addition, , the animation, the HTML element will have a set 
of class values, which will be removed when the animation has finished. Example: the
, directive will add these class values:,We can use CSS transitions or CSS animations to animate HTML elements. This tutorial will show you 
both.,To learn more about CSS Animation, study our
, and our
,.,CSS transitions 
allows you to change CSS property values smoothly, from one value to another, 
over a given duration:,CSS Animations allows you to change CSS property values smoothly, from one value to another, 
over a given duration:"," (if the element will be hidden), (if the element will be showed), (if the element will be hidden), (if the element will be showed)","
    <body ng-app=""ngAnimate"">,Hide the DIV: <input type=""checkbox"" ng-model=""myCheck"">,
    ,<div ng-hide=""myCheck""></div>,</body>,
    <script src=""https://ajax.googleapis.com/ajax/libs/angularjs/1.6.9/angular-animate.js""></script> ,
    <body ng-app=""ngAnimate""> ,
    <style>,div {,  transition: all linear 0.5s;,  background-color: lightblue;,  height: 100px;,},.ng-hide 
    {,  height: 0;,},</style>,
    <style>,@keyframes myChange {,  from {,    
    height: 100px;,  } to {,    height: 0;,
      },},div {,  height: 100px;,  background-color: lightblue;,},
    div.ng-hide {,  animation: 0.5s myChange;,},</style>",
AngularJS Includes,,"AngularJS Includes,Include AngularJS Code,Include Cross Domains","Example,myTable.htm:,Example,Example:","With AngularJS, you can include HTML from an external file.,With AngularJS, you can include HTML content using the , 
directive:,The HTML files you include with the ng-include directive, can also contain 
AngularJS code:,Include the file ""myTable.htm"" in your web page, and all AngularJS code will be 
executed, even the code inside the included file:,By default, the ng-include directive does not allow you to include files from other domains.,To include files from another domain, you can add a whitelist of legal files 
and/or domains in the config function of your application:",,"
    <body ng-app="""">,<div ng-include=""'myFile.htm'""></div>,
    </body> ,
    <table>,  <tr ng-repeat=""x in 
    names"">,    <td>{{ x.Name }}</td>,    <td>{{ x.Country }}</td>,  </tr>,
    </table>",
AngularJS Examples,,"Try it Yourself,AngularJS Basics,AngularJS Expressions,AngularJS Modules,AngularJS Directives,AngularJS Models,AngularJS Controllers,AngularJS Scopes,AngularJS Filters,AngularJS XMLHttpRequest,AngularJS Tables,AngularJS - Reading from SQL Resources,AngularJS HTML DOM,AngularJS Events,AngularJS Forms,AngularJS API,AngularJS W3.CSS,AngularJS Includes,AngularJS Animations,AngularJS Applications",AngularJS Example,"You can edit the examples online, and click on a button to 
view the result. ",,"
<div ng-app="""">,
    ,<p>Name: <input type=""text"" ng-model=""name""></p>,
    <p>You wrote: {{ name }}</p>
,
    ,</div>,
",
AngularJS References,,"AngularJS Directives,AngularJS Directives on HTML Elements,AngularJS Filters,AngularJS Validation Properties,AngularJS Global API",,"AngularJS modifies the default behavior of some HTML elements.,Filters are explained in ,.,Validation is explained in ,.,The Global API is explained in ,.","$dirty,$invalid,$error",,
