H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
Artificial Intelligence,,,,"Artificial Intelligence suggest that machines can mimic humans in:,About 70 000 years ago, the human brain started to develop ""Cognitive Intelligence"":,Cognitive intelligence created:
,Cognitive intelligence also created:
,AI is a result of the human need for doing ,.,This can only be achieved using high speed computers.,The main branches of Mathematics involved in AI are:,These chapters provide content about the branches of mathematics
that is used in data science projects (machine learning / deep learning).,AI experts cannot live without this Algebra:,Probability is about how likely something is,
Probability is a number between 0 and 1,How to collect, analyze, interpret, and present data.","Talking,Thinking,Learning,Planning,Understanding,Being able to understand numbers,Being able to understand a language,Being able to understand abstract thinking,Mind,Words,Numbers,Numbers,Counting,Calculating,Linear Functions,Linear Graphics,Linear Algebra,Probability,Statistics,AI make use of Scalars,AI make use of Vectors,AI make use of Matrices,AI make use of Tensors,Linear means straight,A linear graph is a straight line,In general, a linear graph displays a Linear Function,What is the most Common?,What is the most Expected?,What is the most Normal?,Clustering,Regressions,Perceptrons,Training,Perceptrons,Recognition,Training,Testing,Tutorial,Operations,Visor,Models,Canvas,Plotly.js,Chart.js,Google Chart",,
Scatter Plots,,"Data Collection,Scatter Plots,Graphs,When to Use Scatter Plots","Example,Source Code","Collecting data is the most important part of any Machine Intelligence 
projects.,The most common data to collect are numbers and measurements.,Often data are stored in arrays representing the relationship between values.,This table contains house prices versus size:,A , has points scattered over an area representing the 
relationship between two values.,A , can also be used to show the same values:,Scatter plots are great for:
","Data Collections,Scatter Plots,Graphs,Seeing the ""Big Picture"",Compare different values,Discovering potential trends,Discovering patterns in data,Discovering relationships between data,Discovering , and ",,
Linear Graphs,,"Linear,Slope,Intercept","Example,Example,Example"," means straight. A linear graph is a straight line.,In general, a linear graph display function values.,The , is the angle of the graph.,The slope is the , value in a linear graph:,y = ,x,In this example, , = ,:,The , is the start value of the graph.,The intercept is the , value in a linear graph:,y = ax + ,In this example, slope = 1.2 and , = ,:","Linear,Slope,Intercept",,
A Plotter Object,,"Create a Plotter Object,Add a Method for Plotting a Line,Add a Method for Transforming XY Values,Add a Method for Plotting Points,Plot Some Random Points,Put the Code in a Library,Use it in Your HTML Pages","Example,Example,Example,Example,Example,Source Code,Example",Now you can add your plotter object to your HTML pages:,"Makes AI more ,Makes AI more ,Makes AI more ","
<script src=""myplotlib.js""></script>
",
Neural Networks (NN),,"The Deep Learning Revolution,Neurons,Neural Networks,The Neural Network Model,Neural Networks with JavaScript,JavaScript Libraries,Introduction to ml5.js,TensorFlow Playground,Tom Mitchell,Stories",,"The deep learning revolution started around 2010. Since then, Deep Learning 
has solved many ""unsolvable"" problems.,The deep learning revolution was not started by a single discovery.
It more or less happened when several needed factors were ready:,Scientists agree that our brain has around 100 billion neurons.,These neurons have hundreds of billions connections between them.,Image credit: University of Basel, Biozentrum.,Neurons (aka Nerve Cells) are the fundamental units of our brain and nervous system.,The neurons are responsible for receiving input from the external world,
for sending output (commands to our muscles),
and for transforming the electrical signals in between., are normally called Neural Networks (NN).,Neural networks are in fact multi-layer ,.,The perceptron defines the first step into multi-layered neural networks.,Input data (Yellow) are processed against a hidden layer (Blue)
and modified against another hidden layer (Green) to produce the final output (Red).,Artificial Intelligence can be math-heavy. The nature of neural networks is highly technical,
and the jargon that goes along with it tends to scare people away.,
This is were JavaScript can come to help. We need easy to understand software APIs to simplifying the process
of creating and training neural networks., is a JavaScript library that makes it easy to understand Neural Networks
because it hides the complexity of the mathematics.,.,ml5.js is trying to make machine learning more accessible to a wider audience.,The ml5 team is working to wrap machine learning functionality in friendlier ways.,The example below uses only , of code to classify an image:,Try substitute ""pic1.jpg"" with ""pic2.jpg"" and ""pic3.jpg""., is a web application written in ,.,With TensorFlow Playground you can learn about , (NN) without math.,In your own , you can create a Neural Network and see the result.,TensorFlow.js was previously called Tf.js and Deeplearn.js.,Tom Michael Mitchell (born 1951) is an American computer scientist and University Professor at the Carnegie Mellon University (CMU).,He is a former Chair of the Machine Learning Department at CMU.,
E: Experience (the number of times).,
T: The Task (driving a car).,
P: The Performance (good or bad).,
,In 2015, ,, a student at Imperial College in London created a neural network called ,.,Giraffe could be trained in 72 hours to play chess at the same level as an international master.,Computers playing chess are not new, but the way this program was created was new.,Smart chess playing programs take years to build, while Giraffe was built in 72 hours with a neural network.","Medical Diagnosis,Face Detection,Voice Recognition,Computers were fast enough,Computer storage was big enough,Better training methods were invented,Better tuning methods were invented","
<img id=""image"" src=""pic1.jpg"" width=""100%"">,
<script>,
const classifier =  ml5.imageClassifier('MobileNet');,
classifier.classify(document.getElementById(""image""), gotResult);,
function gotResult(error, results) { ... },
</script>,
",
Machine Learning (ML),,"Machine Learning,Supervised Learning,Unsupervised Learning,Self-Supervised Learning",,"Classical programming uses programs (algorithms) to create results:,Machine Learning uses results to create programs (algorithms):,Machine Learning is often considered equivalent with Artificial Intelligence.,This is not correct. Machine learning is a subset of Artificial Intelligence.,Machine Learning is a discipline of AI that uses data to teach machines.,Supervised learning uses , (data with known answers) to train
algoritms to:,Supervised learning can , data like ""What is spam in an e-mail"",
based on known spam examples.,Supervised learning can , outcomes like like predicting what kind of video you like,
based on videos you have played.,Unsupervised learning is used to predict undefined relationships like 
meaningful patterns in data.,It is about creating computer algorithms than can improve themselves.,It is expected that machine learning will shift to unsupervised learning 
to allow programmers to solve problems without creating models.,Self-supervised learning is similar to unsupervised learning
because both work with data without human added labels.,The difference is that unsupervised learning uses clustering, grouping, and dimensionality reduction,
while self-supervised learning draw its own conclusions for regression and classification tasks.","Supervised Machine Learning,Unsupervised Machine Learning,Self-Supervised Machine Learning,Classify Data,Predict Outcomes",,
AI Sciences,,"AI Scientists,Weak AI,Strong AI,Machine Learning (ML),Neural Networks (NN),Deep Learning (DL),The Deep Learning Revolution,Examples,History of AI",,"AI Scientists build software with algorithms that can do tasks 
that normally require human intelligence.,AI Scientists can be experts in multiple AI disciplines:
,Some AI Scientists also have significant big data experience: 
, is limited to specific or narrow areas like most 
of the AI we have around us today:,Weak AI is also called Narrow AI.,Weak AI , in contrast to Strong AI that ,., is the type of AI that mimics human 
intelligence.,Strong AI indicates the ability to think, plan, learn, and communicate.,Strong AI is the theoretical next level of AI: ,.,Strong AI moves towards machines with self-awareness, consciousness, and objective thoughts.

,Classical programming uses programs to create results:,Machine Learning uses results to create programs (algorithms):,One of the most significant discoveries in history is the power of , (NN).,In Neural Networks, many layers of data called , are added 
together or stacked on top of each other to compute new levels of data.,Commonly used short names:
, are algorithms that use , to 
extract higher-level data.,Each successive layer uses the preceding layer as input.,For instance, optical reading uses low layers to identify edges, and higher 
layers to identify letters.,Deep Learning has two phases:,1. Training: Input data are used to calculate the parameters of the model.,2. Inference: The ""trained"" model outputs data from any given input.,The deep learning revolution is here!,The deep learning revolution started around 2010. Since then, Deep Learning 
has been used to solve many ""unsolvable"" problems.,Deep CNNs such as
,
and
,
have reduced the error rate in the , classification from 25% in 
2011 to 5% in 2017.
, is an image database organized according to the WordNet 
hierarchy, in which each node of the hierarchy contains hundreds and thousands 
of images. ImageNet is a useful resource for researchers, educators, students 
and everyone else with a passion for pictures., is a lexical database of semantic relations between words in 
200+ languages. It is organized as a combination of a dictionary and thesaurus, 
linking words together into semantic relations using synonyms, hyponyms, and 
meronyms.,RNNs are helping create music scores and novel instrument sounds:,
,.","Machine Learning (ML),Neural Networks (NN),Deep Learning (DL),Big Data,Applied mathematics,Computational statistics,Computer Science,Machine learning,Deep learning,Business Intelligence,Data Base Design,Data Warehouse Design,Data Mining,SQL Queries,SQL Reporting,Search Engines,Apple's Siri,Microsoft's Cortana,Amazon's Alexa,IBM's Watson, Deep Neural Network, Convolutional Neural Network, Recurrent Neural Network",,
Perceptrons,,"Frank Rosenblatt,The Perceptron,Perceptron Example,The Perceptron Algorithm,Perceptron Terminology,Perceptron Inputs,Node Values,Node Weights,The Activation Function,Neural Networks",Example," (1928 – 1971) was an American psychologist
notable in the field of Artificial Intelligence.,In , he started something really big.,Scientists had discovered that brain cells (,)
receive input from our senses by electrical signals.,The Neurons, then again use electrical signals to store information, and to make decisions based on previous input.,Frank had the idea that , could simulate brain principles, with the ability to learn and make decisions.,From these thoughts, he ""invented"" the ,.,The Perceptron was tested on an IBM 704 computer at Cornell Aeronautical Laboratory in 1957.,The original , was designed to take a number of , inputs, and produce one ,
output (0 or 1).,The idea was to use different , to represent the importance of each ,,
and that the sum of the values should be greater than a , value before making a 
decision like , or , (0 or 1).,Imagine a perceptron (in your brain).,The perceptron tries to decide if you should go to a concert.,Is the artist good? Is the weather good?,What weights should these facts have?,Frank Rosenblatt suggested this algorithm:,:,:,:,:,Perceptron inputs are called nodes.,The nodes have both a value and a weight.,In the example above the node values are: ,Weights shows the strength of each node.,In the example above the node weights are: ,The activation functions maps the result (the weighted sum) into a required value like 0 or 1.,The binary output (0 or 1) can be interpreted as (no or yes) or (false or true).,In the example above, the activation function is simple: ,The , defines the first step into ,.,The perceptron is a ,.,The Neural Network is a ,.","Threshold = 1.5,x1 * w1 = 1 * 0.7 = 0.7,x2 * w2 = 0 * 0.6 = 0,x3 * w3 = 1 * 0.5 = 0.5,x4 * w4 = 0 * 0.3 = 0,x5 * w5 = 1 * 0.4 = 0.4,0.7 + 0 + 0.5 + 0 + 0.4 = 1.6 (The Weighted Sum),Return true if the sum > 1.5 (""Yes I will go to the Concert""),Perceptron Inputs,Node values,Node Weights,Activation Function",,
Data Clusters,,"Clusters,Identifying Clusters,Clustering,Clustering Methods,Correlation Coefficient",," are collections of data based on similarity.,Data points clustered together in a graph can often be classified into clusters.,In the graph below we can distinguish 3 different clusters:,Clusters can hold a lot of valuable information, but clusters come in all sorts of shapes,
so how can we recognize them?,The two main methods are:, is a type of ,.,Clustering is trying to:,The , considers points in a dense regions to have more similarities
and differences than points in a lower dense region.
The density method has a good accuracy. It also has the ability to merge clusters.,
Two common algorithms are DBSCAN and OPTICS.,The , forms the clusters in a tree-type structure.
New clusters are formed using previously formed clusters.,
Two common algorithms are CURE and BIRCH.,The , formulates the data into a finite number of cells that form a grid-like structure.,
Two common algorithms are CLIQUE and STING,The , partitions the objects into k clusters and each partition forms one cluster.,
One common algorithm is CLARANS.,The , (r) describes the strength and direction of a linear relationship
and x/y variables on a scatterplot.,The value of r is always between -1 and +1:"," are collections of similar data, is a type of unsupervised learning,The , describes the strength of a relationship.,Using Visualization,Using an Clustering Algorithm,Collect similar data in groups,Collect dissimilar data in other groups,Density Method,Hierarchical Method,Partitioning Method,Grid-based Method",,
Distribution,,"Normal Distribution,Normal Distribution Facts,The Margin of Error,How to Interpret Margin of Error",,"The , is a bell-shaped curve.,Each band of the curve has a width of ,:,Each band of the curve has a width of 1 Standard deviation from the ,.,Values less than ,
away account for ,.,Values less than , away account for ,.,Values less than , away account for ,.,What does it mean?,Most observations are within 1 standard deviation from the mean.,Almost all observations are within 2 standard deviations.,Practically all observations are within 3 standard deviations.,Normal distribution is ,. The peak always divides the distribution in half.,Normal distribution is a , distribution.,A lot of observations follow the normal distribution:,Normal distribution shows that values near the mean
are more frequent than values far from the mean:,The , (aka The Empirical Rule), is a shorthand 
to remember the percentage of values that lie within the different bands of a normal distribution.,Normal distribution is also known as the , and the ,.,Statisticians will always try to predict everything with 100% accuracy.,But, there will always be some uncertainty.,The, is the number that quantifies this statistical uncertainty., define different ranges for where we believe the correct answers can be found., is a matter of judgment, and relative to how important the answer is.,The more samples we collect, the lower the margin of error is:,
,
,
,Suppose 55% of a sampled population say they plan to vote ""Yes"".,When projecting this to a whole population, you add/subtract the margin of error
to give a range of possible results.,With a margin of error of 3%, you are confident that between 52% and 58% will vote ""Yes"".,With a margin of error of 10%, you are confident that between 45% and 65% will vote ""Yes"".","What is ,What is ,Your IQ,Your Weight,Your Height,Your Salary,Your Blood Pressure",,
