H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
Excel ,Tutorial,"Examples in Each Chapter,Copy Values Tool,Case Based Learning,Why Study Excel?",,"We use practical examples to give the user a better understanding of the concepts.,Example values can be copied from the tutorial and into your spreadsheet, making it easy for you to tag along 
step-by-step:,We have created active learning activities, so you can test and build your knowledge. Making the learning experience more fun and engaging.,Excel is the world's most used spreadsheet program.,Example use areas:",,,
Excel ,Sort,"Excel Sorting,Example Sort (text),Example Sort (numbers),A Non-Working Example (sorting one column in a range),Sorting More Than One Column",,"Ranges can be sorted using the , and , commands.,: from smallest to largest.,: from largest to smallest.,The sort commands work for text too, using A-Z order.,The commands are found in the Ribbon under the , menu (,),Sort the Pokemons in the range , by their ,, ascending from smallest to largest (A-Z).,The , function successfully sorted the Pokemons by their , ascending from A-Z.,Sort the Pokemons ascending by their , from smallest to largest., The Pokemons were successfully sorted by their , from smallest to largest. The sort commands work for both text and numbers.,In this example we have two columns with related data. Column , is the Pokemons , and Column , is their ,. Try sorting just one of the columns (,) ascending by their ,.,The attempt to sort results in a warning.,It is not recommended to sort the names alone because it will break the relationship between the Pokemons , and their ,.,This breaks the relationship with Column , and ,. The Pokemons now have wrong Total stats.,Clicking the other option in the warning ""Expand and Sort"" makes the sort function include Column , and sorts them in relation to each other.,Select the whole range when sorting ranges with more than one column.,Select , and sort the range ascending.,By selecting range , it sorts correctly, keeping the relationship between the data (Column , and ,).,In the next chapter you will learn about ,.",,,
Excel Regional Format Settings,,"Regional Format Settings,Example Regional Format Settings,Changing Regional Format Settings",,"Excel provides regional formatting settings for different languages and styles of presenting information.,Regional settings affects a number of things, like:, are the symbols used to separate arguments in a function.,The most common symbols are comma , and semicolon ,For example, the , regional language setting uses commas:,While , regional language settings uses semicolons:,Here are the date, decimal number, and formula delimiters shown with , settings:,Here are the date, decimal number, and formula delimiters shown with , settings:,Notice that the English (US) formatting uses month/day/year and the German formatting uses day.month.year for calendar dates.,The English (US) formatting also uses a period (,) for the decimal symbol and the German formatting uses a comma (,).,Changing Regional Format Settings is accessed in the options part of the , menu:,Selecting this option will open a dialog box where you can choose your preferred regional language settings:","Calendar date formatting,Decimal numbers,Default currency formatting,Formula delimiters",,
Excel ,Format Grids,Grids,,"By default, gridlines are displayed in Excel.,However, grids can be removed.,Why remove grids?,How to remove grids","Make the spreadsheet more readable,Make the spreadsheet more delicate",,
Excel Data Bars,,"Data Bars,Data Bars Example",,"Data Bars are premade types of conditional formatting in Excel used to add colored bars to cells in a range to indicate how large the cell values are compared to the other values.,Here is the Data Bars part of the conditional formatting menu:,You can , for where the Highlight Cell Rule should apply. It can be a a few cells, a single column, a single row, or a combination of multiple cells, rows and colums.,Let's apply the , conditional formatting to the Speed values.,""Data Bars"", step by step:,Now, all of the Speed value cells have a green bar showing how big the value is compared to the other values in the range:,Electrode has the highest value, 140, so the bar fills the entire cell.,The other bars are scaled relative to the highest value and 0 by default.,Exeggcute has the lowest value, 40, so this is the shortest bar. Though, it is larger than 0, so there is still a small bar.,Let's see what happens if we add a fictional Pokemon with a 0 Speed value:,The fictional Neutrinode has a Speed value of 0, so this becomes an invisible ""minimum"" bar.,Let's see what happens if we add another fictional Pokemon with a negative Speed value:,Now, the fictional Positrode has the lowest Speed value, -140, so this becomes an invisible ""minimum"" bar.,Neutrinode's Speed value of 0 is now in the middle between -140 and 140, so the cell has a bar filling half the cell.,Electrode still has the highest Speed value, 140, so this bar still fills the entire cell.",,,
Excel Color Scales,,"Color Scales,Color Scale Formatting Example",,"Color Scales are premade types of conditional formatting in Excel used to highlight cells in a range to indicate how large the cell values are compared to the other values in the range.,Here is the Color Scales part of the conditional formatting menu:,Highlight the Speed values of each Pokemon with , conditional formatting.,Color Scales, step by step:,There are 12 Color Scale options with different color variations.,The color on the top of the icon , will apply to the highest values.,Now, the Speed value cells will have a colored background highlighting:,Dark green is used for the highest values, and dark red for the lowest values.,Rapidash has the highest Speed value (105) and Slowpoke has the lowest Speed value (15).,All the cells in the range gradually change color from green, yellow, orange, then red.,Let's see what happens if we add a fictional Pokemon with an even slower Speed value than Slowpoke:,Now, the fictional Slowestpoke has the lowest Speed value of 1, which is highlighted in dark red.,Notice that the color of Slowpoke's Speed value now is highlighted in orange instead of dark red.,Let's see what happens if we add another fictional Pokemon that is faster than any of the other Pokemon:,The fictional Fastestpoke has a higher Speed value (200) than any of the other pokemon and is highlighted in dark green.,Rapidash' Speed value of 105 is no longer the highest value and is highlighted with a lighter green.,Notice that the Speed values of the other Pokemon also change as the highest value in the range is now 200 instead of 105.",,,
Excel Tables,,Table,,"Ranges can be converted into tables.,Tables make it easier to structure and organize data.,Tables connect cells in a range and put it into a fixed structure.,The cells in the table range share the same formatting.,Tables allow for options such as:,Formatting a range into a table will give it a new form with a fixed structure. Tables open access to new functionality such as: filtering, automations and styling.,How to convert range to table, step by step.,Copy the values to follow along:, The range , was successfully converted from range to table.,The range is now a fixed table structure and new options such as sorting and filtering are now enabled.,Applying the filter keeps the relationship between the columns while sorting and filtering.,In the next chapter you will learn about Table Design.","Sort & Filter,Formatting,AutoFilling",,
Excel Top/Bottom Rules,,"Top/Bottom Rules,Appearance Options,Top/Bottom 10 Items Example,Top/Bottom 10% Example",,"Top/Bottom Rules are premade types of conditional formatting in Excel used to change the appearance of cells in a range based on your specified ,.,Here is the Top/Bottom Rules part of the conditional formatting menu:,The web browser version of Excel offers the following appearance options for conditionally formatted cells:,Here is how the options look in a spreadsheet:,The ""Top 10 Items..."" and ""Bottom 10 Items..."" rules will highlight cells with one of the appearance options based on the cell value being the top or bottom values in a range.,You can , for where the Highlight Cell Rule should apply. It can be a a few cells, a single column, a single row, or a combination of multiple cells, rows and colums.,Let's first apply the , rule to the Speed values.,""Top 10 Items..."" Rule, step by step:,This will open a dialog box where you can specify the value and the appearance option.,Now, the 10 cells with the top values will be highlighted in green:,Let's try the same with the bottom 10 Speed values.,Repeat the steps, but instead choose , in the menu and select the ""Light Red Fill with Dark Red Text"" appearance option.,Now, the slowest values are also highlighted:,Notice that there are actually 11 items highlighted in red. Why could this be?,Let's , with descending Speed values for a clue:,We can see that both Pidgey and Nidorina have a Speed of 56. So, they are tied for the 10th bottom value.,The ""Top 10%..."" and ""Bottom 10%..."" rules will highlight cells with one of the appearance options based on the cell value being the top or bottom , in a range.,Let's apply Top and Bottom 10% rules to the same dataset with sorted Speed values:,You can , for where the Highlight Cell Rule should apply. It can be a a few cells, a single column, a single row, or a combination of multiple cells, rows and colums.,Let's first apply the , rule to the Speed values.,""Bottom 10%..."" Rule, step by step:,This will open a dialog box where you can specify the value and the appearance option.,Now, the bottom 10% of cells will be highlighted in red:,There are 30 cells in the range, so 10% of that is 3 cells.,Let's try the same with the top 10% Speed values.,Repeat the steps, but instead choose , in the menu and select the ""Green Fill with Dark Green Text"" appearance option.,Now, the fastest values are also highlighted:,Notice that there are actually 4 items highlighted in green.,We can see that both Charizard and Fearow have a Speed of 100. So, they are tied for the 3rd top value.,Both are included in the top 10% and are highlighted.","Light Red Fill with Dark Red Text,Yellow Fill with Dark Yellow Text,Green Fill with Dark Green Text,Light Red Fill,Red Text,Red Border,6% of 30 is 1.8, which will be rounded , to 1 cell,7% of 30 is 2.1, which will be rounded , to 2 cells",,
Excel ,Filter,"Excel Filter,Applying Filter,A Non-Working Example,Filter options,Sorting,Filtering,Another Example",,"Filters can be applied to sort and hide data. It makes data analysis easier.,The menu is accessed in the default Ribbon view or in the , section in the navigation bar.,Filters are applied by selecting a range and clicking the , command.,It is important to have a row of headers when applying filters. Having headers is useful to make the data understandable.,Like in the example below, the dedicated row is row ,.,Let's apply filters to the data set, step by step.,New buttons have been added to the cells in the top row. This indicates that the , was successfully applied. The buttons can be clicked to access the different , options. ,Lets delete row , (the header row) and apply filters to the new row ,, to see what happens.,The filter is applied and has replaced the header row. It is important to dedicate a header row for the filter.,The filter options allow for sorting and filtering.,Applying filter keeps the relationship between the columns while sorting and filtering.,Clicking the options button opens the menu.,Ranges can be sorted and the relationship between the columns is kept., sorted from smallest to largest., sorts from largest to smallest.,You can read more about Sorting in a previous ,.,Filters can be applied to hide and sort data.,This is helpful for analysis, to select the data that you want to see or not.,Use the filter option to filter on Pokemon that is ,.,Step by step,All items are checked by default. The checked items are the ones that are shown. Uncheck to hide., The range was successfully sorted by ,. All shown Pokemons are , type. ,This is explained by looking at the row numbers. The numbers are jumping from 1 to 11 and 16 to 22. The rows in between are hidden.,Use the filter option to filter the Pokemons which have ,, , and ,, ,., We have sorted the range based on ,, , and ,, ,. The filter option is helpful to make ranges easier to analyse. ",,,
Excel Highlight Cell Rules,,"Highlight Cell Rules,Appearance Options,Cell Rule Types,Highlight Cell Rule Example",,"Highlight Cell Rules is a premade type of conditional formatting in Excel used to change the appearance of cells in a range based on your specified ,.,The conditions are rules based on specified numerical values, matching text, calendar dates, or duplicated and unique values.,Here is the Highlight Cell Rules part of the conditional formatting menu:,The web browser version of Excel offers the following appearance options for conditionally formatted cells:,Here is how the options look in a spreadsheet:,Excel offers the following cell rule types:,The ""Equal To..."" Highlight Cell Rule will highlight a cell with one of the appearance options based on the cell value being , to your specified value.,The specified value could be a particular number or particular text.,In this example, the specified value will be ""48"".,You can , for where the Highlight Cell Rule should apply. It can be a a few cells, a single column, a single row, or a combination of multiple cells, rows and colums.,Let's apply the rule to all of the different stat values.,""Equal To..."" Hightlight Cell Rule, step by step:,This will open a dialog box where you can specify the value and the appearance option.,Now, the cells with values equal to ""48"" will be highlighted in yellow:,All of Ditto's stat values are 48, so they are hightlighted.","Light Red Fill with Dark Red Text,Yellow Fill with Dark Yellow Text,Green Fill with Dark Green Text,Light Red Fill,Red Text,Red Border",,
