H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
,Tutorial,,"Example,Example,Example",,,,
,{{title}} Send Pull Request,,,,,,
,Clone from {{title}},,,,,,
,Amend,,"Example,Example,Example,Example",,,,
,{{title}} Fork,,,,,,
,Exercises,,,,,,
,Revert,,"Example,Example,Example,Example",,"The first seven characters of the ,the ",,
,{{title}} Add SSH,,,,,,
,Reset,,"Example,Example,Example,Example,Example",,"The first seven characters of the , - this is what we need to 
  refer to in our reset command.,the ",,
,Security SSH,,"Example,Example",,,,
,GitHub Flow,,,,"Create a new Branch,Make changes and add Commits,Open a Pull Request,Review,Deploy,Merge",,
,{{title}} Pages,,,,,,
,Push Branch to {{title}},,,,,,
,Pull Branch from {{title}},,,,,,
,Pull from {{title}},,,,,,
,Edit Code,,,,,,
,Getting Started,,,,,,
,Branch,,,,,,
,Quiz,,,,,,
,Branch Merge,,"Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example",,,"
  <!DOCTYPE html>,<html>,<head>,<title>Hello World!</title>,
  <link rel=""stylesheet"" href=""bluestyle.css"">,</head>,<body>,
  <h1>Hello world!</h1>,<div><img src=""img_hello_world.jpg"" alt=""Hello World 
  from Space"" style=""width:100%;max-width:960px""></div>,<p>This is the first 
  file in my new Git Repo.</p>,<p>A new line in our file!</p>,<div><img 
  src=""img_hello_git.jpg"" alt=""Hello Git"" 
  style=""width:100%;max-width:640px""></div>,</body>,</html>
,
  <!DOCTYPE html>,<html>,<head>,<title>Hello World!</title>,<link 
  rel=""stylesheet"" href=""bluestyle.css"">,</head>,<body>,<h1>Hello 
  world!</h1>,<div><img src=""img_hello_world.jpg"" alt=""Hello World from 
  Space"" style=""width:100%;max-width:960px""></div>,<p>This is the first file 
  in my new Git Repo.</p>,<<<<<<< HEAD,<p>This line is here to show how 
  merging works.</p>,=======,<p>A new line in our file!</p>,<div><img 
  src=""img_hello_git.jpg"" alt=""Hello Git"" 
  style=""width:100%;max-width:640px""></div>,>>>>>>> hello-world-images,
  ,</body>,</html>
,
  <!DOCTYPE html>,<html>,<head>,<title>Hello World!</title>,<link 
  rel=""stylesheet"" href=""bluestyle.css"">,</head>,<body>,<h1>Hello 
  world!</h1>,<div><img src=""img_hello_world.jpg"" alt=""Hello World from 
  Space"" style=""width:100%;max-width:960px""></div>,<p>This is the first file 
  in my new Git Repo.</p>,<p>This line is here to show how 
  merging works.</p>,<div><img 
  src=""img_hello_git.jpg"" alt=""Hello Git"" 
  style=""width:100%;max-width:640px""></div>,
  ,</body>,</html>
",
,Push to {{title}},,,,,,
,Ignore and .gitignore,,"Example,Example",,"log files,temporary files,hidden files,personal files,etc.,Ignore any files with the , extension,Ignore everything in any directory named ","
# ignore ALL .log files,
*.log,
,
# ignore ALL files in ANY directory named temp,
temp/",
,Help,,"Example,Example",," -  See 
  all the available options for the specific command, -  See all possible 
  commands",,
,Staging Environment,,"Example,Example,Example,Example,Example,Example,Example",,,"
  # hello-world,Hello World repository for Git tutorial,This is an 
  example repository for the Git tutoial on https://www.w3schools.com,
  This repository is built step by step in the tutorial.
,
  body {,background-color: lightblue;,},h1 {,color: navy;,
  margin-left: 20px;,}
,
<!DOCTYPE html>,
<html>,<head>,<title>Hello World!</title>,<link 
  rel=""stylesheet"" href=""bluestyle.css"">,
</head>,<body>,<h1>Hello world!</h1>,<p>This is 
  the first file in my new Git Repo.</p>,
</body>,</html>
",
,Getting Started,,"Example,Example,Example,Example",,,,
,Branch,,"Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example",,"Make copies of all the relevant files to avoid impacting the live version,Start working with the design and find that code depend on code in other 
  files, that also need to be changed!,Make copies of the dependant files as well. Making sure that every file 
  dependency references the correct file name,EMERGENCY! There is an unrelated error somewhere else in the project that 
  needs to be fixed ASAP!,Save all your files, making a note of the names of the copies you were 
  working on,Work on the unrelated error and update the code to fix it,Go back to the design, and finish the work there,Copy the code or rename the files, so the updated design is on the live 
  version,(2 weeks later, you realize that the unrelated error was not fixed in the 
  new design version because you copied the files before the fix),With a new branch called new-design, edit the code directly without 
  impacting the main branch,EMERGENCY! There is an unrelated error somewhere else in the project that 
  needs to be fixed ASAP!,Create a new branch from the main project called small-error-fix,Fix the unrelated error and merge the small-error-fix branch with the main 
  branch,You go back to the new-design branch, and finish the work there,Merge the new-design branch with main (getting alerted to the small error 
  fix that you were missing),There are changes to our index.html, but the file is not staged for 
  , is not 
  ","
  <!DOCTYPE html>,<html>,<head>,<title>Hello World!</title>,<link 
  rel=""stylesheet"" href=""bluestyle.css"">,</head>,<body>,<h1>Hello 
  world!</h1>,<div><img src=""img_hello_world.jpg"" alt=""Hello World from 
  Space"",style=""width:100%;max-width:960px""></div>,<p>This is the first 
  file in my new Git Repo.</p>,<p>A new line in our file!</p>,</body>,
  </html>
,
  <!DOCTYPE html>,<html>,<head>,<title>Hello World!</title>,<link 
  rel=""stylesheet"" href=""bluestyle.css"">,</head>,<body>,<h1>Hello 
  world!</h1>,<p>This is the first 
  file in my new Git Repo.</p>,<p>This line is here to show how 
  merging works.</p>,</body>,
  </html>
",
,Commit,,"Example,Example,Example,Example,Example",,"?? - Untracked files,A - Files added to stage,M - Modified files,D - Deleted files","
<!DOCTYPE html>,
<html>,<head>,<title>Hello World!</title>,<link 
  rel=""stylesheet"" href=""bluestyle.css"">,
</head>,<body>,<h1>Hello world!</h1>,<p>This is 
  the first file in my new Git Repo.</p>,<p>A new line in our file!</p>,
</body>,</html>
",
,New Files,,"Example,Example,Example",,"Tracked - files that Git knows about and are added to the repository,Untracked - files that are in your working directory, but not added to the 
  repository","
<!DOCTYPE html>,
<html>,<head>,<title>Hello World!</title>,
</head>,<body>,<h1>Hello world!</h1>,<p>This is 
  the first file in my new Git Repo.</p>,
</body>,</html>
",
,Introduction,,,,"Tracking code changes,Tracking who made changes,Coding collaboration,Manage projects with , a project to work on a local copy,Control and track changes with , and , and , to allow for work on 
different parts and versions of a project, the latest version of the project to a local copy, local updates to the main project,Initialize Git on a folder, making it a ,Git now creates a hidden folder to keep track of changes in that folder,When a file is changed, added or deleted, it is considered ,You select the modified files you want to ,The , files are ,, which 
  prompts Git to store a , snapshot of the files,Git allows you to see the full history of every commit.,You can revert back to any previous commit.,Git does not store a separate copy of every file in every commit, but 
  keeps track of changes made in each commit!,Over 70% of developers use Git!,Developers can work together from anywhere in the world.,Developers can see the full history of the project.,Developers can revert to earlier versions of a project.",,
