H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
Go ,Tutorial,Examples in Each Chapter,Example,"Our ""Try it Yourself"" editor makes it easy to learn Go. You can edit Go code and view the result in your browser.",,,
Go Conditions,,Go Conditions,,"Conditional statements are used to perform different actions based on different conditions.,A condition can be either , or ,.,Go supports the usual , from mathematics:,Additionally, Go supports the usual ,:,You can use these operators or their combinations to create conditions for different decisions.,Go has the following conditional statements:","Less than ,Less than or equal ,Greater than ,Greater than or equal ,Equal to ,Not equal to ,Logical AND ,Logical OR ,Logical NOT ,Use , to specify a block of code to be executed, if a specified condition is true,Use , to specify a block of code to be executed, if the same condition is false,Use , to specify a new condition to test, if the first condition is false,Use , to specify many alternative blocks of code to be executed",,
Go Operators,,Go Operators,"Example,Example","Operators are used to perform operations on variables and values.,The , , adds together two values, like in the example below:,Although the , operator is often used to add together two values, it can also be used to add together a variable and a value, or a variable and another variable:,Go divides the operators into the following groups:",,,
Go ,Exercises,"Exercises,Count Your Score",,"You can test your Go skills with W3Schools' Exercises.,We have gathered a variety of Go exercises (with answers) for each Go Chapter.,Try to solve an exercise by editing some code, or show the answer to see what you've done wrong.,You will get 1 point for
each correct answer. Your score and total score will always be displayed.",,,
Go Slices,,"Go Slices,Create a Slice With [],{,},Create a Slice From an Array,Create a Slice With The make() Function","Syntax,Example,Syntax,Example,Syntax,Example","Slices are similar to arrays, but are more powerful and flexible.,Like arrays, slices are also used to store multiple values of the same type in a single variable.,However, unlike arrays, the length of a slice can grow and shrink as you see fit.,In Go, there are several ways to create a slice:,A common way of declaring a slice is like this:,The code above declares an empty slice of 0 length and 0 capacity.,To initialize the slice during declaration, use this:,The code above declares a slice of integers of length 3 and also the capacity of 
3.,In Go, there are two functions that can be used to return the length and 
capacity of a slice:,In the example above, we see that in the first slice (myslice1), the actual elements are not specified, 
so both the length and capacity of the 
slice will be zero. In the second slice (myslice2), the elements are specified, 
and both length and capacity is 
equal to the number of actual elements specified.,You can create a slice by slicing an array:,In the example above , is a slice with length 
2. It is made from , which is an array with length 6.,The slice starts from the second element of the array which has value 12. The slice can grow to the end of the array. This means that the capacity of the slice is 
4.
,If , started from element 0, the slice capacity would be 6.,The , function can also be used to 
create a slice.","Using the [],{,} format,Create a slice from an array,Using the make() function, function - returns the length 
  of the slice (the number of elements in the slice), function - returns the capacity of 
  the slice (the number of elements the slice can grow 
  or shrink to)",,
Go For Loops,,"Go for Loop,for Loop Examples,The continue Statement,The break Statement,Nested Loops,The Range Keyword","Syntax,Example 1,Example 2,Example,Example,Example,Syntax,Example,Example,Example","The , loop loops through a block of code a specified number of times.,The , loop is the only loop 
available in Go.,Loops are handy if you want to run the same code over and over again, each time with a different value.,Each execution of a loop is called an ,.,The , loop can take up to three statements:, Initializes the loop counter value., Evaluated for each loop iteration. If it evaluates to TRUE, the loop continues. If it evaluates to FALSE, the loop ends., Increases the loop counter value.,The , statement is used to skip one 
or more iterations in the loop. It then continues with the next iteration in the loop.,The , statement is used to break/terminate the loop execution.,It is possible to place a loop inside another loop.,Here, the ""inner loop"" will be executed one time for each iteration of the ""outer loop"":,The , keyword is used to more easily iterate 
over an array, slice or map. It returns both the index and the value.,The , keyword is used like this:, To only show the value or the index, you can omit the other output using an underscore (,).","i:=0; - Initialize the loop counter (i), and set the start value to 0,i < 5; - Continue the loop as long as i is less than 5,i++ - Increase the loop counter value by 1 for each iteration,i:=0; - Initialize the loop counter (i), and set the start value to 0,i <= 100; - Continue the loop as long as i is less than or equal to 100,i+=10 - Increase the loop counter value by 10 for each iteration",,
Go ,Compiler,"Go Compiler (Editor),Go Compiler Explained",,"With our online Go compiler, you can edit Go code, and view the result in your browser.,Click on the ""Try it Yourself"" button to see how it works.,The window to the left is editable - edit the code and click on the ""Run"" button to view the result in the right window.,The icons are explained in the table below:",,,
Go switch Statement,,"The switch Statement,Single-Case switch Syntax,Single-Case switch Example,The default Keyword","Syntax,Example,Example","Use the , statement to select one of many code blocks to be executed.,The , statement in Go is similar to the ones in C, C++, Java, JavaScript, and PHP. The difference is that it only runs the matched case so it does not need a , statement.,This is how it works:,The example below uses a weekday number to calculate the weekday name:,The , keyword specifies some code to run if there is no case match:,All the , values should have the same type as the , expression. Otherwise, the compiler will raise an error:","The expression is evaluated once,The value of the , expression is compared with the values of each ,If there is a match, the associated block of code is executed,The ,  keyword is optional. It 
specifies some code to run if there is no , 
match",,
Go Data Types,,Go Data Types,Example,"Data type is an important concept in programming. Data type specifies the size and type of variable values.,Go is statically typed, meaning that once a variable type is defined, it can only store data of that type.,Go has three basic data types:",": represents a boolean value and is either true or false,: represents integer types, floating point values, 
  and complex types,: represents a string value",,
Go Functions,,"Create a Function,Call a Function,Naming Rules for Go Functions","Syntax,Example,Example","A function is a block of statements that can be used repeatedly in a program.,A function will not execute automatically when a page loads.,A function will be executed by a call to the function.,To create (often referred to as declare) a function, do the following:,Functions are not executed immediately. They are ""saved for later use"", and will be executed when they are called.,In the example below, we create a function named ""myMessage()"". The opening 
curly brace ( { ) indicates the beginning of the function code, and the closing 
curly brace ( } ) indicates the end of the function. The function outputs ""I 
just got executed!"". To call the function, just write its name followed by two 
parentheses ():,A function can be called multiple times., Give the function a name that reflects what the 
function does!","Use the , keyword.,Specify a name for the function, followed by parentheses ().,Finally, add code that defines what the function should do, inside curly 
braces {}.,A function name must start with a letter,A function name can only contain alpha-numeric characters and underscores (,, ,, and , 
  ),Function names are case-sensitive,A function name cannot contain spaces,If the function name consists of multiple words, techniques introduced for , 
  can be used",,
