H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
Google Sheets Tutorial,,"Examples in Each Chapter,Copy Values Tool,Why Study Google Sheets?",,"We use practical examples to give the user a better understanding of the concepts.,Example values can be copied from the tutorial and into your spreadsheet, making it easy for you to tag along step-by-step:,Google Sheets is an widely used spreadsheet program.,Example use areas:",,,
Google Sheets ,Sort,"Google Sheets Sorting,Example",,"Google sheets has commands for sorting the data in , or , order.,: from the smallest to the largest for numbers and from A to Z for text.,: from the largest to the smallest for numbers and from Z to A for text.,Google sheets has the following sort commands:,The sort commands can be found in the , menu.,Sort the Pokemon by their total stats in ascending order (from smallest to largest).,Copy the values to follow along.,This is the result:,Now all the Pokemon are sorted by their total stats.,In the next chapter, you will learn more about , command in Google sheets.",,,
Google Sheets ,Clear Format,"Example (Remove Formatting For a Range),Example (Remove Formatting For Multiple Cells),Example (Remove Formatting For A Column),Example (Remove Formatting For All Cells)",,"Google Sheets lets you remove , formatting operations on a selected range.,The , command can be found in the , menu.,Remove formatting for a range, step by step:,This is the result:,Remove formatting for multiple cells, step by step:,This is the result:, You can now remove all types of formatting for any arrangements of cells.,Remove formatting for a column, step by step:,This is the result:,You can do the same with rows. ,Remove formatting for the entire spreadsheet, step by step:,This is the result:, You have successfully removed all formatting in your sheet.",,,
Google Sheets ,Sort Range By Column,"Sort Range By Column,Example (Sort Text),Example (Sort Numbers),A Non-Working Example (Sorting One Column In A Range),Sorting More Than One Column",,"Google sheet lets you sort data in a range by columns,It is possible to sort data in a sheet by range.,The sort commands can be found in the , menu.,Sort the Pokemon in the range , by their ,, ascending from smallest to largest (A-Z).,Copy the values to follow along.,This is the result:,Sort the Pokemon ascending by their , from smallest to largest.,Copy the values to follow along.,This is the result:, The Pokemon were successfully sorted by their , from smallest to largest. The sort commands work for both text and numbers.,This example shows how sorting column by range can break the relationship between multiple data columns.,In this example we have two columns with related data. Column , is the Pokemon , and Column , is their ,. Try sorting just one of the columns (,) ascending by their ,.,Copy the values to follow along.,This is the result:,The image above shows that the relationship between column , and , is broken. The Pokemon now have wrong Total stats.,Select the whole range when sorting ranges with more than one column.,When sorting multiple columns, the sorting is done based on the column with , having the blue rectangle. This is the cell that you start selecting your range with.,In the image below the sorting is done based on the , values in column ,In the image below the sorting is done based on the , values in column ,This example shows how to sort data without losing the relationship between the data columns.,Sort the Pokemon based on their names in ascending order.,Copy the values to follow along.,This is the result:,By selecting range , the sort is done correctly, keeping the relationship between the data (Column , and ,).,Now try to sort Pokemon based on their total stats in a descending order.",,,
Google Sheets Conditional Formatting,,"Conditional Formatting,Conditional Formatting Example,Clear Formatting,Manage Formatting",,"Conditional formatting is used to change the , of cells in a range based on your specified ,.,The conditions are rules based on specified numerical values, matching text and more.,Google Sheet provides a number of preset formatting options, as well as customizable format options and conditions.,The two main Conditional Formatting options are:, formatting applies a single customizable formatting option to all the cells that match a condition., formatting applies a background color that smoothly changes between 2 or 3 colors based on the values of cells in a range.,Here, the Speed values of each pokemon is formatted with a ,:,Conditional Formatting can be removed by selecting the range of cells you want to remove the conditional formatting from and selecting the , option from the , menu:,Rules can also be removed in the right-hand side Conditional format rules menu.,Conditional Formatting can be managed in the right-hand menu.,The menu is accessed by selecting the range of cells that already have conditional format rules and selecting , from the , menu.,From this menu you can ,:,You can , rules by clicking the recycling bin icon:,Click the four vertical dots on the left of a rule and drag up or down to , the rules:",,,
Google Sheets Color Scale Formatting,,"Color Scale Formatting,Color Scale Options,Color Scale Formatting Example (Min/Max Values)",,"Color Scales are premade types of conditional formatting in Google Sheets used to highlight cells in a range to indicate how large or small the cell values are.,Here is the Color scale part of the conditional format rules menu:,You can access the menu by selecting the , option in the , menu.,From the conditional format rules menu you can choose:,In the , field you can enter the cells and ranges that the color scale applies to.,You can enter cells and ranges separated by a comma , into the field.,You can also click the icon in the right of the field to select data ranges:,This will open a dialog box where you can add ranges by selection:,You can customize the color scale by selecting min/mid/max point color icons on the right-hand side:,This will bring up a color picking menu. See the , for a detailed guide of how to customize colors.,The color scale will apply relative to the chosen min/mid/max points.,The default option is ,:,With the Min/Max value option, google sheets will choose the min and max points based on the largest and smallest values in the selected range.,The other options are:,These options will let you specify precisely what the min, mid, and max points should be.,Highlight the Speed values of each Pokemon with , conditional formatting.,Conditional formatting, step by step:,The Conditional Formatting menu will appear in the right-hand side of the spreadsheet:,There are 9 default color scale options to choose from.,The color at the right-hand side of the icons , will apply to the highest values by default.,Now, the Speed value cells will have a colored background highlighting:,Dark green is used for the highest values, and white for the lowest values.,Charizard has the highest Speed value (100) and Squirtle has the lowest Speed value (43).,All the cells in the range gradually change color from dark green, to ligher greens and then to white.","Which cells the color scale applies to,What colors the scale uses,The min, mid, and max points,Number,Percent,Percentile",,
Google Sheets ,Format Gridlines,Gridlines,,"By default, gridlines are displayed in Google Sheets.,However, gridlines can be removed.,Why remove gridlines?,How to Remove Gridlines","Make the spreadsheet more readable,Make the spreadsheet more presentable",,
Google Sheets ,Sort Range,"Sort Range,Handling Data with Headers,Multi-Level Sorting",,"The , command in Google Sheets allows for more complex sorting of data.,For example it can work with data which has headers or have multiple sort rules.,Sort range makes it very easy to sort data with headers.,Sort the Pokemon in the range , by their ,, ascending from smallest to largest (A-Z).,Copy the values to follow along.,Sort range, step by step:, You have successfully sorted the Pokemon by their total stats.,Google Sheets lets you sort your data in multiple levels.,Sort the Pokemon in the range , by their ,, ascending from smallest to largest (A-Z) and then sort the results based on their ,.,Multi-level sort range, step by step:,Let's compare the results of this example with the previous example:,The image with the , rectangle is the result of the first example and the image with the , rectangle is the result of the second example.,Look at rows ,.,The order of Pokemon has changed. In the second example they are also sorted alphabetically.,This is because we added an additional sort rule to ,.",,,
Google Sheets ,Format Numbers,"Number Formats,Decimals,Chapter summary",,"The default Number format is ,.,Why change number formats?,Examples of number formats:,Number formats can be changed by clicking the Number format dropdown (,), accessed in the Ribbon, found in the Numbers group.,In the example we have cells that represent prices, which can be formatted as Currency.,Copy the values to follow along.,Let's try to change the format of the prices to the Currency Number format.,Step by step:, The Number format was changed from , to ,.,Now, do the same for cells ,, , and ,:,Did you make it? ,Notice that the numbers look like a mess. Let's solve that by decreasing the decimals. This helps to make the presentation more neat.,The number of decimals can be increased and decreased.,There are two commands:,Clicking them reduces or increases the number of decimals.,The commands can be found next to the Number format dropdown menu.,Let's clean this up, step by step:,Do the same for cells ,, , and ,:,Number formats can be changed to make the spreadsheet more understandable or to prepare cells for functions. You can increase and decrease decimals to make the presentation neat.","Make data explainable,Prepare data for functions, so that Google Sheets understands what kind of data you are working with.,Automatic,Number,Currency,Time,Increase Decimal (,),Decrease Decimal (,)",,
Google Sheets Single Color Formatting,,"Single Color Formatting,Single Color Options,Single Color Formatting Example (Text Ends With)",,"Single Color is a premade type of conditional formatting in Google Sheets used to apply a customizable formatting option to all the cells that match a ,.,Here is the Single Color part of the conditional format rules menu:,You can access the menu by selecting the , option in the , menu.,From the conditional format rules menu you can choose:,In the , field you can enter the cells and ranges that the Single Color applies to.,You can enter cells and ranges separated by a comma , into the field.,You can also click the icon in the right of the field to select data ranges:,This will open a dialog box where you can add ranges by selection:,You can choose which rule to apply from the , drop down menu. There are many options:,The Single Color formatting lets you customize both the background color and the font of the cells.,See the , and , for detailed guides of how to customize colors and fonts.,Highlight the Pokemon name values , , with , conditional formatting.,Conditional formatting, step by step:,The Conditional Formatting menu will appear in the right-hand side of the spreadsheet:,Now, the Name value cells will have a colored background highlighting if the name ends with ""saur"":","Which cells the conditional formatting applies to,Which format rule is used,The formatting style,Empty or not Empty cells,Text Contains or not Contains,Text Starts or Ends with,Text is Exactly,Calendar Dates,Greater than,Less than,Equal to,Between or not Between,Custom rules",,
