H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
HTML, Tutorial,"Easy Learning with HTML ""Try it Yourself"",HTML Examples,HTML Exercises,HTML Quiz Test,HTML References",Example,"With our ""Try it Yourself"" editor, you can edit the HTML code and view the 
result:,In this HTML tutorial, you will find more than 200 examples. With our online 
""Try it Yourself"" editor, you can edit and test each example yourself!,This HTML tutorial also contains nearly 100 HTML exercises.,Test your HTML skills with our HTML Quiz!,At W3Schools you will find complete references about HTML elements, 
attributes, events, color names, entities, character-sets, URL encoding, 
language codes, HTTP messages, browser support, and more:",,"
<!DOCTYPE html>,
<html>,<head>,<title>Page Title</title>,
</head>,<body>,<h1>This is a Heading</h1>,<p>This is a paragraph.</p>,
</body>,</html>
",
HTML ,JavaScript,"The HTML <script> Tag,A Taste of JavaScript,The HTML <noscript> Tag,HTML Exercises,HTML Script Tags","Example,Example,Example,Example,Example,Example","JavaScript makes HTML pages more dynamic and interactive.,The HTML , tag is used to define a client-side script 
(JavaScript).,The , element either contains script statements, or it points to an 
external script file through the , attribute.,Common uses for JavaScript are image manipulation, form validation, and 
dynamic changes of content.,To select an HTML element, JavaScript most often uses the 
, method.,This JavaScript example writes ""Hello JavaScript!"" into an HTML element with id=""demo"":,Here are some examples of what JavaScript can do:,The HTML , tag defines an alternate content 
to be displayed to users that 
have disabled scripts in their browser or have a browser that doesn't support 
scripts:",,"
<script>,
 document.getElementById(""demo"").innerHTML = ""Hello JavaScript!"";,
</script>,
<script>,
 document.getElementById(""demo"").innerHTML = ""Hello JavaScript!"";,
</script>,<noscript>Sorry, your browser does not support JavaScript!</noscript>",
HTML ,Iframes,"HTML Iframe Syntax,Iframe - Set Height and Width,Iframe - Remove the Border,Iframe - Target for a Link,Chapter Summary,HTML Exercises,HTML iframe Tag","Syntax,Example,Example,Example,Example,Example","An HTML iframe is used to display a web page within a web page.,The HTML , tag specifies an 
inline frame.,An inline frame is used to embed another document within the current HTML document., It is a good practice to always include a , attribute for the ,. 
This is used by screen readers to read out what the content of the iframe is.,Use the , and , attributes to specify the 
size of the iframe.,The height and width are specified in pixels by default:,Or you can add the , attribute and use 
the CSS , and , 
properties:,By default, an iframe has a border around it. ,To remove the border, add the , attribute and use the CSS 
, property:,With CSS, you can also change the size, style and color of the iframe's border:,An iframe can be used as the target frame for a link.,The , attribute 
of the link must refer to the , attribute of the iframe:","The HTML , tag specifies an 
inline frame,The , 
attribute defines the URL of the page to embed,Always include a , attribute (for screen readers),The , and , attributes specifies the 
size of the iframe,Use , to remove the border 
  around the iframe","
<iframe src="","" title="",""></iframe>
,
<iframe src=""demo_iframe.htm"" height=""200"" width=""300"" 
  title=""Iframe Example""></iframe>,
<iframe src=""demo_iframe.htm"" style=""height:200px;width:300px;"" 
  title=""Iframe Example""></iframe>,
<iframe src=""demo_iframe.htm"" style=""border:none;"" 
  title=""Iframe Example""></iframe>,
<iframe src=""demo_iframe.htm"" style=""border:2px solid red;"" 
  title=""Iframe Example""></iframe>,
 <iframe src=""demo_iframe.htm"" name=""iframe_a"" title=""Iframe 
  Example""></iframe>,
 <p><a href=""https://www.w3schools.com"" target=""iframe_a"">W3Schools.com</a></p>
",
HTML ,id Attribute,"Using The id Attribute,Difference Between Class and ID,HTML Bookmarks with ID and Links,Example,Using The id Attribute in JavaScript,Chapter Summary,HTML Exercises","Example,Example,Example,Example","The HTML , attribute is used 
to specify a unique id for an HTML element.,You cannot have more than one element with the same id in an 
HTML document.,The , attribute specifies a unique id 
for an HTML element. The value of the , 
attribute must be unique within the HTML document.,The , attribute is used to point 
to a specific style declaration in a style sheet. It is also used by JavaScript to access and 
manipulate the element with the specific id.,The syntax for id is: write a hash character (#), followed by an id name. 
Then, define the CSS properties within curly braces {}.,In the following example we have an , element that points to the 
id name 
""myHeader"". This , 
element will be styled according to the , 
style definition in the head section:,A 
class name can be used by multiple HTML elements, while an id name must only be 
used by one HTML element 
within the page:,HTML bookmarks are used to allow readers to jump to specific parts of a webpage.,Bookmarks can be useful if your page is very long.,To use a bookmark, you must first create it, and then add a link 
to it.,Then, when the link is clicked, the page will scroll to the location with the 
bookmark.,First, create a bookmark with the , attribute:,Then, add a link to the bookmark (""Jump to Chapter 4""), from within the same page:,Or, add a link to the bookmark (""Jump to Chapter 4""), from another page:,The , attribute can also be used by JavaScript to perform 
some tasks for that specific element.,JavaScript can access an element with a specific id with the , method:","The , attribute is used to specify a unique id 
for an HTML element,The value of the , 
attribute must be unique within the HTML document,The , 
  attribute is used by CSS and JavaScript to style/select a specific element,The value of the , 
  attribute is case sensitive,The , 
  attribute is also used to create HTML bookmarks,JavaScript can access an element with a specific id with the , 
  method","
  <!DOCTYPE html>,<html>,<head>,<style>,#myHeader {,  
  background-color: lightblue;,  color: black;,  padding: 40px;,  
  text-align: center;,} ,</style>,</head>,<body>,<h1 id=""myHeader"">My 
  Header</h1>,</body>,</html>,
  <style>,/* Style the element with the id ""myHeader"" 
  */,
  , {,  background-color: lightblue;,  
  color: black;,  padding: 
  40px;,  text-align: center;,},/* Style all 
  elements with the class name ""city"" */,{,  background-color: tomato;,  color: white;,  padding: 10px;,} ,</style>,
  ,<!-- An element with a unique id -->,<h1 id=""myHeader"">My 
  Cities</h1>,<!-- Multiple elements with same class -->,<h2 class=""city"">London</h2>,<p>London is the capital of England.</p>,
  <h2 class=""city"">Paris</h2>,<p>Paris is the capital of France.</p>,
  <h2 class=""city"">Tokyo</h2>,<p>Tokyo is the capital of Japan.</p>,
<h2 id=""C4"">Chapter 4</h2>,
 <a href=""#C4"">Jump to Chapter 4</a>
,
<a href=""html_demo.html#C4"">Jump to Chapter 4</a>
,
  <script>,function displayResult() {,  document.getElementById(""myHeader"").innerHTML = ""Have a nice day!"";,},
  </script>",
HTML ,Computer Code Elements,"HTML <kbd> For Keyboard Input,HTML <samp> For Program Output,HTML <code> For Computer Code,HTML <var> For Variables,Chapter Summary,HTML Exercises,HTML Computer Code Elements","Example,Example,Example,Example,Example,Example","HTML contains several elements for defining user input and 
computer code. ,The HTML , element is used 
to define keyboard input. The content inside is displayed in the browser's 
default monospace font.,The HTML , element is used to 
define sample output from a computer program. The content inside is displayed in 
the browser's default monospace font.,The HTML , element  is used 
to define a piece of computer code. The content inside is displayed in the 
browser's default monospace font.,Notice that the , element does not preserve extra whitespace and line-breaks.,To fix this, you can put the , element inside a , element:,The HTML , element  is used 
to define a variable in programming or in a mathematical expression. The 
content inside is typically displayed in italic.","The , element defines 
keyboard input,The , element defines 
  sample output from a computer program,The , element defines a piece of computer code,The , element defines a variable in programming or in a mathematical expression,The , element defines 
  preformatted text","
<code>,x = 5;,y = 6;,
  z = x + y;,</code>
,
<p>Save the document by pressing <kbd>Ctrl + S</kbd></p>,
  <p>Message from my computer:</p>,<p><samp>File not found.<br>Press F1 to 
  continue</samp></p>,
  <code>,x = 5;,y = 6;,z = x + y;,</code>,
 <pre>,<code>,x = 5;,y = 6;,z = x + y;,</code>,</pre>,
  <p>The area of a triangle is: 1/2 x <var>b</var> x <var>h</var>, where <var>b</var> 
  is the base, and <var>h</var> is the vertical height.</p>",
HTML ,Layout Elements and Techniques,"HTML Layout Elements,HTML Layout Techniques,CSS Frameworks,CSS Float Layout,CSS Flexbox Layout,CSS Grid Layout","Example,Example,Example","Websites often display content in multiple columns (like a magazine or 
a newspaper).,HTML has several semantic elements that define the different parts of a web page:,There are four different techniques to create multicolumn layouts. Each 
technique has its pros and cons:,If you want to create your layout fast, you can use a CSS framework, like
, or ,.,It is common to do entire web layouts using the CSS , property. Float is easy to learn 
- you just need to remember how the , and , properties work. 
, Floating elements are tied to the document flow, which may harm 
the flexibility. Learn more about float in our , chapter.,Use of flexbox ensures that elements behave predictably when the page layout 
must accommodate different screen sizes and different display devices. 
,Learn more about flexbox in our
, chapter.,The CSS Grid Layout Module offers a grid-based layout system, with rows and columns,
making it easier to design web pages without having to use floats and positioning.,Learn more about CSS grids in our
, chapter."," , - Defines a header for a document or a section, , - Defines a set of navigation links, , - Defines a section in a document, , - Defines an independent, self-contained 
  content, , - Defines content aside from the content (like a sidebar), , - Defines a footer for a document or a section, , - Defines additional details 
  that the user can open and close on demand, , - Defines a heading for the , element,CSS framework,CSS float property,CSS flexbox,CSS grid",,
HTML ,Style Guide,"Always Declare Document Type,Use Lowercase Element Names,Close All HTML Elements,Use Lowercase Attribute Names,Always Quote Attribute Values,Always Specify alt, width, and height for Images,Spaces and Equal Signs,Avoid Long Code Lines,Blank Lines and Indentation,Never Skip the <title> Element,Omitting <html> and <body>?,Omitting <head>?,Close Empty HTML Elements?,Add the lang Attribute,Meta Data,Setting The Viewport,HTML Comments,Using Style Sheets,Loading JavaScript in HTML,Accessing HTML Elements with JavaScript,Use Lower Case File Names,File Extensions,Differences Between .htm and .html?,Default Filenames","Good:,Bad:,Good:,Bad:,Good:,Bad:,Good:,Bad:,Very bad:,Good:,Bad:,Good:,Bad:,Good:,Bad:,Good Table Example:,Good List Example:,Example,Example,Allowed:,Also Allowed:,Example,Example","A consistent, clean, and tidy HTML code makes it easier for others to read and understand your code. ,Here are some guidelines and tips for creating good HTML code.,Always declare the document type as the first line in your document.,The correct document type for HTML is:,HTML allows mixing uppercase and lowercase letters in element names.,However, we recommend using lowercase element names, because:,In HTML, you do not have to close all elements (for example the , element). ,However, we strongly recommend closing all HTML elements, like this:,HTML allows mixing uppercase and lowercase letters in attribute names.,However, we recommend using lowercase attribute names, because:,HTML allows attribute values without quotes.,However, we recommend quoting attribute values, because:,Always specify the , attribute for images. This attribute is important if the image 
for some reason cannot be displayed.,Also, always define the , and , of images. This reduces flickering, because the browser can reserve space for 
the image before loading.,HTML allows spaces around equal signs. But space-less is easier to read and 
groups entities better together.,When using an HTML editor, it is NOT convenient to scroll right and left to read the HTML code.,Try to avoid too long code lines.,Do not add blank lines, spaces, or indentations without a reason.,For readability, add blank lines to separate large or logical code blocks.,For readability, add two spaces of indentation. Do not use the tab key.,The , element is required in HTML.,The contents of a page title is very important for search engine optimization 
(SEO)! The page title is used by search engine algorithms to decide the order 
when listing pages in search results.,The , element:,So, try to make the title as accurate and meaningful as possible: ,An HTML page will validate without the , and 
, tags:,However, we strongly recommend to always add the , and 
, tags!,Omitting , can produce errors in older browsers.,Omitting , and , 
can also crash DOM and XML software.,The HTML <head> tag can also 
be omitted.,Browsers will add all elements before ,, to a default , 
element.,However, we recommend using the , tag.,In HTML, it is optional to close empty elements.,If you expect XML/XHTML software to access your page, keep the 
closing slash (/), because it is required in XML and XHTML.,You should always include the , attribute 
inside the , tag, to declare the 
language of the Web page. This is meant to assist search engines and browsers.,To ensure proper interpretation and correct search engine indexing, both the language and 
the character encoding , should be defined as early as possible in an HTML document:,The viewport is the user's visible area of a web page. It varies with the device 
- it will be smaller on a mobile phone than on a computer screen.,You should include the following , element in all your web pages:,This gives the browser instructions on how 
to control the page's dimensions and scaling.,The , part sets the width of the page to follow the screen-width of the device (which will vary depending on the device).,The , part sets the initial zoom level when the page is first loaded by the browser.,Here is an example of a web page , the viewport meta tag, and the same web page , the viewport meta tag:,Short comments should be written on one line, like this:,Comments that spans more than one line, should be written like this:,Long comments are easier to observe if they are indented with two spaces.,Use simple syntax for linking to style sheets (the , attribute is not necessary):,Short CSS rules can be written compressed, like this:,Long CSS rules should be written over multiple lines:,Use simple syntax for loading external scripts (the , attribute is not necessary):,Using ""untidy"" HTML code can result in JavaScript errors.,These two JavaScript statements will produce different results:,.,Some web servers (Apache, Unix) are case sensitive about file names: ""london.jpg"" cannot be accessed as 
""London.jpg"". ,Other web servers (Microsoft, IIS) are not case sensitive: ""london.jpg"" can be accessed as 
""London.jpg"".,If you use a mix of uppercase and lowercase, you have to be aware of this.,If you move from a case-insensitive to a case-sensitive server, even small 
errors will break your web!,To avoid these problems, always use lowercase file names!,HTML files should have a , extension (, is allowed).,CSS files should have a , extension.,JavaScript files should have a , extension.,There is no difference between the .htm and .html file extensions!,Both will be 
treated as HTML by any web browser and web server.,When a URL does not specify a filename at the end (like ""https://www.w3schools.com/""), 
the server just adds a default filename, such as ""index.html"", 
""index.htm"", ""default.html"", or ""default.htm"".,If your server is configured only with ""index.html"" as the default filename, your 
file must be named ""index.html"", and not ""default.html"".,However, servers can be configured with more than one default filename; 
usually you can set up as many default filenames as you want.","Mixing uppercase and lowercase names looks bad,Developers normally use lowercase names,Lowercase looks cleaner,Lowercase is easier to write,Mixing uppercase and lowercase names looks bad,Developers normally use lowercase names,Lowercase look cleaner,Lowercase are easier to write,Developers normally quote attribute values,Quoted values are easier to read,You MUST use quotes if the value contains spaces,defines a title in the browser toolbar,provides a title for the page when it is added to favorites,displays a title for the page in search-engine results,Place the opening bracket on the same line as the selector,Use one space before the opening bracket,Use two spaces of indentation,Use semicolon after each property-value pair, including the last,Only use quotes around values if the value contains spaces,Place the closing bracket on a new line, without leading spaces","
 <!DOCTYPE html>,
<body>,
<p>This is a paragraph.</p>,
</body>,
<BODY>,
<P>This is a paragraph.</P>,
</BODY>,
 <section>,  <p>This is a paragraph.</p>,  <p>This is a paragraph.</p>,
    </section>,
 <section>,  <p>This is a paragraph.,  <p>This is a paragraph.,
    </section>,
  <a href=""https://www.w3schools.com/html/"">Visit our HTML tutorial</a>,
  <a HREF=""https://www.w3schools.com/html/"">Visit our HTML tutorial</a>,
 <table 
    class=""striped"">,
 <table class=striped>,
 <table class=table striped>,
 <img 
    src=""html5.gif"" alt=""HTML5"" style=""width:128px;height:128px"">,
 <img 
    src=""html5.gif"">,
 <link rel=""stylesheet"" href=""styles.css"">,
 <link 
    rel = ""stylesheet"" href = ""styles.css"">,
 <body>,<h1>Famous Cities</h1>,<h2>Tokyo</h2>,
    <p>Tokyo is the capital of Japan, the 
    center of the Greater Tokyo Area,,and the most 
    populous metropolitan area in the world.,It is the 
    seat of the Japanese government and the Imperial Palace,,
and the home of the Japanese Imperial Family.</p>,</body>,
 <body>,  <h1>Famous Cities</h1>,  <h2>Tokyo</h2>,
    ,  <p>,    Tokyo is the capital of Japan, the 
    center of the Greater Tokyo Area,,    and the most 
    populous metropolitan area in the world.,    It is the 
    seat of the Japanese government and the Imperial Palace,,    
    and the home of the Japanese Imperial Family.,  </p>,</body>,
 <table>,  <tr>,    <th>Name</th>,
    <th>Description</th>,
     
    </tr>,  <tr>,    <td>A</td>,
    <td>Description of A</td>,
     
    </tr>,  <tr>,    <td>B</td>,
    <td>Description of B</td>,  </tr>,</table>,
 <ul>,  <li>London</li>,  <li>Paris</li>,
      
    <li>Tokyo</li>,</ul>,
 <title>HTML 
    Style Guide and Coding Conventions</title>,
    <!DOCTYPE html>,<head>,  <title>Page Title</title>,
    </head>,
    ,
 <h1>This is a heading</h1>,<p>This is a paragraph.</p>,
    <!DOCTYPE html>,<html>,<title>Page Title</title>,
    <body>,<h1>This is a heading</h1>,<p>This is a paragraph.</p>,
    ,</body>,</html>,
 <meta 
    charset=""utf-8"">,
 <meta charset=""utf-8"" />,
    <!DOCTYPE html>,<html lang=""en-us"">,<head>,  <title>Page Title</title>,
    </head>,<body>,<h1>This is a 
    heading</h1>,<p>This is a paragraph.</p>,</body>,</html>,
 <!DOCTYPE html>,<html 
    lang=""en-us"">,<head>,  <meta charset=""UTF-8"">,
   
 <title>Page Title</title>,</head>,
<!-- This is a comment -->
,
<!-- ,  This is a long comment example. This is 
  a long comment example.,  This is a 
  long comment example. This is a long comment example.,-->
,
<link rel=""stylesheet"" href=""styles.css"">
,
<script src=""myscript.js"">
",
HTML ,File Paths,"File Path Examples,HTML File Paths,Absolute File Paths,Relative File Paths,Best Practice","Example,Example,Example,Example","A file path describes the location of a file in a web site's folder structure.,A file path describes the location of a file in a web site's folder structure.,File paths are used when linking to external files, like:,An absolute file path is the full URL to a file:,A relative file path points to a file relative to the current page.,In the following example, the file path points to a file in the images folder located 
at the root of the current web:,In the following example, the file path points to a file in the images folder located in the 
current folder:,In the following example, the file path points to a file in the images folder located in the 
folder one level up from the current folder:,It is best practice to use relative file paths (if possible).,When using relative file paths, your web pages will not be bound to your current 
base URL. All links will work on your own computer (localhost) as well as on 
your current public domain and your future public domains.","Web pages,Images,Style sheets,JavaScripts","
<img src=""https://www.w3schools.com/images/picture.jpg"" 
  alt=""Mountain"">
,
<img src=""/images/picture.jpg"" 
alt=""Mountain"">
,
<img src=""images/picture.jpg"" 
alt=""Mountain"">
,
<img src=""../images/picture.jpg"" 
alt=""Mountain"">
",
HTML - ,The Head Element,"The HTML <head> Element,The HTML <title> Element,The HTML <style> Element,The HTML <link> Element,The HTML <meta> Element,Examples,Setting The Viewport,The HTML <script> Element,The HTML <base> Element,Chapter Summary,HTML head Elements","Example,Example,Example,Example,Example,Example","The HTML , element
is a container for the following elements:
,, ,, 
,, ,, ,, and ,.,The , element is a container for metadata (data 
about data) and is placed between the , tag and the , tag.,HTML metadata is data about the HTML document. Metadata is not displayed.,Metadata typically define the document title, character set, styles, scripts, and other meta information.,The , element defines the title of the document. 
The title must be text-only, and it is shown in the browser's title bar or in 
the page's tab.,The , element is required in HTML documents!,The contents of a page title is very important for search engine optimization 
(SEO)! The page title is used by search engine algorithms to decide the order 
when listing pages in search results.,The , element:,So, try to make the title as accurate and meaningful as possible!,A simple HTML document:,The , element is used to define style information for a 
single HTML page:,The , element defines the 
relationship between the current document and an external resource.,The , 
tag is most often used to link to external style sheets:,The , element is typically used 
to specify the character set, page description, keywords, author of the document, 
and viewport settings.,The metadata will not be displayed on the page, but are used by browsers (how to display content 
or reload page), 
by search engines (keywords), and other web services.,Example of , tags:,The viewport is the user's visible area of a web page. It varies with the device 
- it will be smaller on a mobile phone than on a computer screen.,You should include the following , element in all your web pages:,This gives the browser instructions on how 
to control the page's dimensions and scaling.,The , part sets the width of the page to follow the screen-width of the device (which will vary depending on the device).,The , part sets the initial zoom level when the page is first loaded by the browser.,Here is an example of a web page , the viewport meta tag, and the same web page , the viewport meta tag:,The , element is used to define client-side JavaScripts.,The following JavaScript writes ""Hello JavaScript!"" into an HTML element with id=""demo"":,The , element specifies the base URL and/or target for all relative URLs in a page.,The , tag must have either an 
href or a target attribute present, or both.,There can only be one single , 
element in a document!","defines a title in the browser toolbar,provides a title for the page when it is added to favorites,displays a title for the page in search engine-results,The , element is a container for metadata (data 
about data),The , element is placed between the , tag and the , tag,The , element is required and 
  it defines the title of the document,The , element is used to 
  define style information for a single document,The , 
  tag is most often used to link to external style sheets,The , element is typically 
  used to specify the character set, page description, keywords, author of the 
  document, and viewport settings,The , element is used to define client-side JavaScripts,The , element specifies the 
  base URL and/or target for all relative URLs in a page","
<!DOCTYPE html>,
<html>,<head>,
 
<title>A Meaningful Page 
 Title</title>,
 </head>,
<body>,
  ,The content of the document......,
  ,</body>,
</html>
,
<style>,
   
  body {background-color: powderblue;},  h1 {color: red;},
   
  p {color: blue;},
</style>,
<link rel=""stylesheet"" href=""mystyle.css"">
,
 <meta charset=""UTF-8"">,<meta name=""description"" content=""Free Web tutorials"">,<meta name=""keywords"" content=""HTML, CSS, JavaScript"">,<meta name=""author"" content=""John 
  Doe"">,
<script>,function myFunction() {,
   
 document.getElementById(""demo"").innerHTML = ""Hello JavaScript!"";,
 },</script>,
   <head>,<base href=""https://www.w3schools.com/"" target=""_blank"">,</head>,
   ,<body>,<img src=""images/stickman.gif"" width=""24"" height=""39"" 
   alt=""Stickman"">,<a href=""tags/tag_base.asp"">HTML base Tag</a>,</body>,
",
HTML ,Block and Inline Elements,"Block-level Elements,Inline Elements,The <div> Element,The <span> Element,Chapter Summary,HTML Tags","Example,Example,Example,Example","Every HTML element has a default display value, depending on what type 
of element it is.,There are two display values: block and inline.,A block-level element always starts on a new line.,A block-level element always takes up the full width available 
(stretches out to the left and right as far as it can).,A block level element has a top and a bottom margin, whereas an inline 
element does not.,Here are the block-level elements in HTML:,An inline element does not start on a new line.,An inline element only takes up as much width as necessary.,This is , a paragraph.,Here are the inline elements in HTML:,The , element is 
often used as a container for other HTML elements.,The , element has no required attributes, but ,, , and , are common.,When used together with CSS, the , element can be used to style blocks of 
content:,The , element is  
an inline container used to mark up a part of a text, or a part of a document.,The , element has no required attributes, but ,, , and , are common.,When used together with CSS, the , element can be used to style parts of the text:","There are two display values: block and inline,A block-level element always starts on a new line and takes up the full 
  width available,An inline element does not start on a new line and it only takes up as 
  much width as necessary,The , element is a block-level 
  and is often used as a container for other HTML elements,The , element is an inline 
  container used to mark up a part of a text, or a part of a document","
<div>Hello World</div>,
<span>Hello World</span>,
<div style=""background-color:black;color:white;padding:20px;"">,
   <h2>London</h2>,  <p>London is the capital city of England. It is the most populous city in the United Kingdom, with a metropolitan area of over 13 million inhabitants.</p>,
 </div>
,
  <p>My mother has <span style=""color:blue;font-weight:bold"">blue</span> eyes 
  and my father has <span style=""color:darkolivegreen;font-weight:bold"">dark 
  green</span> eyes.</p>,
",
