H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
W3Schools ,How To,,,"Code snippets for HTML, CSS and JavaScript.",,,
How TO - Responsive Bottom Navigation,,"Responsive Bottom Navigation,Create A Responsive Bottom Navbar","Example,Example,Example,Example","Learn how to create a responsive bottom navigation menu with CSS and JavaScript., the browser window to see how the responsive navigation menu works:,The link with class=""icon"" is used to open and close the navbar on small 
screens.,Add media queries:, Go to our , to learn more about navigation bars.",,"
<div class=""navbar"" 
id=""myNavbar"">,  <a href=""#home"">Home</a>,  
<a href=""#news"">News</a>,  <a href=""#contact"">Contact</a>,  
<a href=""#about"">About</a>,  <a href=""javascript:void(0);"" 
  class=""icon"" onclick=""myFunction()"">&#9776;</a>,</div>",
How TO - Bottom Navigation,,"Bottom Navigation Menu,Create A Bottom Navigation Menu","Example,Example","Learn how to create a bottom navigation menu with CSS., To create a mobile-friendly, responsive bottom navigation bar, read our , tutorial., Go to our , to learn more about navigation bars.",,"
<div class=""navbar"">,  <a href=""#home"" 
  class=""active"">Home</a>,  
<a href=""#news"">News</a>,  <a href=""#contact"">Contact</a>,</div>",
How TO - Vertical Menu,,"Vertical Menu,How To Create a Vertical Button Group,Vertical Scroll Menu","Example,Example,Example","Learn how to create a vertical menu with CSS.,Set a specific , and add the , property if you want a vertical scroll menu:, Check out our , tutorial to learn how to create a fixed, full-height side navigation.",,"
  <div class=""vertical-menu"">,  <a href=""#"" 
  class=""active"">Home</a>,  <a href=""#"">Link 
  1</a>,  <a href=""#"">Link 2</a>,  <a href=""#"">Link 3</a>,  
  <a href=""#"">Link 4</a>,</div>",
How TO - Hide Menu on Scroll,,How To Hide Navbar on Scroll Down,"Example,Example,Example","Learn how to hide a navigation menu on scroll down with CSS and JavaScript.,Create a navigation bar:,Style the navigation bar:",,"
  <div id=""navbar"">,  <a href=""#home"">Home</a>,  <a href=""#news"">News</a>,  
  <a href=""#contact"">Contact</a>,</div>",
How TO - Centered Top Navigation,,"Centered Menu Link,Create a Top Navigation Bar","Example,Example","Learn how to create a navigation bar with a centered link/logo., To create mobile-friendly, responsive navigation bars, read our , tutorial., Go to our , to learn more about navigation bars.",,"
  <!-- Top navigation -->,<div class=""topnav"">,  <!-- Centered 
  link -->,  <div class=""topnav-centered"">,    <a href=""#home"" 
  class=""active"">Home</a>,  </div>,  <!-- Left-aligned links 
  (default) -->,  <a href=""#news"">News</a>,  <a href=""#contact"">Contact</a>,
  ,  <!-- Right-aligned links -->,  <div class=""topnav-right"">,    
  <a href=""#search"">Search</a>,    <a href=""#about"">About</a>,  
  </div>,</div>",
How TO - Slide Down a Bar on Scroll,,How To Slide Down a Bar,"Example,Example,Example","Learn how to slide down a navigation bar on scroll with CSS and JavaScript.,Create a navigation bar:,Style the navigation bar:",,"
  <div id=""navbar"">,  <a href=""#home"">Home</a>,  <a href=""#news"">News</a>,  
  <a href=""#contact"">Contact</a>,</div>",
How TO - Sidebar with Icons,,How To Create a Sidebar with Icons,"Example,Example","Learn how to create a side navigation menu with icons, using CSS., Go to our , to learn more about navigation bars., If you want to create a navigation bar that only contains icons, read our ,.",,"
  <!-- Load an icon library -->,<link rel=""stylesheet"" href=""https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css"">,
  ,<!-- The sidebar -->,<div class=""sidebar"">,  <a href=""#home""><i 
  class=""fa fa-fw fa-home""></i> Home</a>,  <a href=""#services""><i 
  class=""fa fa-fw fa-wrench""></i> Services</a>,  <a href=""#clients""><i 
  class=""fa fa-fw fa-user""></i> Clients</a>,  <a href=""#contact""><i 
  class=""fa fa-fw fa-envelope""></i> Contact</a>,</div>",
How TO - Side Navigation Buttons,,How To Create a Hoverable Sidenav,"Example,Example","Learn how to create hoverable side navigation buttons with CSS., Go to our , to learn more about navigation bars.",,"
  <div id=""mySidenav"" class=""sidenav"">,  <a href=""#"" 
  id=""about"">About</a>,  <a href=""#"" id=""blog"">Blog</a>,  <a 
  href=""#"" id=""projects"">Projects</a>,  <a href=""#"" 
  id=""contact"">Contact</a>,</div>",
How TO - Horizontal Scroll Menu,,How To Create a Horizontal Scrollable Menu,"Example,Example","Learn how to create a horizontal scrollable menu with CSS.,The trick to make the navbar scrollable is by using , and ,:, Go to our , to learn more about navigation bars.",,"
<div class=""scrollmenu"">,  <a href=""#home"">Home</a>,  <a 
href=""#news"">News</a>,  <a href=""#contact"">Contact</a>,  <a 
href=""#about"">About</a>,  ...,</div>",
