H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
Icons Tutorial,,"How To Add Icons,Font Awesome 5 Icons,Font Awesome 4 Icons,Bootstrap 3 Icons,Google Icons","Example,Example,Example,Example","To insert an icon, add the name of the icon class to any inline HTML element.,The , and , elements are widely used to add 
icons.,All the icons in the icon libraries below, are scalable vector icons that can 
be customized with CSS (size, color, shadow, etc.),To use the Free Font Awesome 5 icons, go to , and sign in to get a code to use in your web pages.,Read more about how to get started with Font Awesome in our
, chapter., No downloading or installation is required!,To use the Font Awesome 4 icons, add the following line inside the , section of your HTML page:, No downloading or installation is required!,To use the Bootstrap 3 glyphicons, add the following line inside the , section of your HTML page:, No downloading or installation is required!,To use the Google icons, add the following line inside the , section of your HTML page:, No downloading or installation is required!",,"
  <!DOCTYPE html>,<html>,<head>,
     <script src=""https://kit.fontawesome.com/,.js"" crossorigin=""anonymous""></script>,
   <!--Get your code at fontawesome.com-->,</head>,<body>,<i class=""fas fa-band-aid""></i>,<i 
   class=""fas fa-cat""></i>,<i class=""fas fa-dragon""></i>,<i class=""far fa-clock""></i>,
   <i class=""fas fa-clock""></i>,
  </body>,</html>
,
  <!DOCTYPE html>,<html>,<head>,
     <link rel=""stylesheet""  href=""https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css"">,
  </head>,<body>,<i class=""fa fa-cloud""></i>,<i  class=""fa fa-heart""></i>,<i class=""fa fa-car""></i>,<i class=""fa fa-file""></i>,
  <i class=""fa fa-bars""></i>,
  </body>,</html>
,
  <!DOCTYPE html>,<html>,<head>,
     <link rel=""stylesheet"" href=""https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css"">,</head>,<body>,
  ,<i class=""glyphicon glyphicon-cloud""></i>,<i class=""glyphicon  glyphicon-remove""></i>,<i class=""glyphicon glyphicon-user""></i>,<i  class=""glyphicon glyphicon-envelope""></i>,<i class=""glyphicon glyphicon-thumbs-up""></i>,
  </body>,</html>
,
  <!DOCTYPE html>,<html>,<head>,
     <link rel=""stylesheet"" href=""https://fonts.googleapis.com/icon?family=Material+Icons"">,</head>,<body>,
  ,<i class=""material-icons"">cloud</i>,<i  class=""material-icons"">favorite</i>,<i  class=""material-icons"">attachment</i>,<i  class=""material-icons"">computer</i>,<i  class=""material-icons"">traffic</i>,</body>,</html>
",
Font Awesome 5 ,Editor Icons,Editor Icons,,The table below shows the Free Font Awesome 5 Editor icons:,,,
Font Awesome 5 ,Design Icons,Design Icons,,The table below shows the Free Font Awesome 5 Design icons:,,,
Font Awesome 5 ,Energy Icons,Energy Icons,,The table below shows the Free Font Awesome 5 Energy icons:,,,
Font Awesome 5 ,Food Icons,Food Icons,,The table below shows the Free Font Awesome 5 Food icons:,,,
Font Awesome 5 ,Education Icons,Education Icons,,The table below shows the Free Font Awesome 5 Education icons:,,,
Font Awesome 5 ,Date & Time Icons,Date & Time Icons,,The table below shows the Free Font Awesome 5 Date & Time icons:,,,
Font Awesome 5 ,Finance Icons,Finance Icons,,The table below shows the Free Font Awesome 5 Finance icons:,,,
Font Awesome 5 ,Fitness Icons,Fitness Icons,,The table below shows the Free Font Awesome 5 Fitness icons:,,,
Font Awesome 5 ,Files Icons,Files Icons,,The table below shows the Free Font Awesome 5 Files icons:,,,
Font Awesome 5 ,Emoji Icons,Emoji Icons,,The table below shows the Free Font Awesome 5 Emoji icons:,,,
Font Awesome 5 ,Currency Icons,Currency Icons,,The table below shows the Free Font Awesome 5 Currency icons:,,,
Font Awesome 5 ,Construction Icons,Construction Icons,,The table below shows the Free Font Awesome 5 Construction icons:,,,
Font Awesome 5 ,Computer Icons,Computer Icons,,The table below shows the Free Font Awesome 5 Computer icons:,,,
Font Awesome 5 ,Communication Icons,Communication Icons,,The table below shows the Free Font Awesome 5 Communication icons:,,,
Font Awesome 5 ,Code Icons,Code Icons,,The table below shows the Free Font Awesome 5 Code icons:,,,
Google ,Social Icons,Social Icons,,The table below shows all Google Social icons:,,,
Google ,Places Icons,Places Icons,,The table below shows all Google Places icons:,,,
Google ,Notification Icons,Notification Icons,,The table below shows all Google Notification icons:,,,
Google ,Navigation Icons,Navigation Icons,,The table below shows all Google Navigation icons:,,,
Google ,Maps Icons,Maps Icons,,The table below shows all Google Maps icons:,,,
Google ,Image Icons,Image Icons,,Below is a list of all Google Image icons:,,,
Google ,Hardware Icons,Hardware Icons,,Below is a list of all Google Hardware icons:,,,
Google ,Toggle Icons,Toggle Icons,,The table below shows all Google Toggle icons:,,,
Google ,File Icons,File Icons,,The table below shows all Google File icons:,,,
Google ,Editor Icons,Editor Icons,,The table below shows all Google Editor icons:,,,
Google ,Device Icons,Device Icons,,The table below shows all Google Device icons:,,,
Google ,Content Icons,Content Icons,,The table below shows all Google Content icons:,,,
Google ,Communication Icons,Communication Icons,,The table below shows all Google Communication icons:,,,
Google ,AV Icons,AV Icons,,The table below shows all Google AV icons:,,,
Google ,Alert Icons,Alert Icons,,The table below shows all Google Alert icons:,,,
Google ,Action Icons,Action Icons,,The table below shows all Google Action icons:,,,
