H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
JavaScript ,Tutorial,"Examples in Each Chapter,Use the Menu,Learn by Examples,Why Study JavaScript?,Learning Speed,Commonly Asked Questions,JavaScript References,JavaScript Quiz Test",Example,"With our ""Try it Yourself"" editor, you can edit the source code and view 
the result.,We recommend reading this tutorial, in the sequence listed in the menu.,If you have a large screen, the menu will always be present on the left.,If you have a small screen, open the menu by clicking the top menu sign ,.,Examples are better than 1000 words. Examples are often easier to understand 
than text explanations.,This tutorial supplements all explanations with clarifying ""Try it Yourself"" examples.,JavaScript is one of the , all web developers , 
learn:,   1. , to define the content of web pages,   2. , to specify the layout of web pages,   3. , to program the behavior of web pages ,In this tutorial, the learning speed is your choice.,Everything is up to you.,If you are struggling, take a break, or re-read the material., make sure you understand , the ""Try-it-Yourself"" 
examples.,The only way to become a clever programmer is to:
Practice. Practice. Practice. Code. Code. Code !,You don't have to get or download JavaScript.,JavaScript is already running in your browser on your computer,
on your tablet, and on your smart-phone.,JavaScript is free to use for everyone.,W3Schools maintains a complete JavaScript reference, including all HTML and browser objects.,The reference contains examples for all properties, methods and events, and 
is continuously updated according to the latest web standards.,Test your JavaScript skills at W3Schools!","The Original JavaScript ES1 ES2 ES3 (1997-1999),The First Main Revision ES5 (2009),The Second Revision ES6 (2015),The Yearly Additions (2016, 2017, 2018),How do I get JavaScript?,Where can I download JavaScript?,Is JavaScript Free?",,
JavaScript ,String Methods,"String Methods and Properties,JavaScript String Length,Extracting String Parts,JavaScript String slice(),JavaScript String substring(),JavaScript String substr(),Replacing String Content,Converting to Upper and Lower Case,JavaScript String toUpperCase(),JavaScript String toLowerCase(),JavaScript String concat(),JavaScript String trim(),JavaScript String Padding,JavaScript String padStart(),Browser Support,JavaScript String padEnd(),Browser Support,Extracting String Characters,JavaScript String charAt(),JavaScript String charCodeAt(),Property Access,Converting a String to an Array,JavaScript String split()","Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example","String methods help you to work with strings.,Primitive values, like ""John Doe"", cannot have properties 
or methods (because they are not objects). ,But with JavaScript, methods and properties are also available to 
primitive values, because JavaScript treats primitive values 
as objects when executing methods and properties.,The , property returns the length of a string:,There are 3 methods for extracting a part of a string:, extracts a part of a string and returns the 
extracted part in a new string.,The method takes 2 parameters: the start position, and the end position (end 
not included).,This example slices out a portion of a string from position 7 to position 12 (13-1):,If a parameter is negative, the position is counted from the 
end of the string.,This example slices out a portion of a string from position -12 to position 
-6: ,If you omit the second parameter, the method will slice out the rest of the string:,or, counting from the end:, is similar to ,.,The difference is that , cannot accept negative indexes.,If you omit the second parameter, , will slice out the rest of the 
string., is similar to ,.,The difference is 
that the second parameter specifies the , 
of the extracted part.,If you omit the second parameter, , will slice out the rest of the 
string.,If the first parameter is negative, the position counts from the end of the 
string.,The , method replaces a specified value with another 
value in a string:,By default, the , method replaces , match:,By default, the , method is case sensitive. Writing MICROSOFT (with 
upper-case) will not work:,To replace case insensitive, use a , with an , flag (insensitive):,To replace all matches, use a , with a , flag (global match):,A string is converted to upper case with ,:,A string is converted to lower case with ,:, joins two or more strings:,The , method can be used instead of the plus operator. 
These two lines do the same:,The , method removes whitespace from both sides of a string:,ECMAScript 2017 added two String methods: ,
and , to support padding at the beginning and at the end of a string., is an ECMAScript 2017 feature.,It is supported in all modern browsers:, is not supported in Internet Explorer., is an ECMAScript 2017 feature.,It is supported in all modern browsers:, is not supported in Internet Explorer.,There are 3 methods for extracting string characters:,The , method returns the character at a specified 
index (position) in a string:,The , method returns the unicode of the character 
at a specified index in a string:,The method returns a UTF-16 code (an integer between 0 and 65535).,ECMAScript 5 (2009) allows property access [ ] on strings:,A string can be converted to an array with the , method:,If the separator is omitted, the returned array will contain the whole string 
in index [0].,If the separator is """", the returned array will be an array of single 
characters:","Property access [ ],It makes strings look like arrays (but they are not),If no character is found, [ ] returns undefined, while charAt() returns an empty string.,It is read only. str[0] = ""A"" gives no error (but does not work!)",,
JavaScript ,Strings,"String Length,Escape Character,Breaking Long Code Lines,JavaScript Strings as Objects","Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example","A JavaScript string is zero or more characters written inside quotes.,You can use single or double quotes:,You can use quotes inside a string, as long as they don't match the quotes 
surrounding the string:,To find the length of a string, use the built-in , property:,Because strings must be written within quotes, JavaScript will misunderstand this string:,The string will be chopped to ""We are the so-called "".,The solution to avoid this problem, is to use the ,.,The backslash (,) escape character turns special characters into string characters:,The sequence ,  inserts a double quote in a string:,
,The sequence ,  inserts a single quote in a string:,
,The sequence ,  inserts a backslash in a string:,
,Six other escape sequences are valid in JavaScript:,For best readability, programmers often like to avoid code lines longer than 
80 characters.,If a JavaScript statement does not fit on one line, the best place to break 
it is after an operator:,You can also break up a code line , with a single backslash:,A safer way to break up a string, is to use string 
addition:,You cannot break up a code line with a backslash:,Normally, JavaScript strings are primitive values, created from literals:,But strings can also be defined as objects with the keyword ,:",,,
JavaScript ,Sorting Arrays,"Sorting an Array,Reversing an Array,Numeric Sort,The Compare Function,Sorting an Array in Random Order,The Fisher Yates Method,Find the Highest (or Lowest) Array Value,Using Math.max() on an Array,Using Math.min() on an Array,My Min / Max JavaScript Methods,Sorting Object Arrays","Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example (Find Max),Example (Find Min),Example,Example,Example","The , method sorts an array alphabetically: ,The , method reverses the elements in an array.,You can use it to 
sort an array in descending order: ,By default, the , function sorts values as ,.,This works well for strings (""Apple"" comes before ""Banana"").,However, if numbers are sorted as strings, ""25"" is bigger than ""100"", 
because ""2"" is bigger than ""1"".,Because of this, the , method will produce incorrect result when sorting 
numbers.,You can fix this by providing a ,:,Use the same trick to sort an array descending:,The purpose of the compare function is to define an alternative sort 
order.,The compare function should return a negative, zero, or positive value, depending on 
the arguments:,When the , function compares two values, it sends the values to the 
compare function, and sorts the values according to the returned (negative, 
zero, positive) value.,If the result is negative , is sorted before
,.,If the result is positive , is sorted 
before ,.,If the result is 0 no changes are done with the sort order of the two 
values.,The compare function compares all the values in the array, two values at a 
time ,.,When comparing 40 and 100, the , method calls the compare function(40, 100).,The function calculates 40 - 100 ,, and 
since the result is negative (-60),  the sort function will sort 40 as a value lower than 100.,You can use this code snippet to experiment with numerically and 
alphabetically sorting:,The above example, ,.sort(), is not accurate, it will favor some 
numbers over the others.,The most popular correct method, is called the Fisher Yates shuffle, and was 
introduced in data science as early as 1938!,In JavaScript the method can be translated to this:,There are no built-in functions for finding the max or min 
value in an array.,However, after you have sorted an array, you can use the 
index to obtain the highest and lowest values.,Sorting ascending:,Sorting descending:,You can use , to find the highest number in an array:, is equivalent to ,.,You can use , to find the lowest number in an array:, is equivalent to ,.,The fastest solution is to use a ""home made"" method.,This function loops through an array comparing each value with the highest 
value found: ,This function loops through an array comparing each value with the lowest 
value found: ,JavaScript arrays often contain objects:,Even if objects have properties of different data types, the , method 
can be used to sort the array. ,The solution is to write a compare function to compare the property values:,Comparing string properties is a little more complex:",,"
 <button onclick=""myFunction1()"">Sort Alphabetically</button>,<button 
 onclick=""myFunction2()"">Sort Numerically</button>,<p id=""demo""></p>,
 ,<script>,const points = [40, 100, 1, 5, 25, 10];,
 document.getElementById(""demo"").innerHTML = points;,function 
 myFunction1() {,  points.sort();,  document.getElementById(""demo"").innerHTML 
 = points;,},function myFunction2() {,  points.sort(function(a, b){return 
 a - b});,  document.getElementById(""demo"").innerHTML = points;,},
 </script>",
JavaScript Template Literals,,"Back-Tics Syntax,Quotes Inside Strings,Multiline Strings,Interpolation,Variable Substitutions,Expression Substitution,HTML Templates,Browser Support","Example,Example,Example,Example,Example,Example"," use back-ticks (``) rather than the quotes ("""") to define a string:,With ,, you can use both single and double quotes inside a string:, allows multiline strings:, provide an easy way to interpolate variables and expressions into strings.,The method is called string interpolation.,The syntax is:, allow variables in strings:, allow expressions in strings:, is an ES6  feature (JavaScript 2015).,It is supported in all modern browsers:, is not supported in Internet Explorer.","Template Literals,Template Strings,String Templates,Back-Tics Syntax",,
JavaScript ,Number Methods,"Number Methods and Properties,The toString() Method,The toExponential() Method,The toFixed() Method,The toPrecision() Method,The valueOf() Method,Converting Variables to Numbers,Global JavaScript Methods,The Number() Method,The Number() Method Used on Dates,The parseInt() Method,The parseFloat() Method,Number Properties,JavaScript MIN_VALUE and MAX_VALUE,JavaScript POSITIVE_INFINITY,JavaScript NEGATIVE_INFINITY,JavaScript NaN - Not a Number,Number Properties Cannot be Used on Variables","Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example","Number methods help you work with numbers.,Primitive values (like 3.14 or 2014), cannot have properties and methods (because they are not objects). ,But with JavaScript, methods and properties are also available to primitive 
values, because JavaScript treats primitive values as objects when executing 
methods and properties.,The , method returns a number as a string.,All number methods can be used on any type of numbers (literals, variables, or expressions):, returns a string, with a number rounded and written using exponential notation.,A parameter defines the number of characters behind the decimal point:,The parameter is optional. If you don't specify it, JavaScript will not round the number., returns a string, with the number 
written with a specified number of 
decimals:, returns a string, with a number written with a 
specified length:, returns a number as a number.,In JavaScript, a number can be a primitive value (typeof = number) or an 
object (typeof = object).,The , method is used internally in JavaScript to convert Number 
objects to primitive values.,There is no reason to use it in your code.,There are 3 JavaScript methods that can be used 
to convert variables to numbers:,These methods are not , methods, but , 
JavaScript methods.,JavaScript global methods can be used on all JavaScript data types.,These are the most relevant methods, when working with numbers:, can be used to convert JavaScript variables to numbers:, can also convert a date to a number.,The number of milliseconds between 1970-01-02 and 1970-01-01 is 86400000:, parses a string and returns a whole number. Spaces are 
allowed. Only the first number is returned:,If the number cannot be converted, , (Not a Number) is returned., parses a string and returns a number. Spaces are 
allowed. Only the first number is returned:,If the number cannot be converted, , (Not a Number) is returned., returns the largest possible number in JavaScript., returns the lowest possible number in JavaScript., is returned on overflow:, is returned on overflow:, is a JavaScript reserved word indicating that a number is not a legal number.,Trying to do arithmetic with a non-numeric string will result in , (Not a 
Number):,Number properties belongs to the JavaScript's number object wrapper called ,.,These properties can only be accessed as ,.,Using ,.MAX_VALUE, where , is a variable, expression, 
or value, will return ,:","The , method,The , method,The , method",,
JavaScript String Search,,"JavaScript String indexOf(),JavaScript String lastIndexOf(),JavaScript String search(),Did You Notice?,JavaScript String match(),Syntax,JavaScript String includes(),Syntax,Browser Support,JavaScript String startsWith(),Syntax,Parameter Values,Browser Support,JavaScript String endsWith(),Syntax,Parameter Values,Browser Support","Example,Example,Example,Example,Example,Example,Example 1,Example 2,Example,Example,Examples,Example","The , method returns the index of (the position of) 
the , occurrence of a specified text in a string:,The , method returns the index of the , 
occurrence of a specified text in a string:,Both ,, and , return -1
if the text is not found:,Both methods accept a second parameter as the starting position for the 
search:,The , methods searches backwards 
(from the end to the beginning), meaning:
if the second parameter is ,, the search starts at position 
15, and searches to the beginning of the string.,The , method searches a string for a specified value 
and returns the position of the match:,The two methods, , and ,, are ,They accept the same arguments (parameters), and return the same value?,The two methods are , equal. These are the differences:,You will learn more about 
regular expressions in a later chapter.,The match() method searches a string for a match against a regular expression, and returns the matches, as an Array object.,Read more about regular expressions in the chapter ,.,The , method returns true if a string contains a specified value., is an ES6  feature (JavaScript 2015).,It is supported in all modern browsers:, is not supported in Internet Explorer.,The , method returns ,
if a string begins with a specified value, otherwise ,:, is an ES6  feature (JavaScript 2015).,It is supported in all modern browsers:, is not supported in Internet Explorer.,The , method returns ,
if a string ends with a specified value, otherwise ,:, is an ES6  feature (JavaScript 2015).,It is supported in all modern browsers:, is not supported in Internet Explorer.","String indexOf(),String lastIndexOf(),String startsWith(),String endsWith(),The , method cannot take a second start position argument.,The , method cannot take 
powerful search values (regular expressions).",,
JavaScript ,Events,"HTML Events,Common HTML Events,JavaScript Event Handlers","Example,Example,Example","HTML events are , that happen to HTML elements.,When JavaScript is used in HTML pages, JavaScript can , on 
these events.,An HTML event can be something the browser does, or something a user does.,Here are some examples of HTML events:,Often, when events happen, you may want to do something.,JavaScript lets you execute code when events are detected.,HTML allows event handler attributes, ,, to be added to HTML elements.,With single quotes:,With double quotes:,In the following example, an , attribute (with code), is added to a 
, element:,In the example above, the JavaScript code changes the content of 
the element with id=""demo"".,In the next example, the code changes the content of 
its own element (using ,): ,Here is a list of some common HTML events:,The list is much longer: ,.,Event handlers can be used to handle and verify user input, user actions, 
and browser actions:,Many different methods can be used to let JavaScript work with events:","An HTML web page has finished loading,An HTML input field was changed,An HTML button was clicked,Things that should be done every time a page loads,Things that should be done when the page is closed,Action that should be performed when a user clicks a button,Content that should be verified when a user inputs data,And more ...,HTML event attributes can execute JavaScript code directly,HTML event attributes can call JavaScript functions,You can assign your own event handler functions to HTML elements,You can prevent events from being sent or being handled,And more ...","
<button onclick=""document.getElementById('demo').innerHTML = Date()"">The time is?</button>,
,
<button onclick=""this.innerHTML = Date()"">The time is?</button>,
,
<button onclick=""displayDate()"">The time is?</button>",
JavaScript ,Arrays,"Why Using an Array?,Creating an Array,Using the JavaScript Keyword new,Accessing Array Elements,Changing an Array Element,Access the Full Array,Arrays are Objects,Array Elements Can Be Objects,Array Properties and Methods,The length Property,Accessing the First Array Element,Accessing the Last Array Element,Looping Array Elements,Adding Array Elements,Associative Arrays,The Difference Between Arrays and Objects,When to Use Arrays. When to use Objects.,JavaScript new Array(),How to Recognize an Array","Example,Example,Example,Example,Example,Example,Array:,Object:,Example,Example,Example,Example,Example,Example,Example,Example,Example, Example:,A Common Error","If you have a list of items (a list of car names, for example), storing the 
cars in single variables could look like this:,However, what if you want to loop through the cars and find a specific one? 
And what if you had not 3 cars, but 300?,The solution is an array!,An array can hold many values under a single name, and you can 
access the values by referring to an index number.,Using an array literal is the easiest way to create a JavaScript Array.,Syntax: ,Spaces and line breaks are not important. A declaration can span multiple lines:,You can also create an array, and then provide the elements:,The following example also creates an Array, and assigns values to it:,You access an array element by referring to the ,:,This statement changes the value of the first element in ,:,With JavaScript, the full array can be accessed by referring to the array 
name:,Arrays are a special type of objects. The , operator in JavaScript returns ""object"" for 
arrays.,But, JavaScript arrays are best described as arrays.,Arrays use , to access its ""elements"". In this 
example, , 
returns John:,Objects use , to access its ""members"". In this example, 
, 
returns John:,JavaScript variables can be objects. Arrays are special kinds of objects.,Because of this, you can have variables of different types in the 
same Array.,You can have objects in an Array. You can have functions in an Array. You can 
have arrays in an Array:,The real strength of JavaScript arrays are the built-in array properties and 
methods:,Array methods are covered in the next chapters.,The , property of an array returns the length of an array (the number of array 
elements).,One way to loop through an array, is using a , loop:,You can also use the , function:,The easiest way to add a new element to an array is using the , method:,New element can also be added to an array using the , property:,Many programming languages support arrays with named indexes.,Arrays with named indexes are called associative 
arrays (or hashes).,JavaScript does , support arrays with named indexes.,In JavaScript, , always use ,.   ,In JavaScript, , use ,.   ,In JavaScript, , use ,.,JavaScript has a built in array constructor ,.,But you can safely use , instead.,These two different statements both create a new empty array named points:,These two different statements both create a new array containing 6 numbers:,The , keyword can produce some unexpected results:,A common question is: How do I know if a variable is an array?,The problem is that the JavaScript operator , returns 
"","":,The typeof operator returns object because a JavaScript array is an 
object. ,To solve this problem ECMAScript 5 (JavaScript 2009) defined a new method ,:,The , operator returns true if an object is created 
by a given constructor:","JavaScript does not support associative arrays.,You should use , when you want the element names to be 
,.,You should use , when you want the element names to be
,.",,
JavaScript ,Assignment,"JavaScript Assignment Operators,Assignment Examples","Assignment,Assignment,Assignment,Assignment,Assignment,Assignment","Assignment operators assign values to JavaScript variables.,The , assignment operator assigns a value to a variable.,The , assignment operator adds a value to a variable.,The , assignment operator subtracts a value from a variable.,The , assignment operator multiplies a variable.,The , assignment divides a variable.,The , assignment operator assigns a remainder to a variable.",,,
