H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
Java ,Tutorial,"Examples in Each Chapter,Java Exercises,Java Quiz,Learn by Examples,Java Reference,Download Java",Example,"Our ""Try it Yourself"" editor makes it easy to learn Java. You can edit Java code and view the result 
in your browser.,Test your Java skills with a quiz.,Learn by examples! This tutorial supplements all explanations with clarifying examples.,Download Java from the official Java web site:
",,,
Java ,Constructors,"Java Constructors,Constructor Parameters","Example,Example,Example","A constructor in Java is a , that is used to initialize objects. 
The constructor is called when an object of a class is created. It can be used to 
set initial values for object attributes:,Constructors can also take parameters, which is used to initialize 
attributes.,The following example adds an , parameter 
to the constructor. 
Inside the constructor we set x to y (x=y). When we call 
the constructor, we pass a parameter to the constructor (5), which will set the value of 
x to 5:,You can have as many parameters as you want:",,,
Java ,Class Methods,"Java Class Methods,Static vs. Non-Static,Access Methods With an Object,Using Multiple Classes","Example,Example,Example,Example","You learned from the , chapter that methods are declared within a 
class, and that they are used to perform certain actions:, prints a text (the action), when it is 
,. To 
call a method, write the method's name followed by two parentheses , and a semicolon,You will often see Java programs that have either , or , 
attributes and methods.,In the example above, we created a , 
method, which means that it can be accessed without creating an object of the class, 
unlike ,, which can only be accessed by 
objects:,1) We created a custom , class with the , keyword.,2) We created the , and , 
methods in the , class.,3) The , method and the , 
method will print out some text, when they are called.,4) The , 
method accepts an , parameter called , - we 
will use this in ,.,5) In order to use the , class and its 
methods, we need to create an , of the , Class.,6) Then, go to the , method, which you know by now is a built-in 
Java method that runs your program (any code inside main is executed).,7) By using the , keyword we created an object with the name
,.,8) Then, we call the , and 
, 
methods on the , object, and run the program using the name of the object (,), followed by a dot (,), followed by the name of the method (, and ,). 
Notice that we add an , parameter of , inside the , method.,Like we specified in the ,, it is 
a good practice to create an object of a class and access it in another class.,Remember that the name of the java file should match the class name. In this 
example, we have created two files in the same directory:,When both files have been compiled:,Run the Second.java file:,And the output will be:","Main.java,Second.java",,
Java ,Modifiers,"Modifiers,Access Modifiers,Non-Access Modifiers,Final,Static,Abstract","Example,Example,Example","By now, you are quite familiar with the , keyword that appears in almost 
all of our examples:,The , keyword is an ,, 
meaning that it is used to set the access level for classes, attributes, methods and 
constructors.,We divide modifiers into two groups:,For ,, you can use either , or ,:,For ,, you can use the one of the 
following:,For ,, you can use either , or ,:,For ,, you can use the one of the 
following:,If you don't want the ability to override existing attribute values, declare 
attributes as ,:,A , method means that it can be 
accessed without creating an object of the class, unlike ,:,An , method belongs to an , class, and it does not have a body. 
The body is provided by the subclass:"," - controls the access level, - do not control access level, but provides other functionality",,
Java ,Inner Classes,"Java Inner Classes,Private Inner Class,Static Inner Class,Access Outer Class From Inner Class","Example,Example,Example,Example","In Java, it is also possible to nest classes (a class within a class). The purpose 
of nested classes is to group classes that belong together, which makes your code more readable and maintainable.,To access the inner class, create an object of the outer class, and then create an object of the inner class:,Unlike a ""regular"" class, an inner class can be , or ,. 
If you don't want outside objects to access the inner class, declare 
the class as ,:,An inner class can also be ,, which means that you can access it without 
creating an object of the outer class:,One advantage of inner classes, is that they can access attributes and methods of the outer class:",,,
Java ,Abstraction,Abstract Classes and Methods,Example,"Data , is the process of hiding certain details and showing only essential information to the user.,
Abstraction can be achieved with either , or 
, (which you will learn more about in the next chapter).,The , keyword is a non-access modifier, used for classes and methods:
,An abstract class can have both abstract and regular methods:,From the example above, it is not possible to create an object of the Animal class:,To access the abstract class, it must be inherited from another class. Let's convert the Animal class we used in the , chapter to an abstract class:"," is a restricted class that cannot be used to create objects (to access it, it must be inherited from another class)., can only be used in an abstract class, and it does not have a body. The body is provided by the subclass (inherited from).",,
Java ,Encapsulation,"Encapsulation,Get and Set,Why Encapsulation?","Example,Example","The meaning of ,, is to make sure that ""sensitive"" data is hidden 
from users. To achieve this, you must:
,You learned from the previous chapter that , variables can only be 
accessed within the same class (an outside class has no access to it). However, 
it is possible to access them if we provide public , and , methods.,The , method returns the variable value, and the , method sets the value.,Syntax for both is that they start with either , or ,, followed by the 
name of the variable, with the first letter in upper case:,The , method returns the value of the variable ,.,The , method takes a parameter (,) and assigns it to the
, variable. The , keyword is used to refer to the current 
object.,However, as the , variable is declared as ,, we 
, access it from outside this class:,If the variable was declared as ,, we would expect the following output:,However, as we try to access a , variable, we get an error:,Instead, we use the , and , methods to access and update the variable:","declare class variables/attributes as ,provide public , 
and , methods to access and update the value of a , 
variable,Better control of class attributes and methods,Class attributes can be made , (if you only use the , method), or , (if you only use the , method),Flexible: the programmer can change one part of the code without affecting other parts,Increased security of data",,
Java ,Packages,"Java Packages & API,Built-in Packages,Import a Class,Import a Package,User-defined Packages","Syntax,Example,Example,Example,Example,MyPackageClass.java","A package in Java is used to group related classes. Think of it as
,. We use packages to avoid name conflicts, and 
to write a better maintainable code. Packages are divided into two categories:,The Java API is a library of prewritten classes, that are free to use, included in the
Java Development Environment.,The library contains components for managing input, database programming, and much much 
more. The complete list can be found at Oracles website: ,.,The library is divided into , and ,. 
Meaning you can either import a single class (along with its methods and 
attributes), or a whole package that contain 
all the classes that belong to the specified package.,To use a class or a package from the library, you need to use the , 
keyword:,If you find a class you want to use, for example, the , class, ,, write the following code:,In the example above, , is a package, while , is a class of 
the , package.,To use the , class, create an object of the class and use any of the available methods found in the , class documentation. 
In our example, we will use the , method, which is used to read a 
complete line:,There are many packages to choose from. In the previous example, we used the , class from the , package. This package also contains date and time 
facilities, random-number generator and other utility classes.,To import a whole package, end the sentence with an asterisk sign (,). 
The following example 
will import ALL the classes in the , package:,To create your own package, you need to understand that Java uses a file system directory to store them. Just like folders on your computer:,To create a package, use the , keyword:,Save the file as ,, and compile it:,Then compile the package:,When we compiled the package in the example above, a new folder was created, called ""mypack"".,To run the , file, write the following:,The output will be:","Built-in Packages (packages from the Java API),User-defined Packages (create your own packages)",,
Java ,Polymorphism,Java Polymorphism,"Example,Example","Polymorphism means ""many forms"", and it occurs when we have many classes that are related to each other by inheritance.,Like we specified in the previous chapter; 
, lets us 
inherit attributes and methods from another class. , 
uses those methods to perform different tasks. This allows us to perform a single 
action in different ways.,For example, think of a superclass called , that has a method called ,. Subclasses of Animals could be Pigs, Cats, Dogs, Birds - And they also have their own implementation of an animal sound (the pig oinks, and the cat meows, etc.):,Now we can create , and , objects and call the , method on both of them:",,,
Java ,Class Attributes,"Java Class Attributes,Accessing Attributes,Modify Attributes,Multiple Objects,Multiple Attributes","Example,Example,Example,Example,Example,Example,Example","In the previous chapter, we used the term ""variable"" for , in the example (as shown below). It is actually an 
, of the class. Or you could say that class attributes are variables within a class:,You can access attributes by creating an object of the class, and by using the dot syntax (,):,The following example will create an object of the , class, with the 
name ,. We use the , 
attribute on the object to print its value:,You can also modify attribute values:,Or override existing values:,If you don't want the ability to override existing values, declare the attribute as ,:,If you create multiple objects of one class, you can change the attribute values in one object, without affecting the attribute values in the other:,You can specify as many attributes as you want:",,,
Java ,Inheritance,"Java Inheritance (Subclass and Superclass),The final Keyword",Example,"In Java, it is possible to inherit attributes and methods from one class to another. We group the ""inheritance concept"" into two categories:,To inherit from a class, use the , 
keyword.,In the example below, the , class 
(subclass) inherits the attributes and methods from the , class 
(superclass):,If you don't want other classes to inherit from a class, use the , keyword:"," (child) - the class that inherits from another class, (parent) - the class being inherited from",,
Java ,Classes and Objects,"Java Classes/Objects,Create a Class,Create an Object,Multiple Objects,Using Multiple Classes","Main.java,Example,Example","Java is an object-oriented programming language.,Everything in Java is associated with classes and objects, along with its attributes and 
methods. For example: in real life, a car is an object. The car has ,, such as weight and color, and ,, such as drive and brake. ,A Class is like an object constructor, or a ""blueprint"" for creating objects.,To create a class, use the keyword ,:,In Java, an object is created from a class. We have already created the class named ,, 
so now we can use this to create objects.,To create an object of ,, 
specify the class name, followed by the object name, and use the keyword ,:,You can create multiple objects of one class:,You can also create an object of a class and access it in another class. This 
is often used for better organization of classes (one class has all the 
attributes and methods, while the other class holds the , method (code to 
be executed)). ,Remember that the name of the java file should match the class name. In this 
example, we have created two files in the same directory/folder:,When both files have been compiled:,Run the Second.java file:,And the output will be:","Main.java,Second.java",,
Java ,OOP,"Java - What is OOP?,Java - What are Classes and Objects?",,"OOP stands for ,.,Procedural programming is about writing procedures or methods that perform 
operations on the data, while object-oriented programming is about 
creating objects that contain both data and methods.,Object-oriented programming has several advantages over procedural 
programming:, The ""Don't Repeat Yourself"" (DRY) principle is about 
reducing the repetition of code. You should extract out the codes that are 
common for the application, and place them at a single place and reuse them 
instead of repeating it.,Classes and objects are the two main aspects of object-oriented programming.,Look at the following illustration to see the difference between class and 
objects:,Another example:,So, a class is a template for objects, and an object is an instance of a class.,When the individual objects are created, they inherit all the 
variables and methods from the class.,You will learn much more about , in the next chapter.","OOP is faster and easier to execute,OOP provides a clear structure for the programs,OOP helps to keep the Java code DRY ""Don't Repeat Yourself"", and makes 
  the 
  code easier to maintain, modify and debug,OOP makes it possible to create full reusable 
  applications with less code and shorter development time",,
