H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
jQuery ,Tutorial,"Examples in Each Chapter,jQuery Exercises,jQuery Examples,jQuery Quiz Test,jQuery References",Example,"With our online editor, you can edit the code, and click on a button to view the result.,Learn by examples! At W3Schools you will find a lot of jQuery examples to edit and test yourself.,Test your jQuery skills at W3Schools!,At W3Schools you will find a complete reference of all jQuery selectors, methods, properties and events.",,,
jQuery Traversing - ,Filtering,"The first(), last(), eq(), filter() and not() Methods,jQuery first() Method,jQuery last() Method,jQuery eq() method,jQuery filter() Method,jQuery not() Method,jQuery Exercises,jQuery Traversing Reference","Example,Example,Example,Example,Example","The most basic filtering methods are ,, , and ,, which 
allow you to select a specific element based on its position in a group of 
elements. ,Other filtering methods, like , and , allow you to select elements 
that match, or do not match, a certain criteria. ,The , method returns the first element of the specified elements.,The following example selects the first , 
element:,The , method returns the last element of the specified elements.,The following example selects the last , 
element:,The , method returns an element with a specific index number of the 
selected elements.,The index numbers start at 0, so the first element will have the index number 
0 and not 1. The following example selects the second , element (index number 
1):,The , method lets you specify a criteria. Elements that do not match 
the criteria are removed from the selection, and those that match will be 
returned.,The following example returns all , elements with class name ""intro"":,The , method returns all elements that do not match the criteria., The , method is the opposite of ,.,The following example returns all , elements that do not have class name 
""intro"":,For a complete overview of all jQuery Traversing methods, please go to our
,.",,,
jQuery Traversing - ,Siblings,"Traversing Sideways in The DOM Tree,jQuery siblings() Method,jQuery next() Method,jQuery nextAll() Method,jQuery nextUntil() Method,jQuery prev(), prevAll() & prevUntil() Methods,jQuery Exercises,jQuery Traversing Reference","Example,Example,Example,Example,Example","With jQuery you can traverse sideways in the DOM 
tree to find siblings of an element.,Siblings share the same parent. ,There are many useful jQuery methods for traversing sideways in the DOM tree:,The , method returns all sibling elements of the selected element.,The following example returns all sibling elements of ,:,You can also use an optional parameter to filter the search for siblings.,The following example returns all sibling elements of , that are , 
elements:,The , method returns the next sibling element of the selected element.,The following example returns the next sibling of ,:,The , method returns all next sibling elements of the selected element.,The following example returns all next sibling elements of 
,:,The , method returns all next sibling elements between two given 
arguments.,The following example returns all sibling elements 
between a , and a , element:,The ,, , and , methods work just like the methods above but with reverse functionality: they 
return previous sibling elements (traverse backwards along sibling 
elements in the DOM tree, instead of forward).,For a complete overview of all jQuery Traversing methods, please go to our
,.",,,
jQuery Traversing - ,Descendants,"Traversing Down the DOM Tree,jQuery children() Method,jQuery find() Method,jQuery Exercises,jQuery Traversing Reference","Example,Example,Example,Example","With jQuery you can traverse down the DOM tree to 
find descendants of an element.,A descendant is a child, grandchild, great-grandchild, and so 
on.,Two useful jQuery methods for traversing down the DOM tree are:,The , method returns all direct children of the selected element.,This method only traverses a single level down the DOM tree.,The following example returns all elements that are direct children of each , elements:,You can also use an optional parameter to filter the search for children.,The following example returns all , elements with the class name ""first"", that 
are direct children of ,:,The , method returns descendant elements of the selected element, all 
the way down to the last descendant.,The following example returns all , elements that are 
descendants of ,:,The following example returns all 
descendants of ,:,For a complete overview of all jQuery Traversing methods, please go to our
,.",,,
jQuery ,Examples,"jQuery Selectors,jQuery Events,jQuery Hide/Show,jQuery Fade,jQuery Slide,jQuery Animate,jQuery Stop Animations,jQuery HTML Get Content and Attributes,jQuery HTML Set Content and Attributes,jQuery HTML Add Elements/Content,jQuery HTML Remove Elements/Content,jQuery Get and Set CSS Classes,jQuery css() Method,jQuery Dimensions,jQuery Traversing Ancestors,jQuery Traversing Descendants,jQuery Traversing Siblings,jQuery Traversing Filtering,jQuery Filters,jQuery AJAX load() Method,jQuery AJAX get() and post() Methods",,Do you want to test your jQuery selector skills?,,,
jQuery - ,AJAX get() and post() Methods,"HTTP Request: GET vs. POST,jQuery $.get() Method,jQuery $.post() Method,jQuery AJAX Reference","Example,Example","The jQuery get() and post() methods are used to request data from the server 
with an HTTP GET 
or POST request.,Two commonly used methods for a request-response between a client and server 
are: GET and 
POST.,GET is basically used for just getting (retrieving) some data from the server.
, The GET method may return cached data.,POST can also be used to get some data from the server. However, the POST 
method NEVER caches data, and is often used to send data along with the request.,To learn more about GET and POST, and the differences between the two 
methods, please read our , chapter.,The , method requests data from the server with an HTTP GET request.,The required URL parameter specifies the URL you wish to request.,The optional callback parameter is the name of a function to be executed 
if the request succeeds.,The following example uses the , method to retrieve data from a file on 
the server:,The first parameter of , is the URL we wish to request (""demo_test.asp"").,The second 
parameter is a callback function. The first callback parameter holds the content of 
the page requested, and the second callback parameter holds the status of 
the request., Here is how the ASP file looks like (""demo_test.asp""):,The , method requests data from the server using an HTTP POST request.,The required URL parameter specifies the URL you wish to request.,The optional data parameter specifies some data to send along with the 
request.,The optional callback parameter is the name of a function to be executed 
if the request succeeds.,The following example uses the , method to send some data along with the 
request:,The first parameter of , is the URL we wish to request (""demo_test_post.asp"").,Then we pass in some data to send along with the request (name and city).,The ASP script in ""demo_test_post.asp"" reads the parameters, 
processes them, and returns a result.,The third 
parameter is a callback function. The first callback parameter holds the content of 
the page requested, and the second callback parameter holds the status of 
the request., Here is how the ASP file looks like (""demo_test_post.asp""):,For a complete overview of all jQuery AJAX methods, please go to our ,."," - Requests data from a specified resource, - Submits data to be processed to a specified resource",,
jQuery - ,The noConflict() Method,"jQuery and Other JavaScript Frameworks,The jQuery noConflict() Method,jQuery Misc Reference","Example,Example,Example","What if you wish to use other frameworks on your pages, 
while still using jQuery?,As you already know; jQuery uses the , sign as a shortcut for jQuery.,There are many other popular JavaScript frameworks like: Angular, Backbone, Ember, Knockout, and more.,If two different frameworks are using the same shortcut, one of them might stop working.,The jQuery team have already thought about this, and implemented the , method.,The , method releases the hold on the $ shortcut identifier, 
so that other scripts can use it.,You can of course still use jQuery, simply by 
writing the full name instead of the shortcut:,You can also create your 
own shortcut very easily. The , method returns a reference to jQuery, 
that you can save in a variable, for later use. Here is an example:,If you have a block of jQuery code which uses the , shortcut and you do not 
want to change it all, you can pass the , sign in as a parameter to the ready method. This allows 
you to access jQuery using ,, inside this function - outside of it, 
you will have to use ""jQuery"":,For a complete overview of all jQuery Misc methods, please go to our
,.",,,
jQuery - ,Filters,"jQuery Filters,Filter Tables,Filter Lists,Filter Anything","Example,jQuery,Example,Example","Use jQuery to filter/search for specific elements.,Perform a case-insensitive search for items in a table:, We use jQuery to loop through each table 
rows to check if there are any text values that matches the value of the input 
field. The , method hides the row (,) that does not match the 
search. We use the , DOM method to convert the text to lower case, which 
makes the search case insensitive (allows ""john"", ""John"", and even ""JOHN"" on 
search).,Perform a case-insensitive search for items in a list:,Perform a case-insensitive search for text inside a div element:","First item,Second item,Third item,Fourth","
  <script>,$(document).ready(function(){,  $(""#myInput"").on(""keyup"", function() {,    var 
  value = $(this).val().toLowerCase();,    $(""#myTable tr"").filter(function() {,
        $(this).toggle($(this).text().toLowerCase().indexOf(value) > -1),    });,
   
  });,});,</script>",
jQuery - ,AJAX Introduction,"What is AJAX?,What About jQuery and AJAX?,jQuery AJAX Methods",jQuery AJAX Example,"AJAX is the art of exchanging data with a server, and updating 
parts of a web page - without reloading the whole page.,AJAX = Asynchronous JavaScript and XML.,In short; AJAX is about loading data in the background and display it on the 
webpage, without reloading the whole page.,Examples of applications using AJAX: Gmail, Google Maps, Youtube, and 
Facebook tabs.,You can learn more about AJAX in our ,.,
,jQuery provides several methods for AJAX functionality.,With the jQuery AJAX methods, you can request text, HTML, XML, or JSON from a remote 
server using both HTTP Get and HTTP Post - And you can load the external data directly into the selected HTML elements of your 
web page!,In the next chapters we will look at the most important jQuery AJAX methods.",,,
jQuery - ,AJAX load() Method,"jQuery load() Method,jQuery AJAX Reference","Example,Example,Example","The jQuery , method is a simple, but powerful AJAX method.,The , method loads data from a 
server and puts the returned data into the selected element.,The required URL parameter specifies the URL you wish to load.,The optional data parameter specifies a set of querystring key/value pairs to send along with 
the request.,The optional callback parameter is the name of a function to be executed 
after the , method is completed.,The following example loads the content of the file ""demo_test.txt"" into a 
specific , element:,It is also possible to add a jQuery selector to the URL parameter. ,The following example loads the content of the element with id=""p1"", inside 
the file ""demo_test.txt"", into a specific , element:,The optional callback parameter specifies a callback function to run when the 
, method is completed. The callback function can have different parameters:,The following example displays an alert box after the load() method 
completes. If the , method has succeeded, it displays ""External content 
loaded successfully!"", and if it fails it displays an error message:,For a complete overview of all jQuery AJAX methods, please go to our ,."," - contains the resulting content if the call succeeds, - contains the status of the call, - contains the XMLHttpRequest object",,
jQuery Traversing - ,Ancestors,"Traversing Up the DOM Tree,jQuery parent() Method,jQuery parents() Method,jQuery parentsUntil() Method,jQuery Exercises,jQuery Traversing Reference","Example,Example,Example,Example","With jQuery you can traverse up the DOM tree to 
find ancestors of an element.,An ancestor is a parent, grandparent, great-grandparent, and so 
on.,Three useful jQuery methods for traversing up the DOM tree are:,The , method returns the direct parent element of the selected element.,This method only traverse a single level up the DOM tree.,The following example returns the direct parent element of each , 
elements:,The , method returns all ancestor elements of the selected element, 
all the way up to the document's root element (,).,The following example returns all ancestors of all 
, elements:,You can also use an optional parameter to filter the search for ancestors.,The following example returns all ancestors of all , elements that are , 
elements:,The , method returns all ancestor elements between two given 
arguments.,The following example returns all ancestor elements 
between a , and a , element:,For a complete overview of all jQuery Traversing methods, please go to our
,.",,,
jQuery ,Traversing,"What is Traversing?,Traversing the DOM,jQuery Traversing Reference",,"jQuery traversing, which means ""move through"", are used to ""find"" (or select) 
HTML elements based on their relation to other elements. Start with one 
selection and move through that selection until you reach the elements you 
desire.,The image below illustrates an HTML page as a tree (DOM tree). With jQuery traversing, you can 
easily move up (ancestors), down (descendants) and sideways (siblings) in the tree,  starting from the 
selected (current) element. This movement is called traversing - or moving 
through - the DOM tree.,Illustration explained:,jQuery provides a variety of methods that allow us to traverse the DOM.,The largest category of traversal methods are tree-traversal.,The next chapters will show us how to travel up, down and sideways in 
the DOM tree.,For a complete overview of all jQuery Traversing methods, please go to our
,.","The <div> element is the, of <ul>, and an , of everything inside of it ,The <ul> element is the , of both <li> elements, and a , of <div>,The left <li> element is the , of <span>,
 , of <ul> and a , of <div>,The <span> element is a , of the left <li> and a
 , of <ul> and <div> ,The two <li> elements are , (they share the same parent),The right <li> element is the , of <b>, , of <ul> and a , of <div> ,The <b> element is a , of the right <li> and a
 , of <ul> and <div>",,
jQuery - ,Dimensions,"jQuery Dimension Methods,jQuery Dimensions,jQuery width() and height() Methods,jQuery innerWidth() and innerHeight() Methods,jQuery outerWidth() and outerHeight() Methods,jQuery More width() and height(),jQuery Exercises,jQuery CSS Reference","Example,Example,Example,Example,Example,Example","With jQuery, it is easy to work with the dimensions of elements and browser window.,jQuery has several important methods for working with dimensions:,
,The , method sets or returns the width of an element (excludes 
padding, border and margin).,The , method sets or returns the height of an element (excludes padding, border 
and margin).,The following example returns the width and height of a specified , 
element:,The , method returns the width of an element (includes padding).,The , method returns the height of an element (includes padding).,The following example returns the inner-width/height of a specified , 
element:,The , method returns the width of an element (includes padding and 
border).,The , method returns the height of an element (includes padding 
and border).,The following example returns the outer-width/height of a specified , 
element:,The , method returns the width of an element (includes 
padding, border, and margin).,The , method returns the height of an element (includes 
padding, border, and margin).,The following example returns the width and height of the document (the HTML 
document) and window (the browser viewport):,The following example sets the width and height of a specified , 
element:,For a complete overview of all jQuery CSS methods, please go to our ,.",,,
jQuery - ,css() Method,"jQuery css() Method,Return a CSS Property,Set a CSS Property,Set Multiple CSS Properties,jQuery Exercises,jQuery CSS Reference","Example,Example,Example","The , method sets or returns one or more style properties for the selected elements.,To return the value of a specified CSS property, use the following syntax:,The following example will return the background-color value of the FIRST matched element:,To set a specified CSS property, use the following syntax:,The following example will set the background-color value for ALL matched elements:,To set multiple CSS properties, use the following syntax:,The following example will set a background-color and a font-size for ALL 
matched elements:,For a complete overview of all jQuery CSS methods, please go to our ,.",,,
jQuery ,Properties,jQuery Properties,,,,,
