H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
Kotlin ,Tutorial,"Examples in Each Chapter,Kotlin Exercises,Learn by Examples,Download Kotlin",Example,"Our ""Try it Yourself"" editor makes it easy to learn Kotlin. You can edit the 
code and view the result in your browser:,Learn by examples! This tutorial supplements all explanations with clarifying examples.,Download Kotlin from github:
",,,
Kotlin ,OOP,"Kotlin - What is OOP?,Kotlin - What are Classes and Objects?",,"OOP stands for ,.,Procedural programming is about writing procedures or methods that perform 
operations on the data, while object-oriented programming is about 
creating objects that contain both data and methods.,Object-oriented programming has several advantages over procedural 
programming:, The ""Don't Repeat Yourself"" (DRY) principle is about 
reducing the repetition of code. You should extract out the codes that are 
common for the application, and place them at a single place and reuse them 
instead of repeating it.,Classes and objects are the two main aspects of object-oriented programming.,Look at the following illustration to see the difference between class and 
objects:,Another example:,So, a class is a template for objects, and an object is an instance of a class.,When the individual objects are created, they inherit all the 
variables and methods from the class.,You will learn much more about , in the next chapter.","OOP is faster and easier to execute,OOP provides a clear structure for the programs,OOP helps to keep the Kotlin code DRY ""Don't Repeat Yourself"", and makes 
  the 
  code easier to maintain, modify and debug,OOP makes it possible to create full reusable 
  applications with less code and shorter development time",,
Kotlin ,Functions,"Predefined Functions,Create Your Own Functions,Call a Function,Function Parameters,Multiple Parameters,Return Values,Shorter Syntax for Return Values","Example,Example,Example,Example,Example,Example,Example,Example,Example","A , is a block of code which only runs when it is called.,You can pass data, known as parameters, into a function.,Functions are used to perform certain actions, and they are also known as ,.,So it turns out you already know what a function is. You have been using it 
the whole time through this tutorial!,For example, , is a function. It is used to output/print text to the screen:,To create your own function, use the , keyword, and write the name of the 
function, followed by parantheses ,:,Now that you have created a function, you can execute it by , 
it.,To call a function in Kotlin, write the name of the function followed by two 
parantheses ,.,In the following example, , will 
print some text (the action), when it is called:,A function can be called multiple times, if you want:,Information can be passed to functions as parameter.,Parameters are specified after the function name, inside the parentheses.
You can add as many parameters as you want, just separate them with a comma. 
Just note that you must specify the type of each parameter (Int, String, etc). ,
The following example has a 
function that takes a , called , as parameter.
When the function is called, we pass along a first name,
which is used inside the function to print the full name:
,You can have as many parameters as you like:,In the examples above, we used functions to output a value. In the following example, we will use a function to 
,a value and assign it to a variable.,To return a value, use the , keyword, and specify the 
, after 
the function's parantheses (, in this example):,Using two parameters:,There is also a shorter syntax for returning values. You can use the , operator instead of , 
without specifying the return type. Kotlin is smart enough to automatically find out what it is:",,,
Kotlin ,Exercises,"Exercises,Count Your Score",,"You can test your Kotlin skills with W3Schools' Exercises.,We have gathered a variety of Kotlin exercises (with answers) for each Kotlin Chapter.,Try to solve an exercise by editing some code, or show the answer to see what you've done wrong.,You will get 1 point for
each correct answer. Your score and total score will always be displayed.",,,
Kotlin ,Ranges,"Kotlin Ranges,Check if a Value Exists,Break or Continue a Range","Example,Example,Example,Example,Example,Example","With the ,, you can also create 
, of values with "","":,You can also create ranges of numbers:,You can also use the , operator to check if a value exists in 
a range:,You can also use the , and , keywords in a range/, loop:",,,
Kotlin ,Inheritance,"Kotlin Inheritance (Subclass and Superclass),Example Explained",Example,"In Kotlin, it is possible to inherit class properties and functions from one class to another. We group the ""inheritance concept"" into two categories:,In the example below, , (subclass) inherits the 
properties from the , class 
(superclass):,Use the , keyword in front of the ,/parent, 
to make this the class other classes should inherit properties and functions from.,To inherit from a class, specify the name of the ,, followed by a colon ,, 
and then the name of the ,."," (child) - the class that inherits from another class, (parent) - the class being inherited from",,
Kotlin ,Compiler,"Kotlin Compiler (Editor),Kotlin Compiler Explained",,"With our online Kotlin compiler, you can edit Kotlin code, and view the result in your browser.,Click on the ""Try it Yourself"" button to see how it works.,The window to the left is editable - edit the code and click on the ""Run"" button to view the result in the right window.,The icons are explained in the table below:",,,
Kotlin ,Examples,"Kotlin Syntax and Output,Kotlin Comments,Kotlin Variables,Kotlin Data Types,Kotlin Operators,Kotlin Strings,Kotlin Booleans,Kotlin If...Else,Kotlin When,Kotlin While Loop,Kotlin While Loop,Kotlin Arrays,Kotlin For Loops,Kotlin Ranges,Kotlin Functions,Kotlin Classes",,,,,
Kotlin ,Classes and Objects,"Kotlin Classes/Objects,Create a Class,Create an Object,Multiple Objects","Example,Example,Example","Everything in Kotlin is associated with classes and objects, along with its properties and 
functions. For example: in real life, a car is an ,. The car has ,, such as 
brand, weight and color, and ,, such as drive and brake. ,A Class is like an object constructor, or a ""blueprint"" for creating objects.,To create a class, use the , keyword, and specify the name of the class:,Now we can use the class named , to create objects.,In the example below, we create an object of , called
,, and then we access the properties of , by 
using the dot syntax (,), just like we did to 
access array and string properties:,You can create multiple objects of one class:",,,
Kotlin ,Class Functions,"Kotlin Class Functions,Class Function Parameters","Example,Example","You can also use , inside a class, to perfom certain actions:,Just like with regular functions, you can pass parameters to a class function:",,,
