H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
MySQL ,Tutorial,"Examples in Each Chapter,MySQL Exercises,MySQL Examples,MySQL Quiz Test,MySQL References",Example,"With our online MySQL editor, you can edit the SQL statements, and click on a button to view the result.,Click on the ""Try it Yourself"" button to see how it works.,Learn by examples! This tutorial supplements all explanations with clarifying examples.,Test your MySQL skills at W3Schools!,At W3Schools you will find a complete reference of MySQL data types and functions:",,,
MySQL ,Self Join,"MySQL Self Join,Demo Database,MySQL Self Join Example",Example,"A self join is a regular join, but the table is joined with itself., and , are different table aliases for the same table.,In this tutorial we will use the well-known Northwind sample database.,Below is a selection from the ""Customers"" table:,The following SQL statement matches customers that are from the same city:",,,
"MySQL , Keyword",CROSS JOIN,"SQL CROSS JOIN Keyword,Demo Database,MySQL CROSS JOIN Example","Example,Example","The , keyword returns all records 
from both tables (table1 and table2).,In this tutorial we will use the well-known Northwind sample database.,Below is a selection from the ""Customers"" table:,And a selection from the ""Orders"" table:,The following SQL statement selects all customers, and all orders:, The , keyword returns all matching 
records from both tables whether the other table matches or not. So, if 
there are rows in ""Customers"" that do not have matches in ""Orders"", or if there 
are rows in ""Orders"" that do not have matches in ""Customers"", those rows will be 
listed as well.,If you add a , clause (if table1 and 
table2 has a relationship), the , will 
produce the same result as the , clause:",,,
"MySQL , Keyword",RIGHT JOIN,"MySQL RIGHT JOIN Keyword,Demo Database,MySQL RIGHT JOIN Example",Example,"The , keyword returns all records from the right table (table2), and the 
matching records (if any) from the left table (table1).,In this tutorial we will use the well-known Northwind sample database.,Below is a selection from the ""Orders"" table:,And a selection from the ""Employees"" table:,The following SQL statement will return all employees, and any orders they 
might have placed:, The , keyword returns all records from the 
right table (Employees), even if there are no matches in the left table 
(Orders).",,,
"MySQL , Statement",GROUP BY,"The MySQL GROUP BY Statement,Demo Database,MySQL GROUP BY Examples,Demo Database,GROUP BY With JOIN Example","Example,Example,Example","The , statement groups rows that have the same values into summary 
rows, like ""find the number of customers in each country"".,The , statement is often used with aggregate functions (,, 
,, 
,, ,, 
,) to group the result-set by one or more columns.,Below is a selection from the ""Customers"" table in the Northwind sample 
database:,The following SQL statement lists the number of customers in each country:,The following SQL statement lists the number of customers in each country, 
sorted high to low:,Below is a selection from the ""Orders"" table in the Northwind sample database:,And a selection from the ""Shippers"" table:,The following SQL statement lists the number of orders sent by each shipper:",,,
MySQL ,EXISTS Operator,"The MySQL EXISTS Operator,Demo Database,MySQL EXISTS Examples","Example,Example","The , operator is used to test for the existence of any record in a subquery.,The , operator returns TRUE if the subquery returns one or more records.,Below is a selection from the ""Products"" table in the Northwind sample database:,And a selection from the ""Suppliers"" table:,The following SQL statement returns TRUE and lists the suppliers with a product price less than 20:,The following SQL statement returns TRUE and lists the suppliers with a product price 
equal to 22:",,,
MySQL ,ANY and ALL Operators,"The MySQL ANY and ALL Operators,The ANY Operator,The ALL Operator,Demo Database,SQL ANY Examples,SQL ALL Examples","Example,Example,Example,Example,Example","The , and , operators allow you to perform a comparison between a single 
column value and a range of other values.,The , operator:, means that the condition will be true if the operation is true for 
any of the values in the range.,The , operator:, means that the condition will be true only if the operation is true 
for all values in the range.,Below is a selection from the , table in the Northwind sample database:,And a selection from the , table:,The following SQL statement lists the ProductName if it 
finds ANY records in the OrderDetails table has Quantity equal to 10 (this will 
return TRUE because the Quantity column has some values of 10):,The following SQL statement lists the ProductName if it 
finds ANY records in the OrderDetails table has Quantity larger than 99 (this 
will return TRUE because the Quantity column has some values larger than 99):,The following SQL statement lists the ProductName if it 
finds ANY records in the OrderDetails table has Quantity larger than 1000 (this 
will return FALSE because the Quantity column has no values larger than 1000):,The following SQL statement lists ALL the product names:,The following SQL statement lists the ProductName if ALL the records in the 
OrderDetails table has Quantity equal to 10. This will of course return FALSE 
because the Quantity column has many different values (not only the value of 10):","returns a boolean value as a result,returns TRUE if ANY of the subquery values meet the condition,returns a boolean value as a result,returns TRUE if ALL of the subquery values meet the condition,is used with ,, 
  , and , statements",,
"MySQL , Keyword",LEFT JOIN,"MySQL LEFT JOIN Keyword,Demo Database,MySQL LEFT JOIN Example",Example,"The , keyword returns all records 
from the left table (table1), and the matching records (if any) from the right table (table2). ,In this tutorial we will use the well-known Northwind sample database.,Below is a selection from the ""Customers"" table:,And a selection from the ""Orders"" table:,The following SQL statement will select all customers, and any orders they might have:, The , keyword returns all records from the 
left table (Customers), even if there are no matches in the right table (Orders).",,,
"MySQL , Operator",UNION,"The MySQL UNION Operator,Demo Database,SQL UNION Example,SQL UNION ALL Example,SQL UNION With WHERE,SQL UNION ALL With WHERE,Another UNION Example","Example,Example,Example,Example,Example","The , operator is used to combine the result-set of two or more 
, 
statements.,The , operator selects only distinct values by default. To allow 
duplicate values, use ,:, The column names in the result-set are usually equal to 
the column names in the first , statement.,In this tutorial we will use the well-known Northwind sample database.,Below is a selection from the ""Customers"" table:,And a selection from the ""Suppliers"" table:,The following SQL statement returns the cities 
(only distinct values) from both the ""Customers"" and the ""Suppliers"" table:, If some customers or suppliers have the same city, each city will only be 
listed once, because , selects only distinct values. Use 
, to also select 
duplicate values!,The following SQL statement returns the cities 
(duplicate values also) from both the ""Customers"" and the ""Suppliers"" table:,The following SQL statement returns the German cities 
(only distinct values) from both the ""Customers"" and the ""Suppliers"" table:,The following SQL statement returns the German cities (duplicate values also) from 
both the ""Customers"" and the ""Suppliers"" table:,The following SQL statement lists all customers and suppliers:,Notice the ""AS Type"" above - it is an alias. , are used to give a table or a column a temporary name.
An alias only exists for the duration of the query. So, here we have created a 
temporary column named ""Type"", that list whether the contact person is a 
""Customer"" or a ""Supplier"".","Every , statement within
  , must have the same number 
of columns,The columns must also have similar data types,The columns in 
  every , statement must also be in the same order",,
"MySQL , Statement",CASE,"The MySQL CASE Statement,CASE Syntax,Demo Database,MySQL CASE Examples","Example,Example","The , statement goes through conditions and returns a value when the first condition is 
met (like an if-then-else statement). So, once a condition is true, it will stop 
reading and return the result. If no conditions are true, it returns 
the value in the , clause. ,If there is no , part and no conditions are true, it returns NULL.,Below is a selection from the ""OrderDetails"" table in the Northwind sample database:,The following SQL goes through conditions and returns a value when the first condition is met:,The following SQL will order the customers by City. However, if City is NULL, then order by Country:",,,
