H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
Node.js ,Tutorial,"Learning by Examples,Examples Running in the Command Line Interface,Node.js Reference,Download Node.js","Example,Example","Our ""Show Node.js"" tool makes it easy to learn Node.js, it shows both the 
code and the result.,In this tutorial there will be some examples that are better explained by displaying the result in the 
command line interface.,When this happens, The ""Show Node.js"" tool will show the result in a black screen on the right:,Node.js has a set of built-in modules.,Download Node.js from the official Node.js web site:
",,,
"Node.js , Create Collection",MongoDB,Creating a Collection,Example,"To create a collection in MongoDB, use the , method:,Save the code above in a file called ""demo_mongodb_createcollection.js"" and run the file:,Which will give you this result:,MongoDB waits until you have inserted a document before it actually creates the collection.",,,
"Node.js , Create Database",MongoDB,Creating a Database,Example,"To create a database in MongoDB, start by creating a MongoClient object, then specify a connection URL with the 
correct ip address and the name of the database you want to create.,MongoDB will create the database if it does not exist, and make a connection 
to it.,Save the code above in a file called ""demo_create_mongo_db.js"" and run the file:,Which will give you this result:,MongoDB waits until you have created a collection (table), with at least one document (record) before it actually creates the database (and collection).",,,
"Node.js , Sort",MongoDB,"Sort the Result,Sort Descending","Example,Example","Use the , method to sort the result in ascending or descending order.,The , method takes one parameter, an 
object defining the sorting order.,Save the code above in a file called ""demo_sort.js"" and run the file:,Which will give you this result:,Use the value -1 in the sort object to sort descending.,Save the code above in a file called ""demo_sort_desc.js"" and run the file:,Which will give you this result:",,,
Node.js ,MongoDB,"MongoDB,Install MongoDB Driver",,"Node.js can be used in database applications.,One of the most popular NoSQL database is MongoDB.,To be able to experiment with the code examples, you will need access to a MongoDB database.,You can download a free MongoDB database at
,.,Or get started right away with a MongoDB cloud service at 
,.,Let us try to access a MongoDB database with Node.js.,To download and install the official MongoDB driver, open the Command Terminal and execute the following:,Now you have downloaded and installed a mongodb database driver.,Node.js can use this module to manipulate MongoDB databases:",,,
"Node.js , Insert",MongoDB,"Insert Into Collection,Insert Multiple Documents,The Result Object,The _id Field","Example,Example,Example,Example","To insert a record, or , as it is called in MongoDB, into a collection, we use the 
, method.,The first parameter of the , method is an object containing the 
name(s) and value(s) of each field in the document you want to insert.,It also takes a callback function where you can work with any errors, or the 
result of the insertion:,Save the code above in a file called ""demo_mongodb_insert.js"" and run the file:,Which will give you this result:,To insert multiple documents into a collection in MongoDB, we use the 
, method.,The first parameter of the , method 
is an array of objects, containing the data you want to 
insert.,It also takes a callback function where you can work with any errors, or the 
result of the insertion:,Save the code above in a file called ""demo_mongodb_insert_multiple.js"" and run the file:,Which will give you this result:,When executing the , method, a result object is returned.,The result object contains information about how the insertion affected the 
database.,The object returned from the example above looked like this:,The values of the properties can be displayed like this:,Which will produce this result:,If you do not specify an , field, then MongoDB 
will add one for you and assign a unique id for each document.,In the example above no , field was 
specified, and as you can see from the result object, MongoDB assigned a unique 
_id for each document.,If you , specify the , field, the value must 
be unique for each document:,Save the code above in a file called ""demo_mongodb_insert_id.js"" and run the file:,Which will give you this result:",,,
"Node.js , Update",MongoDB,"Update Document,Update Only Specific Fields,Update Many Documents,The Result Object","Example,Example,Example,Example","You can update a record, or document as it is called in MongoDB, by using 
the , method.,The first parameter of the , method 
is a query object defining which document to update.,The second parameter  
is an object defining the new values of the document.,Save the code above in a file called ""demo_update_one.js"" and run the file:,Which will give you this result:,When using the , operator, only the 
specified fields are updated:,To update , documents that meets the criteria of the query, use 
the , method.,Save the code above in a file called ""demo_update_many.js"" and run the file:,Which will give you this result:,The , and the
, methods return an object which contains information about how 
the execution affected the database.,Most of the information is not important to understand, but one object inside 
the object is called ""result"" which tells us if the execution went OK, and how 
many documents were affected.,The result object looks like this:,You can use this object to return the number of updated documents:,Which will produce this result:",,,
"Node.js , Delete",MongoDB,"Delete Document,Delete Many,The Result Object","Example,Example,Example","To delete a record, or document as it is called in MongoDB, we use the
, method.,The first parameter of the , method 
is a query object defining which document to delete.,Save the code above in a file called ""demo_delete.js"" and run the file:,Which will give you this result:,To delete more than one document, use the
, method.,The first parameter of the , method 
is a query object defining which documents to delete.,Save the code above in a file called ""demo_delete_many.js"" and run the file:,Which will give you this result:,The , method returns an object which contains information about how 
the execution affected the database.,Most of the information is not important to understand, but one object inside 
the object is called ""result"" which tells us if the execution went OK, and how 
many documents were affected.,The result object looks like this:,You can use this object to return the number of deleted documents:,Which will produce this result:",,,
"Node.js , Query",MongoDB,"Filter the Result,Filter With Regular Expressions","Example,Example","When finding documents in a collection, you can filter the result by using a 
query object.,The first argument of the , method 
is a query object, and is used to limit the search.,Save the code above in a file called ""demo_mongodb_query.js"" and run the file:,Which will give you this result:,You can write regular expressions to find exactly what you are searching for.,To find only the documents where the ""address"" field starts with the letter ""S"", use the regular 
expression ,:,Save the code above in a file called ""demo_mongodb_query_s.js"" and run the file:,Which will give you this result:",,,
"Node.js , Find",MongoDB,"Find One,Find All,Find Some,The Result Object","Example,Example,Example,Example,Example,Example,Example","To select data from a collection in MongoDB, we can use the
, method.,The , method returns the first 
occurrence in the selection.,The first parameter of the , method 
is a query object. In this example we use an empty query object, which selects 
all documents in a collection (but returns only the first document).,Save the code above in a file called ""demo_mongodb_findone.js"" and run the file:,Which will give you this result:,To select data from a table in MongoDB, we can also use the
, method.,The , method returns all 
occurrences in the selection.,The first parameter of the , method 
is a query object. In this example we use an empty query object, which selects 
all documents in the collection.,Save the code above in a file called ""demo_mongodb_find.js"" and run the file:,Which will give you this result:,The second parameter of the , method 
is the , object that describes which fields to include in the result.,This parameter is optional, and if omitted, all fields will be included in 
the result.,Save the code above in a file called ""demo_mongodb_find_fields.js"" and run the file:,Which will give you this result:,As you can see from the result of the example above, the result can be converted into an array containing each 
document as an object.,To return e.g. the address of the third document, just refer to the third array 
object's address property:,Which will produce this result:",,,
"Node.js , Drop",MongoDB,"Drop Collection,db.dropCollection","Example,Example","You can delete a table, or collection as it is called in MongoDB, by using 
the , method.,The , method takes a callback function 
containing the error object and the result parameter which returns true if the collection was dropped successfully, 
otherwise it returns false.,Save the code above in a file called ""demo_drop.js"" and run the file:,Which will give you this result:,You can also use the , method to delete a table (collection).,The , method takes two parameters: the name of the collection 
and a callback function.,Save the code above in a file called ""demo_dropcollection.js"" and run the file:,Which will give you this result:",,,
"Node.js ,Join",MySQL ,"Join Two or More Tables,Left Join,Right Join","users,products,Example,Example,Example","You can combine rows from two or more tables, based on a related column 
between them, by using a JOIN statement.,Consider you have a ""users"" table and a ""products"" table:,These two tables can be combined by using users' , field and products' 
, field.,Save the code above in a file called ""demo_db_join.js"" and run the file:,Which will give you this result:,As you can see from the result above, only the records with a match in both 
tables are returned.,If you want to return , users, no matter if they have a favorite product or 
not, use the LEFT JOIN statement:,Which will give you this result:,If you want to return all products, and the users who have them as their 
favorite, even if no user have them as their favorite, use the RIGHT JOIN 
statement:,Which will give you this result:",,,
"Node.js , Update",MySQL,"Update Table,The Result Object","Example,Example","You can update existing records in a table by using 
the ""UPDATE"" statement:,Save the code above in a file called ""demo_db_update.js"" and run the file:,Which will give you this result:,When executing a query, a result object is returned.,The result object contains information about how the query  
affected the table.,The result object returned from the example above looks like this:,The values of the properties can be displayed like this:,Which will produce this result:",,,
"Node.js , Limit",MySQL,"Limit the Result,Start From Another Position,Shorter Syntax","Example,Example,Example","You can limit the number of records returned from the query, by using the ""LIMIT"" statement:,Save the code above in a file called ""demo_db_limit.js"" and run the file:,Which will give you this result:,If you want to return five records, starting from the third record, you 
can use the ""OFFSET"" keyword:,Save the code above in a file called ""demo_db_offset.js"" and run the file:,Which will give you this result:,You can also write your SQL statement like this ""LIMIT 2, 5"" which 
returns the same as the offset example above:",,,
"Node.js , Delete",MySQL,"Delete Record,The Result Object","Example,Example","You can delete records from an existing table by using 
the ""DELETE FROM"" statement:,Save the code above in a file called ""demo_db_delete.js"" and run the file:,Which will give you this result:,When executing a query, a result object is returned.,The result object contains information about how the query  
affected the table.,The result object returned from the example above looks like this:,The values of the properties can be displayed like this:,Which will produce this result:",,,
"Node.js , Drop Table",MySQL,"Delete a Table,Drop Only if Exist","Example,Example","You can delete an existing table by using 
the ""DROP TABLE"" statement:,Save the code above in a file called ""demo_db_drop_table.js"" and run the file:,Which will give you this result:,If the the table you want to delete is already deleted, or for any other 
reason does not exist, you can use the IF EXISTS keyword to avoid getting an 
error.,Save the code above in a file called ""demo_db_drop_table_if.js"" and run the file:,If the table exist, the result object will look like this:,If the table does not exist, the result object will look like this:,As you can see the only differnce is that the warningCount property is set to 1 if the table does not exist.",,,
Node.js ,Built-in Modules,,,"Node.js has a set of built-in modules which you can use without any further 
installation.,Here is a list of the built-in modules of Node.js version 6.10.3:",,,
Node.js ,Raspberry Pi - Components,"What are Components?,The Raspberry Pi and GPIO Pins,The Breadboard,Other Electrical Components,Node.js Modules",,"Components are parts of a larger whole. In this chapter, we explain the different components we use in our tutorial.,A breadboard is used for prototyping electronics, it allows you to create 
circuits without soldering. It is basically a plastic board, with a grid of 
tie-points (holes). Inside the board there are metal strips connecting the 
different tie-points in specific ways.,In the illustration below we have highlighted some of the sections with different colors. This is to show you how the grid is connected.,The different sections of the breadboard:","On the left, and right, side there are 2 columns of tie-points. All the 
    tie points in each of these columns are connected., - The columns highlighted with red. There are usually used 
    to connect power to the Breadboard. Since the entire column is connected, 
    you can connect power to any of the tie-points in the column., - The columns highlighted with blue. There are usually 
    used to connect Ground to the Breadboard. Since the entire column is 
    connected, you can connect ground to any of the tie-points in the column., - The rows highlighted with green. The 
    tie-points of each of these rows are connected, but not the entire row! The 
    left side tie-points are connected (A-B-C-D-E), and the right side 
    tie-points are connected (F-G-H-I-J).,In the center of the Breadboard there is a Trench, this separates the 
    left and right rows. The width of the trench is designed so that many 
    Integrated Circuits fit across it.",,
