H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
NumPy ,Tutorial,"Learning by Reading,Learning by Quiz Test,Learning by Exercises,Learning by Examples",Example,"We have created 43 tutorial pages for you to learn more about NumPy.,Starting with a basic introduction and ends up with creating and plotting random data sets, and working with NumPy functions:,Test your NumPy skills with a quiz test.,In our ""Try it Yourself"" editor, you can use the NumPy module, and modify the code to see the result.",,,
Exponential Distribution,,"Exponential Distribution,Visualization of Exponential Distribution,Relation Between Poisson and Exponential Distribution","Example,Example,Result","Exponential distribution is used for describing time till next event e.g. failure/success etc.,It has two parameters:, - inverse of rate ( see lam in poisson distribution ) defaults to 1.0., - The shape of the returned array.,
Poisson distribution deals with number of occurences of an event in a time period whereas exponential
distribution deals with the time between these events.
",,,
Rayleigh Distribution,,"Rayleigh Distribution,Visualization of Rayleigh Distribution,Similarity Between Rayleigh and Chi Square Distribution","Example,Example,Result","Rayleigh distribution is used in signal processing.,It has two parameters:, - (standard deviation) decides how flat the distribution will be  default 1.0)., - The shape of the returned array.,
At unit stddev the and 2 degrees of freedom rayleigh and chi square represent the same distributions.
",,,
Zipf Distribution,,Visualization of Zipf Distribution,"Example,Example,Result","Zipf distritutions are used to sample data based on zipf's law.,It has two parameters:, - distribution parameter., - The shape of the returned array.,Sample 1000 points but plotting only ones with value < 10 for more meaningful chart.",,,
Multinomial Distribution,,Multinomial Distribution,Example,"Multinomial distribution is a generalization of binomial distribution.,It describes outcomes of multi-nomial scenarios unlike binomial where scenarios must be only one of two.
e.g. Blood type of a population, dice roll outcome.,It has three parameters:, - number of possible outcomes (e.g. 6 for dice roll)., - list of probabilties of outcomes (e.g. [1/6, 1/6, 1/6, 1/6, 1/6, 1/6] for dice roll)., - The shape of the returned array.",,,
Chi Square Distribution,,"Chi Square Distribution,Visualization of Chi Square Distribution","Example,Example,Result","Chi Square distribution is used  as a basis to verify the hypothesis.,It has two parameters:, - (degree of freedom)., - The shape of the returned array.",,,
Pareto Distribution,,"Pareto Distribution,Visualization of Pareto Distribution","Example,Example,Result","A distribution following Pareto's law i.e. 80-20 distribution (20% factors cause 80% outcome).,It has two parameter:, - shape parameter., - The shape of the returned array.",,,
NumPy ufuncs,,"What are ufuncs?,Why use ufuncs?,What is Vectorization?","Example,Example","ufuncs stands for ""Universal Functions"" and they are NumPy functions that
operates on the , object.,ufuncs are used to implement , in NumPy which is way faster than iterating over elements.,They also provide broadcasting and additional methods like reduce, accumulate etc. that are very helpful for computation.,ufuncs also take additional arguments, like:, boolean array or condition defining where the operations should take place., defining the return type of elements., output array where the return value should be copied.,Converting iterative statements into a vector based operation is called vectorization.,It is faster as modern CPUs are optimized for such operations.,list 1: [1, 2, 3, 4],list 2: [4, 5, 6, 7],One way of doing it is to iterate over both of the lists and then sum each elements.,NumPy has a ufunc for this, called , 
that will produce the same result.",,,
Create Your Own ufunc,,"How To Create Your Own ufunc,Check if a Function is a ufunc","Example,Example,Example,Example","To create you own ufunc, you have to define a function, like you do with normal functions in Python, then you
add it to your NumPy ufunc library with the , method.,The , method takes the following arguments:,Check the , of a function to check if it is a ufunc or not.,A ufunc should return ,.,If it is not a ufunc, it will return another type, like this built-in NumPy function for joining two or more arrays:,If the function is not recognized at all, it will return an error:,To test if the function is a ufunc in an if statement, use the , value 
(or , if you use np as an alias for numpy):",,,
Logistic Distribution,,"Logistic Distribution,Visualization of Logistic Distribution,Difference Between Logistic and Normal Distribution","Example,Example,Result,Example,Result","Logistic Distribution is used to describe growth.,Used extensively in machine learning in logistic regression, neural networks etc.,It has three parameters:, - mean, where the peak is. Default 0., - standard deviation, the flatness of distribution. Default 1., - The shape of the returned array.,Both distributions are near identical, but logistic distribution has more area under the tails. ie. It representage more possibility of occurence of an events further away from mean.,For higher value of scale (standard deviation) the normal and logistic distributions are near identical apart from the peak.",,,
Uniform Distribution,,"Uniform Distribution,Visualization of Uniform Distribution","Example,Example,Result","Used to describe probability where every event has equal chances of occuring.,E.g. Generation of random numbers.,It has three parameters:, - lower bound - default 0 .0., - upper bound - default 1.0., - The shape of the returned array.",,,
Poisson Distribution,,"Poisson Distribution,Visualization of Poisson Distribution,Difference Between Normal and Poisson Distribution,Difference Between Poisson and Binomial Distribution","Example,Example,Result,Example,Result,Example,Result","Poisson Distribution is a ,.,It estimates how many times an event can happen in a specified time.
e.g. If someone eats twice a day what is probability he will eat thrice?,It has two parameters:, - rate or known number of occurences e.g. 2 for above problem., - The shape of the returned array.,Normal distribution is continous whereas poisson is discrete.,But we can see that similar to binomial for a large enough poisson distribution it will become similar to normal distribution with certain std dev and mean.,The difference is very subtle it is that, binomial distribution is for discrete trials, whereas poisson distribution is for continuous trials.,But for very large , and near-zero , binomial 
distribution is near identical to poisson distribution such that , is nearly equal to ,.",,,
