H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
PHP ,Tutorial,"Easy Learning with ""PHP Tryit"",PHP Exercises,PHP Examples,PHP Quiz Test,PHP References",Example,"With our online ""PHP Tryit"" editor, you can edit the PHP code, and click 
on a button to view the result.,Learn by examples! This tutorial supplements all explanations with clarifying examples.,Learn by taking a quiz! This quiz will give you a signal of how much you know, or do not know, about PHP.,W3Schools' PHP reference contains different categories of all PHP functions, keywords and constants, along with examples.",,"
 <!DOCTYPE html>,
 <html>,
    <body>,
 ,
 ,
    </body>,
    </html>
",
PHP ,Forms - Required Fields,"PHP - Required Fields,PHP - Display The Error Messages",Example,"This chapter shows how to make input fields required and create error messages if needed.,From the validation rules table on the previous page, we see that the ""Name"", ""E-mail"", and 
""Gender"" fields are required. These fields cannot be empty and must be filled out in the 
HTML form.,In the previous chapter, all input fields were optional. ,In the following code we have added some new variables: $nameErr, $emailErr, 
$genderErr, and $websiteErr. These error variables will hold error messages for the 
required fields. We have also added an , statement for each $_POST variable. This 
checks if the $_POST variable is empty (with the PHP , 
function). If it is empty, an error message is stored in the different error variables, 
and if it is not empty, it sends the user input data through the , 
function:,Then in the HTML form, we add a little script after each required field, 
which generates the correct error message if needed (that is if the user tries to submit 
the form without filling out the required fields):,The next step is to validate the input data, that is ""Does the Name field 
contain only letters and whitespace?"", and ""Does the E-mail field contain a 
valid e-mail address syntax?"", and if filled out, ""Does the Website field contain 
a valid URL?"".",,,
PHP ,Form Validation,"PHP Form Validation,Text Fields,Radio Buttons,The Form Element,Big Note on PHP Form Security,How To Avoid $_SERVER[""PHP_SELF""] Exploits?,Validate Form Data With PHP",Example,"This and the next chapters show how to use PHP to validate form data.,The HTML form we will be working at in these chapters, contains various input fields: 
required and optional text fields, radio buttons, and a submit button:,The validation rules for the form above are as follows:,First we will look at the plain HTML code for the form:,The name, email, and website fields are text input elements, and the comment 
field is a textarea. The HTML code looks like this:,The gender fields are radio buttons and the HTML code looks like this:,The HTML code of the form looks like this:,When the form is submitted, the form data is sent with method=""post"".,So, the $_SERVER[""PHP_SELF""] sends the submitted form data to the page itself, instead of jumping to a different page. 
This way, the user will get error messages on the same page as the form.,The $_SERVER[""PHP_SELF""] variable can be used by hackers!,If PHP_SELF is used in your page then a user can enter a slash (/) and then
some Cross Site Scripting (XSS) commands to execute.,Assume we have the following form in a page named ""test_form.php"":,Now, if a user enters the normal URL in the address bar like 
""http://www.example.com/test_form.php"", the above code will be translated to:,So far, so good.,However, consider that a user enters the following URL in the address bar:,In this case, the above code will be translated to:,This code adds a script tag and an alert command. And when the page loads, the 
JavaScript code will be executed (the user will see an alert box). This is just a simple 
and harmless example how the PHP_SELF variable can be exploited.,Be aware of that ,A hacker can redirect the user to a file on another server, 
and that file can hold malicious code 
that can alter the global variables or submit the form to another 
address to save the user data, for example.,$_SERVER[""PHP_SELF""] exploits can be avoided by using the htmlspecialchars() function.,The form code should look like this:,The htmlspecialchars() function converts special characters to HTML entities. Now if the user 
tries to exploit the PHP_SELF variable, it will result in the following output:,The exploit attempt fails, and no harm is done!,The first thing we will do is to pass all variables through PHP's htmlspecialchars() function.,When we use the htmlspecialchars() function; then if a user tries to submit the following in a text field:,<script>location.href('http://www.hacked.com')</script>,- this would not be executed, because it would be saved as HTML escaped code, like this:,&lt;script&gt;location.href('http://www.hacked.com')&lt;/script&gt;,The code is now safe to be displayed on a page or inside an e-mail.,We will also do two more things when the user submits the form:,The next step is to create a function that will do all the checking for us 
(which is much more convenient than writing the same code over and over again).,We will name the function test_input().,Now, we can 
check each $_POST variable with the test_input() function, and the script looks like this:,Notice that at the start of the script, we check whether the form has been 
submitted using $_SERVER[""REQUEST_METHOD""]. If the REQUEST_METHOD is POST, then 
the form has been submitted - and it 
should be validated. If it has not been submitted, skip the validation and 
display a blank form.,However, in the example above, all input fields are optional. The script 
works fine even if the user does not enter any data.,The next step is to make input fields required and create error messages if 
needed.",,,
PHP ,File Handling,"PHP Manipulating Files,PHP readfile() Function,PHP Exercises",Example,"File handling is an important part of any web application. You 
often need to open and process a file for different tasks.,PHP has several functions for creating, reading, uploading, and editing files.,The , function reads a file and writes it to the output buffer.,Assume we have a text file called ""webdictionary.txt"", stored on the 
server, that looks like this:,The PHP code to read the file and write it to the output buffer is as follows 
(the , function returns the number of bytes read on success):,The , function is useful if all you want to do is open up a file and read its contents.,The next chapters will teach you more about file handling.",,,
PHP ,File Open/Read/Close,"PHP Open File - fopen(),PHP Read File - fread(),PHP Close File - fclose(),PHP Read Single Line - fgets(),PHP Check End-Of-File - feof(),PHP Read Single Character - fgetc(),Complete PHP Filesystem Reference,PHP Exercises","Example,Example,Example,Example","In this chapter we will teach you how to open, read, and close a file 
on the server.,A better method to open files is with the , function. This function gives you more 
options than the , function.,We will use the text file, ""webdictionary.txt"", during the lessons:,The first parameter of , contains the name of the file to be opened and the 
second parameter specifies in which mode the file should be opened. The following example 
also generates a message if the fopen() function is unable to open the specified file:, The , and the , functions will be 
explained below.,The file may be opened in one of the following modes:,The , function reads from an open file.,The first parameter of , contains the name of the file to read from and 
the second parameter specifies the maximum number of bytes to read.,The following PHP code reads the ""webdictionary.txt"" file to the end:,The , function is used to close an open file.,The , requires the name of the file (or a variable that holds the 
filename) we want to close:,The , function is used to read a single line from a file.,The example below outputs the first line of the ""webdictionary.txt"" file:, After a call to the , function, the file pointer has moved to the next line.,The , function checks if the ""end-of-file"" (EOF) has been reached.,The , function is useful for looping through data of unknown length.,The example below reads the ""webdictionary.txt"" file line by line, until end-of-file is reached:,The , function is used to read a single character from a file.,The example below reads the ""webdictionary.txt"" file character by 
character, until end-of-file is reached:, After a call to the , function, the file pointer moves to the next character.,For a complete reference of filesystem functions, go to our complete
,.",,,
PHP ,Complete Form Example,"PHP - Keep The Values in The Form,PHP - Complete Form Example",Example,"This chapter shows how to keep the values in the input fields 
when the user hits the submit button.,To show the values in the input fields after the user hits the submit button, 
we add a little PHP script inside the value attribute of the following input 
fields: name, email, and website. In the comment textarea field, we put the 
script between the <textarea> and </textarea> tags. The little script outputs the 
value of the $name, $email, $website, and $comment variables. ,Then, we also need to show which radio button that was checked. For this, we 
must manipulate the checked attribute (not the value attribute for radio 
buttons):,Here is the complete code for the PHP Form Validation Example:",,,
PHP ,Date and Time,"The PHP Date() Function,Get a Date,PHP Tip - Automatic Copyright Year,Get a Time,Get Your Time Zone,Create a Date With mktime(),Create a Date From a String With strtotime(),More Date Examples,Complete PHP Date Reference,PHP Exercises","Example,Example,Example,Example,Example,Example,Example,Example,Example","The PHP , function is used to format a date and/or a time.,The PHP , function formats a timestamp to a more readable date and time.,The required , parameter of the date() function specifies how to format the date 
(or time).,Here are some characters that are commonly used for dates:,Other characters, like""/"", ""."", or ""-"" can also be inserted between the 
characters to add additional formatting.,The example below formats today's date in three different ways:,Use the , function to automatically update the copyright year on your 
website:,Here are some characters that are commonly used for times:,The example below outputs the current time in the specified format:,If the time you got back from the code is not correct, it's probably because your server is in another country or set up 
for a different timezone.,So, if you need the time to be correct according to a specific 
location, you can set the timezone you want to use. ,The example below sets the timezone to ""America/New_York"", then outputs the current time in the specified format:,The optional , parameter in the date() function specifies a timestamp. If 
omitted, the current date and time will be used (as in the 
examples above).,The PHP , function returns the Unix timestamp for a date. The Unix timestamp contains the number of seconds between the Unix Epoch 
(January 1 1970 00:00:00 GMT) and the time specified.,The example below creates a date and time with the 
, function from a number of parameters in the 
, function:,The PHP , function is used to convert a human readable 
date string into a 
Unix timestamp (the number of seconds since January 1 1970 00:00:00 GMT).,The example below creates a date and time from the , function:,PHP is quite clever about converting a string to a date, so you can put in 
various values:,However, , is not perfect, so remember to check the strings you put in there.,The example below outputs the dates for the next six Saturdays:,The example below outputs the number of days until 4th of July:,For a complete reference of all date functions, go to our complete
,.,The reference contains a brief description, and examples of use, for each function!","d - Represents the day of the month (01 to 31) ,m - Represents a month (01 to 12),Y - Represents a year (in four digits),l (lowercase 'L') - Represents the day of the week,H - 24-hour format of an hour (00 to 23),h - 12-hour format of an hour with leading zeros (01 to 12) ,i - Minutes with leading zeros (00 to 59),s - Seconds with leading zeros (00 to 59),a - Lowercase Ante meridiem and Post meridiem (am or pm)",,
PHP ,File Create/Write,"PHP Create File - fopen(),PHP File Permissions,PHP Write to File - fwrite(),PHP Overwriting,Complete PHP Filesystem Reference","Example,Example,Example","In this chapter we will teach you how to create and write to a file 
on the server.,The , function is also used to create a file. Maybe a little confusing, but in PHP, a file is created using the same 
function used to open files.,If you use , on a file that does not 
exist, it will create it, given that the file is opened for writing (w) or 
appending (a).,The example below creates a new file called ""testfile.txt"". The file will be 
created in the same directory where the PHP code resides:,If you are having errors when trying to get this code to run, check that you have granted your PHP file access to write 
information to the hard drive.,The , function is used to write to a file.,The first parameter of , contains the name of the file to write to and 
the second parameter is the string to be written.,The example below writes a couple of names into a new file called ""newfile.txt"":,Notice that we wrote to the file ""newfile.txt"" twice. Each time we wrote to 
the file we sent the string $txt that first contained ""John Doe"" and second 
contained ""Jane Doe"". After we finished writing, we closed the file using the , function.,If we open the ""newfile.txt"" file it would look like this:,Now that ""newfile.txt"" contains some data we can show what happens when we 
open an existing file for writing. All the existing data will be ERASED and we 
start with an empty file.,In the example below we open our existing file ""newfile.txt"", and write some 
new data into it:,If we now open the ""newfile.txt"" file, both John and Jane have 
vanished, and only the data we just wrote is present:,For a complete reference of filesystem functions, go to our complete
,.",,,
PHP ,Form Handling,"PHP - A Simple HTML Form,GET vs. POST,When to use GET?,When to use POST?,PHP Exercises","Example,Example","The PHP superglobals $_GET and $_POST are used to collect form-data.,The example below displays a simple HTML form with two input fields and a submit button:,When the user fills out the form above and clicks the submit button, the form data is sent 
for processing to a PHP file named ""welcome.php"". The form data is sent with 
the HTTP POST method.,To display the submitted data you could simply echo all the variables. The ""welcome.php"" looks like this:,The output could be something like this:,The same result could also be achieved using the HTTP GET method:,and ""welcome_get.php"" looks like this:,The code above is quite simple. However, the most important thing is missing. You need 
to validate form data to protect your script from malicious code.,Both GET and POST create an array (e.g. array( key1 => value1, 
key2 => value2, key3 => value3, ...)). This array holds key/value pairs, where 
keys are the names of the form controls and values are the input data from the user.,Both GET and POST are treated as $_GET and $_POST. These are superglobals, 
which means that they are always accessible, regardless of scope - and you can access them from any function,
class or file without having to do anything special.,$_GET is an array of variables passed to the current script via the URL parameters.,$_POST is an array of variables passed to the current script via the HTTP POST method.,Information sent from a form with the GET method is , (all 
variable names and values are displayed in the URL). GET also has limits on the amount of 
information to send. The limitation is about 2000 characters. However, 
because the variables are displayed in the URL, it is possible to bookmark the 
page. This can be useful in some cases.,GET may be used for sending non-sensitive data., GET should NEVER be used for sending passwords or other sensitive information!,Information sent from a form with the POST method is , 
(all names/values are embedded within the body of the HTTP request) and 
has , on the amount of information to send.,Moreover POST supports advanced functionality such as support for multi-part 
binary input while uploading files to server.,However, because the variables are not displayed in the URL, it is not possible to bookmark the page.,Next, lets see how we can process PHP forms the secure way!",,,
PHP ,Regular Expressions,"What is a Regular Expression?,Syntax,Regular Expression Functions,Using preg_match(),Using preg_match_all(),Using preg_replace(),Regular Expression Modifiers,Regular Expression Patterns,Metacharacters,Quantifiers,Grouping,Complete RegExp Reference","Example,Example,Example,Example","A regular expression is a sequence of characters that forms a search pattern.
When you search for data in a text, you can use this search pattern to describe what you
are searching for.,A regular expression can be a single character, or a more complicated pattern.,Regular expressions can be used to perform all types of text search and text replace
operations.,In PHP, regular expressions are strings composed of delimiters, a pattern and optional
modifiers.,In the example above, , is the ,, , is the ,that is being searched for,
and , is a ,that makes the search case-insensitive.,The delimiter can be any character that is not a letter, number, backslash or space. The
most common delimiter is the forward slash (/), but when your pattern contains forward
slashes it is convenient to choose other delimiters such as # or ~.,PHP provides a variety of functions that allow you to use regular expressions. The
,, , and , functions are some of the
most commonly used ones:,The , function will tell you whether a string contains matches of a pattern.,The , function will tell you how many matches were found for a pattern in a
string.,The , function will replace all of the matches of the pattern in a string with
another string.,Modifiers can change how a search is performed.,Brackets are used to find a range of characters:,Metacharacters are characters with a special meaning:,Quantifiers define quantities:,You can use parentheses , to apply quantifiers to entire patterns. They also can be used
to select parts of the pattern to be used as a match.,For a complete reference, go to our ,.,The reference contains descriptions and examples of all Regular Expression functions.",,,
