H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
Pandas ,Tutorial,"Learning by Reading,Learning by Quiz Test,Learning by Exercises,Learning by Examples",Example,"We have created 14 tutorial pages for you to learn more about Pandas.,Starting with a basic introduction and ends up with cleaning and plotting data:,Test your Pandas skills with a quiz test.,In our ""Try it Yourself"" editor, you can use the Pandas module, and modify the code to see the result.",,,
Pandas - ,Cleaning Data of Wrong Format,"Data of Wrong Format,Convert Into a Correct Format,Removing Rows","Example,Example","Cells with data of wrong format can make it difficult, or even impossible, to analyze data.,To fix it, you have two options: remove the rows, or convert all cells in the 
columns into the same format.,In our Data Frame, we have two cells with the wrong format. Check out row 22 
and 26, the 'Date' column should be a string that represents a date:,Let's try to convert all cells in the 'Date' column into dates.,Pandas has a , method for this:,As you can see from the result, the date in row 26 was fixed,
but the empty date in row 22 got a NaT (Not a Time) value, in other words an 
empty value. One way to deal with empty values is simply removing the entire row.,The result from the converting in the example above gave us a NaT value, which can be handled as a NULL value, and we can remove the row by using the 
, method.",,,
Pandas - ,Cleaning Empty Cells,"Empty Cells,Remove Rows,Replace Empty Values,Replace Using Mean, Median, or Mode","Example,Example,Example,Example,Example,Example,Example","Empty cells can potentially give you a wrong result when you analyze data.,One way to deal with empty cells is to remove rows that contain empty cells.,This is usually OK, since data sets can be very big, and removing a few rows 
will not have a big impact on the result.,In our cleaning examples we will be using a CSV file called 'dirtydata.csv'.,. or ,If you want to change the original DataFrame, use the
, argument:,Another way of dealing with empty cells is to insert a , value instead.,This way you do not have to delete entire rows just because of some empty 
cells.,The , method allows us to replace empty 
cells with a value:,The example above replaces all empty cells in the whole Data Frame.,To only replace empty values for one column,
specify the , for the DataFrame:,A common way to replace empty cells, is to calculate the mean, median or mode value of the 
column.,Pandas uses the , 
, and , methods to 
calculate the respective values for a specified column:",,,
Pandas - ,Cleaning Data,"Data Cleaning,Our Data Set",,"Data cleaning means fixing bad data in your data set.,Bad data could be: ,In this tutorial you will learn how to deal with all of them.,In the next chapters we will use this data set:,The data set contains some empty cells (""Date"" in row 22, and ""Calories"" in row 18 and 28).,The data set contains wrong format (""Date"" in row 26).,The data set contains wrong data (""Duration"" in row 7).,The data set contains duplicates (row 11 and 12).","Empty cells,Data in wrong format,Wrong data,Duplicates",,
Pandas ,Quiz,"The Test,Count Your Score",,"You can test your Pandas skills with W3Schools' Quiz.,The test contains 25 questions and there is no time limit.,The test is not official, it's just a nice way to see how much you know, or don't know, about 
Pandas.,You will get 1 point for each correct answer. At the end of the Quiz,
your total score will be displayed. Maximum score is 25 points.",,,
Pandas ,Exercises,"Exercises,Count Your Score",,"You can test your Pandas skills with W3Schools' Exercises.,We have gathered a variety of Pandas exercises (with answers) for each Pandas Chapter.,Try to solve an exercise by filling in the missing parts of a code. If you're stuck, hit the ""Show Answer"" button to see what you've done wrong.,You will get 1 point for
each correct answer. Your score and total score will always be displayed.",,,
Pandas - ,Removing Duplicates,"Discovering Duplicates,Removing Duplicates","Example,Example","Duplicate rows are rows 
that have been registered more than one time.,By taking a look at our test data set, we can assume that row 11 and 12 are duplicates.,To discover duplicates, we can use the , method.,The , method returns a Boolean values for each row:,To remove duplicates, use the , method.",,,
Pandas - ,Plotting,"Plotting,Scatter Plot,Histogram","Example,Example,Result,Example,Result,Example,Result","Pandas uses the , method to create 
diagrams.,We can use Pyplot, a submodule of the Matplotlib library to visualize the 
diagram on the screen.,Read more about Matplotlib in our ,.,The examples in this page uses a CSV file called: 'data.csv'., or ,Specify that you want a scatter plot with the , argument:,A scatter plot needs an x- and a y-axis.,In the example below we will use ""Duration"" for the x-axis
and ""Calories"" for the y-axis.,Include the x and y arguments like this:,Let's create another scatterplot, where there is a bad relationship between the columns, like ""Duration"" and ""Maxpulse"", with the correlation ,:,Use the , argument 
to specify that you want a histogram:,A histogram needs only one column.,A histogram shows us the frequency of each interval, e.g. how many workouts lasted between 50 and 60 minutes?,In the example below we will use the ""Duration"" column to create the histogram:",,,
Pandas - ,DataFrame Reference,,,"All properties and methods of the DataFrame object, with explanations and 
examples:",,,
Pandas - ,Data Correlations,Finding Relationships,"Example,Result","A great aspect of the Pandas module is the , method.,The , method calculates the relationship between each column in your data set.,The examples in this page uses a CSV file called: 'data.csv'.,. or ,The Result of the , method is a table with a lot of numbers that represents
how well the relationship is between two columns.,The number varies from -1 to 1.,1 means that there is a 1 to 1 relationship (a perfect correlation),
and for this data set, each time a value went up in the first column, the other one went up as well.,0.9 is also a good relationship, and if you increase one value, the other will probably increase as well.,-0.9 would be just as good relationship as 0.9, but if you increase one value, the other will probably go down.,0.2 means NOT a good relationship, meaning that if one value goes up does not mean that the other will.,We can see that ""Duration"" and ""Duration"" got the number ,, which makes sense,
each column always has a perfect relationship with itself.,""Duration"" and ""Calories"" got a , correlation, 
which is a very good correlation, and we can predict that the longer you work 
out, the more calories you burn, and the other way around: if you burned a lot 
of calories, you probably had a long work out.,""Duration"" and ""Maxpulse"" got a , correlation, 
which is a very bad correlation, meaning that we can not predict the max pulse 
by just looking at the duration of the work out, and vice versa.",,,
