H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
Python ,Tutorial,"Learning by Examples,Python File Handling,Python Database Handling,Python Exercises,Python Examples,Python Quiz,Python Reference,Download Python",Example,"With our ""Try it Yourself"" editor, you can edit Python code and view the result.,In our File Handling section you will learn how to open, read, write, and 
delete files.,In our database section you will learn how to access and work with MySQL and MongoDB databases:,Learn by examples! This tutorial supplements all explanations with clarifying examples.,Test your Python skills with a quiz.,You will also find complete function and method references:,Download Python from the official Python web site:
  ",,,
Python ,Scope,"Local Scope,Global Scope,Global Keyword","Example,Example,Example,Example,Example,Example","A variable is only available from inside the region it is 
created. This is called ,.,A variable created inside a function belongs to the , of 
that function, and can only be used inside that function.,As explained in the example above, the variable , is not available outside the function, 
but it is available for any function inside the function:,A variable created in the main body of the Python code is a global variable 
and belongs to the global scope.,Global variables are available from within any scope, global and local.,If you operate with the same variable name inside and outside of a function, Python will treat them as two 
separate variables,
one available in the global scope (outside the function) and one available in the local scope (inside the function):,If you need to create a global variable, but are stuck in the local scope, you can use the 
, keyword.,The , keyword makes the variable global.,Also, use the , keyword if you want to 
make a change to a global variable inside a function.",,,
Python ,Iterators,"Python Iterators,Iterator vs Iterable,Looping Through an Iterator,Create an Iterator,StopIteration","Example,Example,Example,Example,Example,Example","An iterator is an object that contains a countable number of values.,An iterator is an object that can be iterated upon, meaning that you can 
traverse through all the values.,Technically, in Python, an iterator is an object which implements the 
iterator protocol, which consist of the methods , 
and ,.,Lists, tuples, dictionaries, and sets are all iterable objects. They are iterable
, which you can get an iterator from.,All these objects have a , method which is used to get an iterator:,Even strings are iterable objects, and can return an iterator:,We can also use a , loop to iterate through an iterable object:,The , loop actually creates an iterator object and executes the next() 
method for each loop.,To create an object/class as an iterator you have to implement the methods
, and , to your object.,As you have learned in the , chapter, all classes have a function called
,, which allows you to do some 
initializing when the object is being created.,The , method acts similar, you can 
do operations (initializing etc.), but must always return the iterator object 
itself.,The , method also allows you to do 
operations, and must return the next item in the sequence.,The example above would continue forever if you had enough next() statements, or if it was used in a 
, loop.,To prevent the iteration to go on forever, we can use the 
, statement.,In the , method, we can add a terminating condition to raise an error if the iteration is done a specified number of times:",,,
Python ,Modules,"What is a Module?,Create a Module,Use a Module,Variables in Module,Naming a Module,Re-naming a Module,Built-in Modules,Using the dir() Function,Import From Module","Example,Example,Example,Example,Example,Example,Example,Example,Example","Consider a module to be the same as a code library.,A file containing a set of functions you want to include in your application.,To create a module just save the code you want in a file with the file extension ,:,Now we can use the module we just created, by using the , statement:,The module can contain functions, as already described, but also variables of 
all types (arrays, dictionaries, objects etc):,You can name the module file whatever you like, but it must have the file extension 
,You can create an alias when you import a module, by using the , keyword:,There are several built-in modules in Python, which you can import whenever you like.,There is a built-in function to list all the function names (or variable 
names) in a module. The , function:,You can choose to import only parts from a module, by using the , keyword.",,,
Python ,Inheritance,"Python Inheritance,Create a Parent Class,Create a Child Class,Add the __init__() Function,Use the super() Function,Add Properties,Add Methods","Example,Example,Example,Example,Example,Example,Example,Example,Example","Inheritance allows us to define a class that inherits all the methods and properties from another class., is the class being inherited from, also called 
base class., is the class that inherits from another class, 
also called derived class.,Any class can be a parent class, so the syntax is the same as creating any 
other class:,To create a class that inherits the functionality from another class, send the parent class as a parameter when creating the child 
class:,Now the Student class has the same properties and methods as the Person 
class.,So far we have created a child class that inherits the properties and methods 
from its parent.,We want to add the , function to the child class (instead of the , keyword).,When you add the , function, the child class will no longer inherit 
the parent's , function.,To keep the inheritance of the parent's , 
function, add a call to the 
parent's , function:,Now we have successfully added the __init__() function, and kept the 
inheritance of the parent class, and we are ready to add functionality in the
, function.,Python also has a , function that 
will make the child class inherit all the methods and properties from its 
parent:,By using the , function, you do not 
have to use the name of the parent element, it will automatically inherit the 
methods and properties from its parent.,In the example below, the year , should be a variable, and passed into the 
, class when creating student objects.
To do so, add another parameter in the __init__() function:,If you add a method in the child class with the same name as a function in 
the parent class, the inheritance of the parent method will be overridden.",,,
Python ,Math,"Built-in Math Functions,The Math Module,Complete Math Module Reference","Example,Example,Example,Example,Example,Example","Python has a set of built-in math functions, including an extensive math module, that allows you to perform mathematical tasks on numbers.,The , and , functions can be used to find the lowest or highest value in an iterable:,The , function returns the absolute (positive) value of the specified number:,The , function returns the value of x to the power of y (x,).,Python has also a built-in module called ,, which extends the list of mathematical functions.,To use it, you must import the , module:,When you have imported the , module, you 
can start using methods and constants of the module.,The , method for example, returns the square root of a number:,The , method rounds a number upwards to 
its nearest integer, and the , 
method rounds a number downwards to its nearest integer, and returns the result:,The , constant, returns the value of 
PI (3.14...):,In our , you will 
find a complete reference of all methods and constants that belongs to the Math module.",,,
Python ,JSON,"JSON in Python,Parse JSON - Convert from JSON to Python,Convert from Python to JSON,Format the Result,Order the Result","Example,Example,Example,Example,Example,Example,Example,Example","JSON is a syntax for storing and exchanging data.,JSON is text, written with JavaScript object notation.,Python has a built-in package called ,, which can be used to work with JSON data.,If you have a JSON string, you can parse it by using the
, method.,If you have a Python object, you can convert it into a JSON string by 
using the , method.,You can convert Python objects of the following types, into JSON strings:,When you convert from Python to JSON, Python objects are converted into the JSON (JavaScript) equivalent:,The example above prints a JSON string, but it is not very easy to read, with no indentations and line breaks.,The , method has parameters to 
make it easier to read the result:,You can also define the separators, default value is ("", "", "": ""), which 
means using a comma and a space to separate each object, and a colon and a space 
to separate keys from values:,The , method has parameters to 
order the keys in the result:","dict,list,tuple,string,int,float,True,False,None",,
Python ,Try Except,"Exception Handling,Many Exceptions,Else,Finally,Raise an exception","Example,Example,Example,Example,Example,Example,Example","The , block lets you test a 
block of code for errors.,The , block lets you 
handle the error.,The , block lets you 
execute code when there is no error.,The , block lets you 
execute code, regardless of the result of the try- and except blocks.,When an error occurs, or exception as we call it, Python will normally stop and 
generate an error message.,These exceptions can be handled using the , statement:,Since the try block raises an error, the except block will be executed.,Without the try block, the program will crash and raise an error:,You can define as many exception blocks as you want, e.g. if you want to execute a 
special block of code for a special kind of error:,You can use the , keyword to define a 
block of code to be executed if no errors were raised:,The , block, if specified, will be executed 
regardless if the try block 
raises an error or not.,This can be useful to close objects and clean up resources:,The program can continue, without leaving the file object open.,As a Python developer you can choose to throw an exception if a condition occurs.,To throw (or raise) an exception, use the , keyword.,The , keyword is used to raise an 
exception.,You can define what kind of error to raise, and the text to print to the user.",,,
Python ,PIP,"What is PIP?,What is a Package?,Check if PIP is Installed,Install PIP,Download a Package,Using a Package,Find Packages,Remove a Package,List Packages","Example,Example,Example,Example,Example","PIP is a package manager for Python packages, or modules if you like.,A package contains all the files you need for a module.,Modules are Python code libraries you can include in your project.,Navigate your command line to the location of Python's script directory, and type the following:,If you do not have PIP installed, you can download and install it from this page:
,
,Downloading a package is very easy.,Open the command line interface and tell PIP to download the package you 
want.,Navigate your command line to the location of Python's script directory, and type the following:,Now you have downloaded and installed your first package!,Once the package is installed, it is ready to use.,Import the ""camelcase"" package into your project.,Find more packages at ,.,Use the , command to remove a package:,The PIP Package Manager will ask you to confirm that you want to remove the 
camelcase package:,Press , and the package will be removed.,Use the , command to list all the packages installed on your system:",,,
Python ,Datetime,"Python Dates,Date Output,Creating Date Objects,The strftime() Method","Example,Example,Example,Example","A date in Python is not a data type of its own, but we can import a module 
named , to work with dates as date 
objects.,When we execute the code from the example above the result will be:,The date contains year, month, day, hour, minute, second, and microsecond.,The , module has many methods to return information about the date 
object.,Here are a few examples, you will learn more about them later in this 
chapter: ,To create a date, we can use the , class (constructor) of the
, module.,The , class requires three parameters to create a date: year, 
month, day.,The , class also takes parameters for time and timezone (hour, 
minute, second, microsecond, tzone), but they are optional, and has a default 
value of ,, (, for timezone).,The , object has a method for formatting date objects into readable strings.,The method is called ,, and takes one parameter, 
,, to specify the format of the returned string:,A reference of all the legal format codes:",,,
Python ,Classes and Objects,"Python Classes/Objects,Create a Class,Create Object,The __init__() Function,Object Methods,The self Parameter,Modify Object Properties,Delete Object Properties,Delete Objects,The pass Statement","Example,Example,Example,Example,Example,Example,Example,Example,Example","Python is an object oriented programming language.,Almost everything in Python is an object, with its properties and methods.,A Class is like an object constructor, or a ""blueprint"" for creating objects.,To create a class, use the keyword ,:,Now we can use the class named MyClass to create objects:,The examples above are classes and objects in their simplest form, and are 
not really useful in real life applications.,To understand the meaning of classes we have to understand the built-in __init__() 
function.,All classes have a function called __init__(), which is always executed when 
the class is being initiated.,Use the __init__() function to assign values to object properties, or other 
operations that are necessary to do when the object 
is being created:,Objects can also contain methods. Methods in objects are functions that 
belong to the object.,Let us create a method in the Person class:,The , parameter is a reference to the 
current instance of the class, and is used to access variables that belongs to the class.,It does not have to be named , , you can 
call it whatever you like, but it has to be the first parameter of any function 
in the class:,You can modify properties on objects like this:,You can delete properties on objects by using the , keyword:,You can delete objects by using the , keyword:, definitions cannot be empty, but if 
you for some reason have a , definition with no content, put in the , statement to avoid getting an error.",,,
Python ,RegEx,"RegEx Module,RegEx in Python,RegEx Functions,Metacharacters,Special Sequences,Sets,The findall() Function,The search() Function,The split() Function,The sub() Function,Match Object","Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example","A RegEx, or Regular Expression, is a sequence of characters that forms a search pattern.,RegEx can be used to check if a string contains the specified search pattern.,Python has a built-in package called ,, which can be used to work with 
Regular Expressions.,Import the , module:,When you have imported the , module, you 
can start using regular expressions:,The , module offers a set of functions that allows 
us to search a string for a match:,Metacharacters are characters with a special meaning:,A special sequence is a , followed by one of the characters in the list below, and has a special meaning:,A set is a set of characters inside a pair of square brackets , with a special meaning:,The , function returns a list containing all matches.,The list contains the matches in the order they are found.,If no matches are found, an empty list is returned:,The , function searches the string 
for a match, and returns a , if there is a 
match.,If there is more than one match, 
only the first occurrence of the match will be returned:,If no matches are found, the value , is returned:,The , function returns a list where 
the string has been split at each match:,You can control the number of occurrences by specifying the 
, 
parameter:,The , function replaces the matches with 
the text of your choice:,You can control the number of replacements by specifying the
, 
parameter:,A Match Object is an object containing information 
about the search and the result.,The Match object has properties and methods used to retrieve information 
about the search, and the result:,
, returns a tuple containing the start-, and end positions of the match.,
, returns the string passed into the function,
, returns the part of the string where there was a match,
",,,
Python ,Lambda,"Syntax,Why Use Lambda Functions?","Example,Example,Example,Example,Example,Example","A lambda function is a small anonymous function.,A lambda function can take any number of arguments, but can only have one expression.,The expression is executed and the result is returned:,Lambda functions can take any number of arguments:,The power of lambda is better shown when you use them as an anonymous 
function inside another function.,Say you have a function definition that takes one argument, and that argument 
will be multiplied with an unknown number:,Use that function definition to make a function that always doubles the 
number you send in:,Or, use the same function definition to make a function that always , the 
number you send in:,Or, use the same function definition to make both functions, in the same 
program:",,,
Python ,Arrays,"Arrays,What is an Array?,Access the Elements of an Array,The Length of an Array,Looping Array Elements,Adding Array Elements,Removing Array Elements,Array Methods","Example,Example,Example,Example,Example,Example,Example,Example","Arrays are used to store multiple values in one single variable:,An array is a special variable, which can hold more than one value at a time.,If you have a list of items (a list of car names, for example), storing the 
cars in single variables could look like this:,However, what if you want to loop through the cars and find a specific one? 
And what if you had not 3 cars, but 300?,The solution is an array!,An array can hold many values under a single name, and you can 
access the values by referring to an index number.,You refer to an array element by referring to the ,.,Use the , method to return the length of 
an array (the number of elements in an array).,You can use the , loop to loop through all the elements of an array.,You can use the , method to add an element to an array.,You can use the , method to remove an element from the array.,You can also use the , method to remove an element from the array.,Python has a set of built-in methods that you can use on lists/arrays.",,,
Python ,Functions,"Creating a Function,Calling a Function,Arguments,Parameters or Arguments?,Number of Arguments,Arbitrary Arguments, *args,Keyword Arguments,Arbitrary Keyword Arguments, **kwargs,Default Parameter Value,Passing a List as an Argument,Return Values,The pass Statement,Recursion","Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example","A function is a block of code which only runs when it is called.,You can pass data, known as parameters, into a function.,A function can return data as a result.,In Python a function is defined using the , 
keyword:,To call a function, use the function name followed by parenthesis:,Information can be passed into functions as arguments.,Arguments are specified after the function name, inside the parentheses.
You can add as many arguments as you want, just separate them with a comma.,
The following example has a function with one argument (fname).
When the function is called, we pass along a first name,
which is used inside the function to print the full name:
,The terms , and , can be used for the same thing: information that are passed into a function.,By default, a function must be called with the correct number of arguments. 
Meaning that if your function expects 2 arguments, you have to call the function 
with 2 arguments, not more, and not less. ,If you do not know how many arguments that will be passed into your function,
add a , before the parameter name in the function definition.,This way the function will receive a , of arguments, and can access the items accordingly:,You can also send arguments with the , = , syntax.,This way the order of the arguments does not matter.,If you do not know how many keyword arguments that will be passed into your function,
add two asterisk: , before the parameter name in the function definition.,This way the function will receive a , of arguments, and can access the items accordingly:,The following example shows how to use a default parameter value.,If we call the function without argument, it uses the default value:,You can send any data types of argument to a function (string, number, list, dictionary etc.), 
and it will
be treated as the same data type inside the function.,E.g. if you send a List as an argument, it will still be a List when it 
reaches the function:,To let a function return a value, use the , 
statement:, definitions cannot be empty, but if 
you for some reason have a , definition with no content, put in the , statement to avoid getting an error.,Python also accepts function recursion, which means a defined function can call itself.,Recursion is a common mathematical and programming concept. It means that a function calls itself. This has the benefit of meaning that you can loop through data to reach a result.,The developer should be very careful with recursion as it can be quite easy to slip into writing a function which never terminates, or one that uses excess amounts of memory or processor power. However, when written correctly recursion can be a very efficient and mathematically-elegant approach to programming.,In this example, , is a function that we have defined to call itself (""recurse""). We use the , variable as the data, which decrements (,) every time we recurse. The recursion ends when the condition is not greater than 0 (i.e. when it is 0).,To a new developer it can take some time to work out how exactly this works, best way to find out is by testing and modifying it.",,,
Python ,For Loops,"Python For Loops,Looping Through a String,The break Statement,The continue Statement,The range() Function,Else in For Loop,Nested Loops,The pass Statement","Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example","A , loop is used for iterating over a sequence (that is either a list, a tuple, 
a dictionary, a set, or a string).,This is less like the , keyword in other programming languages, and works more like an iterator method as found in other object-orientated programming languages.,With the , loop we can execute a set of statements, once for each item in a list, tuple, set etc.,The , loop does not require an indexing variable to set beforehand.,Even strings are iterable objects, they contain a sequence of characters:,With the , statement we can stop the 
loop before it has looped through all the items:,With the , statement we can stop the 
current iteration of the loop, and continue with the next:,The , function returns a sequence of numbers, starting from 0 by default, and increments by 1 (by default), and ends at a specified number.,The , function defaults to 0 as a starting value, however it is possible to specify the starting value by adding a parameter: ,, which 
means values from 2 to 6 (but not including 6):,The , function defaults to increment the sequence by 1,
however it is possible to specify the increment value by adding a third parameter: ,:,The , keyword in a
, loop specifies a block of code to be 
executed when the loop is finished:,A nested loop is a loop inside a loop.,The ""inner loop"" will be executed one time for each iteration of the ""outer 
loop"":, loops cannot be empty, but if you for 
some reason have a , loop with no content, put in the , statement to avoid getting an error.",,,
W3Schools ,Python Certificate,How Does It Work?,,,"Study for free at W3Schools.com,Study at your own speed,Test your skills with W3Schools online quizzes,Apply for your certificate by paying an exam fee,Take your exam online, at any time, and from any location",,
Python ,Quiz,"The Test,Count Your Score",,"You can test your Python skills with W3Schools' Quiz.,The test contains 25 questions and there is no time limit.,The test is not official, it's just a nice way to see how much you know, or don't know, about 
Python.,You will get 1 point for each correct answer. At the end of the Quiz,
your total score will be displayed. Maximum score is 25 points.",,,
Python ,Exercises,"Exercises,Count Your Score",,"You can test your Python skills with W3Schools' Exercises.,We have gathered a variety of Python exercises (with answers) for each Python Chapter.,Try to solve an exercise by filling in the missing parts of a code. If you're stuck, hit the ""Show Answer"" button to see what you've done wrong.,You will get 1 point for
each correct answer. Your score and total score will always be displayed.",,,
Python ,Examples,"Python Syntax,Python Variables,Python Numbers,Python Casting,Python Strings,Python Operators,Python Lists,Python Tuples,Python Sets,Python Dictionaries,Python If ... Else,Python While Loop,Python For Loop,Python Functions,Python Lambda,Python Arrays,Python Classes and Objects,Python Iterators,Python Modules,Python Dates,Python Math,Python JSON,Python RegEx,Python PIP,Python Try Except,Python File Handling,Python MySQL,Python MongoDB",,,,,
How to Add Two Numbers in Python,,Add Two Numbers with User Input,"Example,Example","Learn how to add two numbers in Python.,Use the , operator to add two numbers:,In this example, the user must input two numbers. Then we print the sum by calculating (adding) the two numbers:",,,
Python ,Online Compiler,"Python Compiler (Editor),Python Compiler Explained",,"With our online Python compiler, you can edit Python code, and view the result in your browser.,Click on the ""Try it Yourself"" button to see how it works.,The window to the left is editable - edit the code and click on the ""Run"" button to view the result in the right window.,The icons are explained in the table below:",,,
How to Reverse a String in Python,,"Example Explained,Create a Function,Example Explained","Example,The String to Reverse,Slice the String,Print the List,Example,Create a Function,Slice the String,Return the String,Call the Function,Print the Result","Learn how to reverse a String in Python.,There is no built-in function to reverse a String in Python.,The fastest (and easiest?) way is to use a slice that steps backwards, ,.,We have a string, ""Hello World"", which we want to reverse:,Create a slice that starts at the end of the string, and moves backwards.,In this particular example, the slice statement , means start at 
the end of the string and end at position 0, move with the 
step ,, , one, which means one step backwards. ,Now we have a string , that reads ""Hello 
World"" backwards.,Print the String to demonstrate the result,If you like to have a function where you can send your strings, and return 
them 
backwards, you can create a function and insert the code from the 
example above.,Create a function that takes a String as an argument.,Slice the string starting at the end of the string and move backwards.,Return the backward String,Call the function, with a string as a parameter:,Print the result:",,,
Python ,cmath Module,"Python cmath Module,cMath Methods,cMath Constants",,"Python has a built-in module that you can use for mathematical tasks for 
complex numbers.,The methods in this module accepts ,, ,,  and , numbers. It even accepts Python objects that has a , or , method.,The methods in this module almost always return a complex number. If the return 
value can be expressed as a real number, the return value has an imaginary part 
of 0.,The , module has a set of methods and constants.",,,
Python ,math Module,"Python math Module,Math Methods,Math Constants",,"Python has a built-in module that you can use for mathematical tasks.,The , module has a set of methods and constants.",,,
How to Remove Duplicates From a Python List,,"Example Explained,Create a Function,Example Explained","Example,A List with Duplicates,Create a Dictionary,Convert Into a List,Print the List,Example,Create a Function,Create a Dictionary,Convert Into a List,Return List,Call the Function,Print the Result","Learn how to remove duplicates from a List in Python.,First we have a List that contains duplicates:,Create a dictionary, 
using the List items as keys. This will automatically remove any duplicates 
because dictionaries cannot have duplicate keys.,Then, convert the dictionary back into a list:,Now we have a List without any duplicates, and it has the same order as the 
original List.,Print the List to demonstrate the result,If you like to have a function where you can send your lists, and get them 
back without duplicates, you can create a function and insert the code from the 
example above.,Create a function that takes a List as an argument.,Create a dictionary, using this List items as keys.,Convert the dictionary into a list.,Return the list,Call the function, with a list as a parameter:,Print the result:",,,
Python ,statistics Module,"Python statistics Module,Statistics Methods",,"Python has a built-in module that you can use to calculate mathematical 
statistics of numeric data.,The , module was new in Python 3.4.",,,
"Python , Module",Requests,"Definition and Usage,Download and Install the Requests Module,Syntax,Methods",Example,"The , module allows you to send HTTP 
requests using Python.,The HTTP request returns a , with all the response data 
(content, encoding, status, etc).,Navigate your command line to the location of PIP, and type the following:",,,
Python ,Random Module,,,"Python has a built-in module that you can use to make random numbers.,The , module has a set of methods:",,,
Python ,Glossary,,,This is a list of all the features explained in the Python Tutorial.,,,
Python ,Built-in Exceptions,Built-in Exceptions,,The table below shows built-in exceptions that are usually raised in Python:,,,
Python ,Keywords,,,"Python has a set of keywords that are reserved words that cannot be used as 
variable names, function names, or any other identifiers:",,,
Python ,File Methods,,,"Python has a set of methods available for the file object.,Learn more about the file object in our ,.",,,
Python ,Set Methods,,,"Python has a set of built-in methods that you can use on sets.,Learn more about sets in our ,.",,,
Python ,Tuple Methods,,,"Python has two built-in methods that you can use on tuples.,Learn more about tuples in our ,.",,,
Python ,Dictionary Methods,,,"Python has a set of built-in methods that you can use on dictionaries.,Learn more about dictionaries in our ,.",,,
Python ,List/Array Methods,,,"Python has a set of built-in methods that you can use on lists/arrays.,Learn more about lists in our ,.,Learn more about arrays in our ,.",,,
Python ,String Methods,,,"Python has a set of built-in methods that you can use on strings.,Learn more about strings in our ,.",,,
Python ,Built in Functions,,,Python has a set of built-in functions.,,,
Python ,Reference,"Python Reference,Module Reference",,This section contains a Python reference documentation.,,,
Python MongoDB ,Limit,Limit the Result,"Customers,Example","To limit the result in MongoDB, we use the , 
method.,The , method takes one parameter, a number defining how many documents 
to return.,Consider you have a ""customers"" collection:",,,
Python MongoDB ,Update,"Update Collection,Update Many","Example,Example","You can update a record, or document as it is called in MongoDB, by using 
the , method.,The first parameter of the , method 
is a query object defining which document to update.,The second parameter  
is an object defining the new values of the document.,To update , documents that meets the criteria of the query, use 
the , method.",,,
Python MongoDB ,Drop Collection,Delete Collection,Example,"You can delete a table, or collection as it is called in MongoDB, by using 
the , method.,The , method returns true if the collection was dropped successfully, 
and false if the collection does not exist.",,,
Python MongoDB ,Delete Document,"Delete Document,Delete Many Documents,Delete All Documents in a Collection","Example,Example,Example","To delete one document, we use the
, method.,The first parameter of the , method 
is a query object defining which document to delete.,To delete more than one document, use the
, method.,The first parameter of the , method 
is a query object defining which documents to delete.,To delete all documents in a collection, pass an empty query object to the , method:",,,
Python MongoDB ,Sort,"Sort the Result,Sort Descending","Example,Example","Use the , method to sort the result in 
ascending or descending order.,The , method takes one parameter for 
""fieldname"" and one parameter for ""direction"" (ascending is the default 
direction).,Use the value -1 as the second parameter to sort descending.",,,
Python MongoDB ,Query,"Filter the Result,Advanced Query,Filter With Regular Expressions","Example,Example,Example","When finding documents in a collection, you can filter the result by using a 
query object.,The first argument of the , method 
is a query object, and is used to limit the search.,To make advanced queries you can use modifiers as values in the query object.,E.g. to find the documents where the ""address"" field starts with the letter ""S"" 
or higher (alphabetically), use the greater than modifier:
,:,You can also use regular expressions as a modifier.,To find only the documents where the ""address"" field starts with the letter ""S"", use the regular 
expression ,:",,,
Python MongoDB ,Find,"Find One,Find All,Return Only Some Fields","Example,Example,Example,Example","To select data from a collection in MongoDB, we can use the
, method.,The , method returns the first 
occurrence in the selection.,To select data from a table in MongoDB, we can also use the
, method.,The , method returns all 
occurrences in the selection.,The first parameter of the , method 
is a query object. In this example we use an empty query object, which selects 
all documents in the collection.,The second parameter of the , method 
is an object describing which fields to include in the result.,This parameter is optional, and if omitted, all fields will be included in 
the result.",,,
Python MongoDB ,Insert Document,"Insert Into Collection,Return the _id Field,Insert Multiple Documents,Insert Multiple Documents, with Specified IDs","Example,Example,Example,Example","To insert a record, or , as it is called in MongoDB, into a collection, we use the 
, method.,The first parameter of the , method is a 
dictionary containing the 
name(s) and value(s) of each field in the document you want to insert.,The , method returns a InsertOneResult object, which has a 
property, ,, that holds the id of the inserted document.,If you do not specify an , field, then MongoDB 
will add one for you and assign a unique id for each document.,In the example above no , field was 
specified, so MongoDB assigned a unique 
_id for the record (document).,To insert multiple documents into a collection in MongoDB, we use the 
, method.,The first parameter of the , method 
is a list containing dictionaries with the data you want to insert:,The , method returns a InsertManyResult object, which has a property, ,, that holds the ids of the inserted documents.,If you do not want MongoDB to assign unique ids for you document, you can 
specify the _id field when you insert the document(s).,Remember that the values has to be unique. Two documents cannot have the same 
_id.",,,
Python MongoDB ,Create Collection,"Creating a Collection,Check if Collection Exists","Example,Example,Example","To create a collection in MongoDB, use database object and specify the name 
of the collection you want to create.,MongoDB will create the collection if it does not exist.,MongoDB waits until you have inserted a document before it actually creates the collection.,You can check if a collection exist in a database by listing all collections:,Or you can check a specific collection by name:",,,
Python MongoDB ,Create Database,"Creating a Database,Check if Database Exists","Example,Example,Example","To create a database in MongoDB, start by creating a MongoClient object, then specify a connection URL with the 
correct ip address and the name of the database you want to create.,MongoDB will create the database if it does not exist, and make a connection 
to it.,MongoDB waits until you have created a collection (table), with at least one document (record) before it actually creates the database (and collection).,You can check if a database exist by listing all databases in you system:,Or you can check a specific database by name:",,,
Python ,MongoDB,"MongoDB,PyMongo,Test PyMongo",,"Python can be used in database applications.,One of the most popular NoSQL database is MongoDB.,MongoDB stores data in JSON-like documents, which makes the database very 
flexible and scalable.,To be able to experiment with the code examples in this tutorial, you will need access to a MongoDB database.,You can download a free MongoDB database at
,.,Or get started right away with a MongoDB cloud service at 
,.,Python needs a MongoDB driver to access the MongoDB database.,In this tutorial we will use the MongoDB driver ""PyMongo"".,We recommend that you use PIP to install ""PyMongo"".,PIP is most likely already installed in your Python environment.,Navigate your command line to the location of PIP, and type the following:,Now you have downloaded and installed a mongoDB driver.,To test if the installation was successful, or if you already have ""pymongo"" 
installed, create a Python page with 
the following content:,If the above code was executed with no errors, ""pymongo"" is installed and 
ready to be used.",,,
Python MySQL ,Join,"Join Two or More Tables,LEFT JOIN,RIGHT JOIN","users,products,Example,Example,Example","You can combine rows from two or more tables, based on a related column 
between them, by using a JOIN statement.,Consider you have a ""users"" table and a ""products"" table:,These two tables can be combined by using users' , field and products' 
, field.,In the example above, Hannah, and Michael were excluded from the result, that 
is because INNER JOIN only shows the records where there is a match.,If you want to show all users, even if they do not have a favorite product, 
use the LEFT JOIN statement:,If you want to return all products, and the users who have them as their 
favorite, even if no user have them as their favorite, use the RIGHT JOIN 
statement:",,,
Python MySQL ,Limit,"Limit the Result,Start From Another Position","Example,Example","You can limit the number of records returned from the query, by using the ""LIMIT"" statement:,If you want to return five records, starting from the third record, you 
can use the ""OFFSET"" keyword:",,,
Python MySQL ,Update Table,"Update Table,Prevent SQL Injection","Example,Example","You can update existing records in a table by using 
the ""UPDATE"" statement:,It is considered a good practice to escape the values of any query, also in 
update statements.,This is to prevent SQL injections, which is a common web hacking technique to  
destroy or misuse your database.,The mysql.connector module uses the placeholder , to escape values in the delete statement:",,,
Python MySQL ,Drop Table,"Delete a Table,Drop Only if Exist","Example,Example","You can delete an existing table by using 
the ""DROP TABLE"" statement:,If the the table you want to delete is already deleted, or for any other 
reason does not exist, you can use the IF EXISTS keyword to avoid getting an 
error.",,,
Python MySQL ,Delete From By,"Delete Record,Prevent SQL Injection","Example,Example","You can delete records from an existing table by using the ""DELETE FROM"" statement:,It is considered a good practice to escape the values of any query, also in delete statements.,This is to prevent SQL injections, which is a common web hacking technique to  
destroy or misuse your database.,The mysql.connector module uses the placeholder , to escape values in the delete statement:",,,
Python MySQL ,Order By,"Sort the Result,ORDER BY DESC","Example,Example","Use the ORDER BY statement to sort the result in ascending or descending 
order.,The ORDER BY keyword sorts the result ascending by default. To sort the 
result in descending order, use the DESC keyword.,Use the DESC keyword to sort the result in a descending order.",,,
