H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
React Tutorial,,"Learning by Examples,Learning by Exercises,React Quiz,Create React App,Run the React Application,What You Should Already Know",Example:,"Our ""Show React"" tool makes it easy to demonstrate React. It shows both the code and the result.,Test your React skills with a quiz.,To learn and test React, you should set up a React Environment on 
your computer.,This tutorial uses the ,.,The , tool is an officially supported way to create React applications., is required to use ,.,Open your terminal in the directory you would like to create your 
application.,Run this command to create a React application named
,:, will set up everything you need to run a React application.,Run this command to move to the , directory:,Run this command to execute the React application ,:,A new browser window will pop up with your newly created React App! If not, open your browser and type 
, in the address bar.,The result:,Before starting with React.JS, you should have intermediate experience in:,You should also have some experience with the new JavaScript features 
introduced in ECMAScript 6 (ES6), you will learn about them in the , chapter.","HTML,CSS,JavaScript",,
"React , Hooks",,Effect Cleanup,"Example:,1. No dependency passed:,2. An empty array:,3. Props or state values:,Example:,Example:,Example:","The , Hook allows you to perform side effects in your components.,Some examples of side effects are: fetching data, directly updating the DOM, and timers., accepts two arguments. The second argument is optional.,Let's use a timer as an example.,But wait!! I keeps counting even though it should only count once!, runs on every render. That means that when the count changes, a render happens, which then triggers another effect.,This is not what we want. There are several ways to control when side effects run.,We should always include the second parameter which accepts an array.
We can optionally pass dependencies to , in this array.,So, to fix this issue, let's only run this effect on the initial render.,If there are multiple dependencies, they should be included in the , dependency array.,Some effects require cleanup to reduce memory leaks.,Timeouts, subscriptions, event listeners, and other effects that are no longer needed should be disposed.,We do this by including a return function at the end of the , Hook.",,,
"React , Hook",,"Import ,Initialize ,Read State,Update State,What Can State Hold,Updating Objects and Arrays in State","Example:,Example:,Example:,Example:,Example:,Example:,Example:","The React , Hook allows us to track state in a function component.,State generally refers to data or properites that need to be tracking in an application.,To use the , Hook, we first need to , it into our component.,Notice that we are destructuring , from , as it is a named export.,We initialize our state by calling , in our function component., accepts an initial state and returns two values:,Notice that again, we are destructuring the returned values from ,.,The first value, ,, is our current state.,The second value, ,, is the fuction that is used to update our state.,Lastly, we set the initial state to an empty string: ,We can now include our state anywhere in our component.,To update our state, we use our state updater function.,The , Hook can be used to keep track of strings, numbers, booleans, arrays, objects, and any combination of these!,We could create multiple state Hooks to track individual values.,Or, we can just use one state and include an object instead!,When state is updated, the entire state gets overwritten.,What if we only want to update the color of our car?,If we only called ,, this would remove the brand, model, and year from our state.,We can use the JavaScript spread operator to help us.,Because we need the current value of state, we pass a function into our , function.
This function receives the previous value.,We then return an object, spreading the , and overwriting only the color.","The current state.,A function that updates the state.",,
React Custom Hooks,,"Build a Hook,Example Explained","Example:,Example:","Hooks are reusable functions.,When you have component logic that needs to be used by multiple components, we can extract that logic to a custom Hook.,Custom Hooks start with ""use"". Example: ,.,In the following code, we are fetching data in our , component and displaying it.,We will use the , service to fetch fake data. This service is great for testing applications when there is no existing data.,To learn more, check out the , section.,Use the JSONPlaceholder service to fetch fake ""todo"" items and display the titles on the page:,The fetch logic may be needed in other components as well, so we will extract that into a custom Hook.,Move the fetch logic to a new file to be used as a custom Hook:,We have created a new file called , containing a function called , which contains all of the logic needed to fetch our data.,We removed the hard-coded URL and replaced it with a , variable that can be passed to the custom Hook.,Lastly, we are returning our data from our Hook.,In ,, we are importing our , Hook and utilizing it like any other Hook. This is where we pass in the URL to fetch data from.,Now we can reuse this custom Hook in any component to fetch data from any URL.",,,
React ,Quiz,"The Test,Count Your Score",,"You can test your React skills with W3Schools' Quiz.,The test contains 25 questions and there is no time limit. ,The test is not official, it's just a nice way to see how much you know, or don't know, about React.,You will get 1 point for each correct answer. At the end of the Quiz,
your total score will be displayed. Maximum score is 25 points.",,,
"React , Hook",,Solution,"Example:,Example:","The React , Hook returns a memoized callback function.,This allows us to isolate resource intensive functions so that they will not automatically run on every render.,The , Hook only runs when one of its dependencies update.,This can improve performance.,One reason to use , is to prevent a component from re-rendering unless its props have changed.,In this example, you might think that the , component will not re-render unless the , change:,Try running this and click the count increment button.,You will notice that the , component re-renders even when the , do not change.,Why does this not work? We are using ,, so the , component should not re-render since neither the , state nor the , function are changing when the count is incremented.,This is because of something called ""referential equality"".,Every time a component re-renders, its functions get recreated. Because of this, the , function has actually changed.,To fix this, we can use the , hook to prevent the function from being recreated unless necessary.,Use the , Hook to prevent the , component from re-rendering needlessly:,Now the , component will only re-render when the , prop changes.",,,
"React , Hook",,Syntax,Example:,"The , Hook is similar to the , Hook.,It allows for custom state logic.,If you find yourself keeping track of multiple pieces of state that rely on complex logic, , may be useful.,The useReducer Hook accepts two arguments.,The , function contains your custom state logic and the ,can be a simple value but generally will contain an object.,The , Hook returns the current ,and a ,method.,Here is an example of , in a counter app:,This is just the logic to keep track of the todo complete status.,All of the logic to add, delete, and complete a todo could be contained within a single
, Hook by adding more actions.",,,
React useContext Hook,,"React Context,The Problem,The Solution,Full Example","Example:,Example:","React Context is a way to manage state globally.,It can be used together with the , Hook to share state between
deeply nested components more easily than with , alone.,State should be held by the highest parent component in the stack that requires access to the state.,To illustrate, we have many nested components. The component at the top and bottom of the stack need access to the state.,To do this without Context, we will need to pass the state as ""props"" through each nested component. This is called ""prop drilling"".,Even though components 2-4 did not need the state, they had to pass the state along so that it could reach component 5.,The solution is to create context.,To create context, you must Import , and initialize 
it:,Next we'll use the Context Provider to wrap the tree of components that need the state Context.,Wrap child components in the Context Provider and supply the state value.,Now, all components in this tree will have access to the user Context.,In order to use the Context in a child component, we need to access it using the , Hook.,First, include the , in the import 
statement:,Then you can access the user Context in all components:",,,
"React , Hook",,"Does Not Cause Re-renders,Accessing DOM Elements,Tracking State Changes","Example:,Example:,Example:","The , Hook allows you to persist values between renders.,It can be used to store a mutable value that does not cause a re-render when updated.,It can be used to access a DOM element directly.,If we tried to count how many times our application renders using the , Hook, we would be caught in an infinite loop since this Hook itself causes a re-render.,To avoid this, we can use the , Hook., only returns one item. It returns an Object called ,.,When we initialize , we set the initial value: ,.,Run this on your computer and try typing in the input to see the application render count increase.,In general, we want to let React handle all DOM manipulation.,But there are some instances where , can be used without causing issues.,In React, we can add a , attribute to an element to access it directly in the DOM.,The , Hook can also be used to keep track of previous state values.,This is because we are able to persist , values between renders.,This time we use a combination of ,, ,, and , to keep track of the previous state.,In the ,, we are updating the , current value each time the , is updated by entering text into the input field.",,,
Styling React Using Sass,,"What is Sass,Can I use Sass?,Create a Sass file","my-sass.scss:,index.js:","Sass is a CSS pre-processor.,Sass files are executed on the server and sends CSS to the 
browser.,You can learn more about Sass in our
,.,If you use the , in your project, you can easily 
install and use Sass in your React projects.,Install Sass by running this command in your terminal:,Now you are ready to include Sass files in your project!,Create a Sass file the same way as you create CSS files, but Sass files have the 
file extension ,In Sass files you can use variables and other Sass functions:,Import the Sass file the same way as you imported a CSS file:",,,
