H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
R ,Tutorial,"Examples in Each Chapter,R Exercises,R Examples,R Quiz","Example,Example","With our ""Try it Yourself"" editor, you can edit R code and view the result.,Learn by examples! This tutorial supplements all explanations with clarifying examples.,
,Learn by taking a quiz! This quiz will give you a signal of how much you know about R.",,,
R ,For Loop,"For Loops,Break,Next,Yahtzee!,Nested Loops","Example,Example,Example,Example,Example,Example,Example","A , loop is used for iterating over a sequence:,This is less like the , keyword in other programming languages, and works more like an iterator
method as found in other object-orientated programming languages.,With the , loop we can execute a set of statements, once for each item in a vector, 
array, list, etc..,With the , statement, we can stop the loop before it has looped through all the items:,The loop will stop at ""cherry"" because we have chosen to finish the loop by using the , statement when 
, is equal to ""cherry"" (,).,With the , statement, we can skip an iteration without terminating the loop:,When the loop passes ""banana"", it will skip it and continue to loop.,To demonstrate a practical example, let us say we play a game of Yahtzee!,If the loop reaches the values ranging from 1 to 5, it prints ""No Yahtzee"" and its number. When it
reaches the value 6, it prints ""Yahtzee!"" and its number.,You can also have a loop inside of a loop:",,,
R ,While Loop,"Loops,R While Loops,Break,Next,Yahtzee!","Example,Example,Example,Example","Loops can execute a block of code as long as a specified condition is reached.,Loops are handy because they save time, reduce errors, and they make code more readable.,R has two loop commands:,With the , loop we can execute a set of statements as long as a condition is TRUE:,In the example above, the loop will continue to produce numbers ranging from 
1 to 5. The loop will stop at 6 because , is FALSE.,The , loop requires relevant variables to be ready, in this example we 
need to define an indexing variable, ,, which we set to 1.,With the , statement, we can stop the loop even if the while condition is TRUE:,The loop will stop at 3 because we have chosen to finish the loop by using the , statement when , is equal to 4 (,).,With the , statement, we can skip an iteration without terminating the loop:,When the loop passes the value 3, it will skip it and continue to loop.,To demonstrate a practical example, let us say we play a game of Yahtzee!,If the loop passes the values ranging from 1 to 5, it prints ""No Yahtzee"". Whenever it passes the value
6, it prints ""Yahtzee!""."," loops, loops",,
R ,If ... Else,"Conditions and If Statements,Else If,If Else,Nested If Statements,AND,OR","Example,Example,Example,Example,Example,Example,Example","R supports the usual logical conditions from mathematics:,These conditions can be used in several ways, most commonly in ""if statements"" and loops.,An ""if statement"" is written with the , keyword, and it is used to specify a block of code to be executed if a condition is ,:,In this example we use two variables, , and ,,
which are used as a part of the if statement to test whether , is greater than ,.
As , is ,, and , is ,,
we know that 200 is greater than 33, and so we print to screen that ""b is greater than a"".,The , keyword is R's way of saying ""if the previous conditions were not true, then try this
condition"":,In this example , is equal to ,, so the first condition is not true, but the , condition is true, so we
print to screen that ""a and b are equal"".,You can use as many , statements as you want in R.,The , keyword catches anything which isn't caught by the preceding conditions:,In this example, , is greater than ,,
so the first condition is not true, also the , condition is not true,
so we go to the , condition and print to screen that ""a is greater than b"".,You can also use , without
,:,You can also have , statements inside 
, statements, this is called ,
, statements.,The , symbol (and) is a logical operator, and 
is used to combine conditional statements:,The , symbol (or) is a logical operator, and is used to combine conditional statements:",,,
R ,Factors,"Factors,Factor Length,Access Factors,Change Item Value","Example,Example,Example,Example,Example,Example,Example","Factors are used to categorize data. Examples of factors are:,To create a factor, use the , function 
and add a vector as argument:,You can see from the example above that that the factor has four levels (categories): Classic, Jazz, Pop and Rock.,To only print the levels, use the , function:,You can also set the levels, by adding the , argument inside the 
, function:,Use the , function to find out how many items there are in the factor:,To access the items in a factor, refer to the index number, using , brackets:,To change the value of a specific item, refer to the index number:,Note that you cannot change the value of a specific item if it is not already 
specified in the factor. The following example will produce an error:,However, if you have already specified it inside the , argument, it will work:","Demography: Male/Female,Music: Rock, Pop, Classic, Jazz,Training: Strength, Stamina",,
R ,Matrices,"Matrices,Access Matrix Items,Access More Than One Row,Access More Than One Column,Add Rows and Columns,Remove Rows and Columns,Check if an Item Exists,Amount of Rows and Columns,Matrix Length,Loop Through a Matrix,Combine two Matrices","Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example","A matrix is a two dimensional data set with columns and rows.,A column is a vertical representation of data, while a row is a horizontal representation of data.,A matrix can be created with the , function. Specify the , and , parameters to get the amount of rows and columns:,You can also create a matrix with strings:,You can access the items by using , 
brackets. The first number ""1"" in the bracket specifies the row-position, while 
the second number ""2"" specifies the column-position: ,The whole row can be accessed if you specify a comma , the number in the bracket:,The whole column can be accessed if you specify a comma , the number in the bracket:,More than one row can be accessed if you use the , function:,More than one column can be accessed if you use the , function:,Use the , function to add additional columns in a Matrix:,Use the , function to add additional rows in a Matrix:,Use the , function to remove rows and columns in a Matrix:,To find out if a specified item is present in a matrix, use the , operator:,Use the , function to find the amount of rows and columns in a Matrix:,Use the , function to find the dimension of a Matrix:,You can loop through a Matrix using a , loop. The loop will start at the 
first row, moving right:,Again, you can use the , or , function to combine two or more matrices together:",,,
R ,Arrays,"Arrays,Access Array Items,Check if an Item Exists,Amount of Rows and Columns,Array Length,Loop Through an Array","Example,Example,Example,Example,Example,Example,Example","Compared to matrices, arrays can have more than two dimensions. ,We can use the , function to create an array, and the , parameter to specify the dimensions:,You can access the array elements by referring to the index position. You can use the , brackets to
access the desired elements from an array:,You can also access the whole row or column from a matrix in an array, by using the , function:,To find out if a specified item is present in an array, use the , operator:,Use the , function to find the amount of rows and columns in an array:,Use the , function to find the dimension of an array:,You can loop through the array items by using a , loop:",,,
R ,Vectors,"Vectors,Vector Length,Sort a Vector,Access Vectors,Change an Item,Repeat Vectors,Generating Sequenced Vectors","Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example","A vector is simply a list of items that are of the same type.,To combine the list of items to a vector, use the , function and separate the items by a comma.,In the example below, we create a vector variable called ,, 
that combine strings:,In this example, we create a vector that combines numerical values:,To create a vector with numerical values in a sequence, use the , operator:,You can also create numerical values with decimals in a sequence, but note that if the last element does not belong to the sequence, it is not used:,In the example below, we create a vector of logical values:,To find out how many items a vector has, use the , function:,To sort items in a vector alphabetically or numerically, use the , function:,You can access the vector items by referring to its index number inside brackets ,. The first item has index 1, the second item has index 2, and so on:,You can also access multiple elements by referring to different index 
positions with the , function:,You can also use negative index numbers to access all items except the ones specified:,To change the value of a specific item, refer to the index number:,To repeat vectors, use the , function:,One of the examples on top, showed you how to create a vector with numerical values in a sequence with the , operator:,To make bigger or smaller steps in a sequence, use the , function:, The , function has three parameters: , is where the sequence starts, , is where the sequence stops, and , is the interval of the
sequence.",,,
R ,Operators,"Operators,R Arithmetic Operators,R Assignment Operators,R Comparison Operators,R Logical Operators,R Miscellaneous Operators","Example,Example","Operators are used to perform operations on variables and values.,In the example below, we use the , operator to add together two values:,R divides the operators in the following groups:,Arithmetic operators are used with numeric values to perform common mathematical operations:,Assignment operators are used to assign values to variables:,Comparison operators are used to compare two values:,Logical operators are used to combine conditional statements:,Miscellaneous operators are used to manipulate data:","Arithmetic operators,Assignment operators,Comparison operators,Logical operators,Miscellaneous operators",,
R ,Data Frames,"Data Frames,Summarize the Data,Access Items,Add Rows,Add Columns,Remove Rows and Columns,Amount of Rows and Columns,Data Frame Length,Combining Data Frames","Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example","Data Frames are data displayed in a format as a table.,Data Frames can have different types of data inside it. While the first column can be ,, the
second and third can be , or ,. However, each column should have the same type of
data.,Use the , function to create a data frame:,Use the , function to summarize the data from a Data Frame:,We can use single brackets ,, double 
brackets , or , 
to access columns from a data frame:,Use the , function to add new rows in 
a Data Frame:,Use the , function to add new columns 
in a Data Frame:,Use the , function to remove rows and columns in a Data Frame:,Use the , function to find the amount of rows and columns in a Data Frame:,You can also use the , function to find the number of columns and , to find the number of rows:,Use the , function to find the number of columns in a Data Frame (similar to ,):,Use the , function to combine two or more data frames in R vertically:,And use the , function to combine two or more data frames in R horizontally:",,,
