H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
Sass ,Installation,"System Requirements for Sass,Official Sass Web Site,Install Sass",,"Read more about Sass at the official Sass web site:
,There are several ways to install Sass in your system. There are many 
applications that will get you up and running with Sass in a few minutes for 
Mac, Windows, and Linux. Some of these are free, but some are paid apps.,You can read more about them here:
"," - Sass is platform independent, - Sass works in Edge/IE (from IE 8), 
  Firefox, Chrome, Safari, Opera, - Sass is based on Ruby",,
Sass ,Numeric Functions,Sass Numeric Functions,,"The numeric functions are used to manipulate numeric values.,The following table lists all numeric functions in Sass:",,,
Sass ,String Functions,Sass String Functions,,"The string functions are used to manipulate and get information about 
strings.,Sass strings are 1-based. The first character in a string is at index 1, not 
0.,The following table lists all string functions in Sass:",,,
Sass ,Introduction,"What You Should Already Know,What is Sass?,Why Use Sass?,A Simple Example why Sass is Useful,How Does Sass Work?,Sass File Type,Sass Comments","Sass Example,Sass Example","Before you continue you should have a basic understanding of the following:,If you want to study these subjects first, find the tutorials on our
,.,Stylesheets are getting larger, more complex, 
and harder to maintain. This is where a CSS pre-processor can help.,Sass lets 
you use features that do not exist in CSS, like variables, nested rules, mixins, 
imports, 
inheritance, built-in functions, and other stuff.,Let's say we have a website with three main colors:,So, how many times do you need to type those HEX values? A LOT of times. And 
what about variations of the same colors? ,Instead of typing the above values a lot of times, you can use Sass and write this:,So, when using Sass, and the primary color changes, you only need to change 
it in one place.,A browser does not understand Sass code. Therefore, you will need a Sass 
pre-processor to convert Sass code into standard CSS.,This process is called transpiling. So, you need to give a transpiler 
(some kind of program) some Sass code and then get some CSS code back.,Sass files has the "".scss"" file extension. ,Sass supports standard CSS comments ,, 
and in addition it supports inline comments ,:","HTML,CSS, stands for ,yntactically ,wesome
  ,tyle,heet,Sass is an extension to CSS,Sass is a CSS pre-processor,Sass is completely compatible with all versions of CSS,Sass reduces repetition of CSS and therefore saves time,Sass was designed by Hampton Catlin and developed by Natalie Weizenbaum in 
  2006,Sass is free to download and use",,
Sass ,Tutorial,"Examples in Each Chapter,Sass Function References",Sass Example,"Our ""Show Sass"" tool makes it easy to learn Sass, it shows both the code and the result.,At W3Schools you will find complete references of all Sass functions with syntax and examples.",,,
Sass ,@extend and Inheritance,Sass @extend Directive,,"The , directive lets you share a set 
of CSS properties from one selector to another. ,The , directive is useful if 
you have almost identically styled elements that only differ in some 
small details.,The following Sass example first creates a basic style for buttons (this 
style will be 
used for most buttons). Then, we create one style for a ""Report"" button and one 
style for a ""Submit"" button. Both ""Report"" and ""Submit"" button inherit all the 
CSS properties from the .button-basic class, through the , directive. In 
addition, they have their own colors defined:,After compilation, the CSS will look like this:,By using the , directive, you do not need to 
specify several classes for an element in your HTML code, like this: <button 
class=""button-basic button-report"">Report this</button>. You just need to specify .button-report to get both sets of styles.,The , directive helps keep your Sass code very DRY.",,,
Sass ,Introspection Functions,Sass Introspection Functions,,"The introspection functions are rarely used when building a stylesheet. 
However, they are valuable if something does not work properly - to figure out 
what's going on: like debugging functions. ,The following table lists all introspection functions in Sass:",,,
Sass ,Color Functions,Sass Color Functions,,"We have divided the color functions in Sass into three parts: Set color 
functions, Get color functions, and Manipulate color functions:",,,
Sass ,Map Functions,Sass Map Functions,,"In Sass, the map data type represents one or more key/value pairs., It is also possible to use the
, from the previous page, 
with maps. Then the map will be treated as a list with two elements.,Sass maps are immutable (they cannot change). So, the map functions that return a 
map, will 
return a new map, and not change the original map.,The following table lists all map functions in Sass:",,,
Sass ,@mixin and @include,"Sass Mixins,Defining a Mixin,Using a Mixin,Passing Variables to a Mixin,Default Values for a Mixin,Using a Mixin For Vendor Prefixes",,"The , directive lets you create CSS 
code that is to be reused throughout the website.,The , directive is created to let you 
use (include) the mixin.,A mixin is defined with the , directive.,The following example creates a mixin named ""important-text"":,The , directive is used to include a mixin.,So, to include the important-text mixin created above:,The Sass transpiler will convert the above to normal CSS:,A mixin can also include other mixins:,Mixins accept arguments. This way you can pass variables to a mixin.,Here is how to define a mixin with arguments:,Notice that the arguments are set as variables and then used as the values 
(color and width) of the border property.,After compilation, the CSS will look like this:,It is also possible to define default values for mixin variables:,Then, you only need to specify the values that change when you include the 
mixin:,Another good use of a mixin is for vendor 
prefixes.,Here is an example for transform:,After compilation, the CSS will look like this:",,,
Sass ,Selector Functions,Sass Selector Functions,,"The selector functions are used to check and manipulate selectors. ,The following table lists all selector functions in Sass:",,,
Sass ,List Functions,Sass List Functions,,"The list functions are used to access values in a list, combine lists, and 
add items to lists.,Sass lists are immutable (they cannot change). So, the list functions that return a 
list, will 
return a new list, and not change the original list.,Sass lists are 1-based. The first list item in a list is at index 1, not 0.,The following table lists all list functions in Sass:",,,
