H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
SQL ,Tutorial,"Examples in Each Chapter,SQL Exercises,SQL Examples,SQL Quiz Test,SQL References,SQL Data Types",Example,"With our online SQL editor, you can edit the SQL statements, and click on a button to view the result.,Click on the ""Try it Yourself"" button to see how it works.,Learn by examples! This tutorial supplements all explanations with clarifying examples.,Test your SQL skills at W3Schools!,At W3Schools you will find a complete reference for keywords and function:,Data types and ranges for Microsoft Access, MySQL and SQL Server.",,,
SQL ,Self Join,"SQL Self Join,Demo Database,SQL Self Join Example",Example,"A self join is a regular join, but the table is joined with itself., and , are different table aliases for the same table.,In this tutorial we will use the well-known Northwind sample database.,Below is a selection from the ""Customers"" table:,The following SQL statement matches customers that are from the same city:",,,
"SQL , Keyword",FULL OUTER JOIN,"SQL FULL OUTER JOIN Keyword,Demo Database,SQL FULL OUTER JOIN Example",,"The , keyword returns all records when there is a match in 
left (table1) or right (table2) table records., , and 
, are the same., , can potentially return very large 
result-sets!,In this tutorial we will use the well-known Northwind sample database.,Below is a selection from the ""Customers"" table:,And a selection from the ""Orders"" table:,The following SQL statement selects all customers, and all orders:,A selection from the result set may look like this:, The , keyword returns all matching 
records from both tables whether the other table matches or not. So, if 
there are rows in ""Customers"" that do not have matches in ""Orders"", or if there 
are rows in ""Orders"" that do not have matches in ""Customers"", those rows will be 
listed as well.",,,
"SQL , Statement",SELECT INTO,"The SQL SELECT INTO Statement,SQL SELECT INTO Examples",,"The , statement copies data from one table into a new table.,Copy all columns into a new table:,Copy only some columns into a new table:,The new table will be created with the column-names and types as defined in the old table.
You can create new column names using the , clause.,The following SQL statement creates a backup copy of Customers:,The following SQL statement uses the , clause to copy the table into a new 
table in another database:,The following SQL statement copies only a few columns into a new table:,The following SQL statement copies only the German customers into a new table:,The following SQL statement copies data from more than one table into a new table:, , can also be used to create a 
new, empty table using the schema of another. Just add a 
, clause that 
causes the query to return no data:",,,
"SQL , Statement",INSERT INTO SELECT,"The SQL INSERT INTO SELECT Statement,Demo Database,SQL INSERT INTO SELECT Examples","Example,Example,Example","The , statement copies data from one table and 
inserts it into another table.,The , statement requires that 
the data types in source and target tables match., The existing records in the target table are unaffected.,Copy all columns from one table to another table:,Copy only some columns from one table into another table:,In this tutorial we will use the well-known Northwind sample database.,Below is a selection from the ""Customers"" table:,And a selection from the ""Suppliers"" table:,The following SQL statement copies ""Suppliers"" into ""Customers"" (the columns 
that are not filled with data, will contain NULL):,The following SQL statement copies ""Suppliers"" into ""Customers"" (fill all 
columns):,The following SQL statement copies only the German suppliers into ""Customers"":",,,
"SQL , Clause",HAVING,"The SQL HAVING Clause,Demo Database,SQL HAVING Examples,Demo Database,More HAVING Examples","Example,Example,Example,Example","The , clause was added to SQL because the 
, keyword cannot be 
used with aggregate functions.,Below is a selection from the ""Customers"" table in the Northwind sample 
database:,The following SQL statement lists the number of customers in each country. 
Only include countries with more than 5 customers:,The following SQL statement lists the number of customers in each country, 
sorted high to low (Only include countries with more than 5 customers):,Below is a selection from the ""Orders"" table in the Northwind sample database:,And a selection from the ""Employees"" table:,The following SQL statement lists the employees that have registered more 
than 10 orders:,The following SQL statement lists if the employees ""Davolio"" or ""Fuller"" have registered 
more than 25 orders:",,,
SQL ,ANY and ALL Operators,"The SQL ANY and ALL Operators,The SQL ANY Operator,The SQL ALL Operator,Demo Database,SQL ANY Examples,SQL ALL Examples","Example,Example,Example,Example,Example","The , and , operators allow you to perform a comparison between a single 
column value and a range of other values.,The , operator:, means that the condition will be true if the operation is true for 
any of the values in the range.,The , operator:, means that the condition will be true only if the operation is true 
for all values in the range. ,Below is a selection from the , table in the Northwind sample database:,And a selection from the , table:,The following SQL statement lists the ProductName if it 
finds ANY records in the OrderDetails table has Quantity equal to 10 (this will 
return TRUE because the Quantity column has some values of 10):,The following SQL statement lists the ProductName if it 
finds ANY records in the OrderDetails table has Quantity larger than 99 (this 
will return TRUE because the Quantity column has some values larger than 99):,The following SQL statement lists the ProductName if it 
finds ANY records in the OrderDetails table has Quantity larger than 1000 (this 
will return FALSE because the Quantity column has no values larger than 1000):,The following SQL statement lists ALL the product names:,The following SQL statement lists the ProductName if ALL the records in the 
OrderDetails table has Quantity equal to 10. This will of course return FALSE 
because the Quantity column has many different values (not only the value of 10):","returns a boolean value as a result,returns TRUE if ANY of the subquery values meet the condition,returns a boolean value as a result,returns TRUE if ALL of the subquery values meet the condition,is used with ,, 
  , and , statements",,
"SQL , Keyword",RIGHT JOIN,"SQL RIGHT JOIN Keyword,Demo Database,SQL RIGHT JOIN Example",Example,"The , keyword returns all records from the right table (table2), and the 
matching records from the left table (table1). The result is 0 records from the left side, 
if there is no match., In some databases , is called 
,.,In this tutorial we will use the well-known Northwind sample database.,Below is a selection from the ""Orders"" table:,And a selection from the ""Employees"" table:,The following SQL statement will return all employees, and any orders they 
might have placed:, The , keyword returns all records from the 
right table (Employees), even if there are no matches in the left table 
(Orders).",,,
"SQL , Keyword",LEFT JOIN,"SQL LEFT JOIN Keyword,Demo Database,SQL LEFT JOIN Example",Example,"The , keyword returns all records from the left table (table1), and the 
matching records from the right table (table2). The result is 0 records from the right side, 
if there is no match., In some databases LEFT JOIN is called LEFT OUTER JOIN.,In this tutorial we will use the well-known Northwind sample database.,Below is a selection from the ""Customers"" table:,And a selection from the ""Orders"" table:,The following SQL statement will select all customers, and any orders they 
might have:, The , keyword returns all records from the 
left table (Customers), even if there are no matches in the right table 
(Orders).",,,
SQL ,EXISTS Operator,"The SQL EXISTS Operator,Demo Database,SQL EXISTS Examples","Example,Example","The , operator is used to test for the existence of any record in a subquery.,The , operator returns TRUE if the subquery returns one or more records.,Below is a selection from the ""Products"" table in the Northwind sample database:,And a selection from the ""Suppliers"" table:,The following SQL statement returns TRUE and lists the suppliers with a product price less than 20:,The following SQL statement returns TRUE and lists the suppliers with a product price 
equal to 22:",,,
