H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
HTML Graphics,,"Google Maps,SVG,HTML Canvas",," lets you embed maps in HTML.,The , allows vector based graphics in HTML:,The , can be used to draw graphics on a web page:",,,
SVG ,Reference,SVG Elements,,,,,
SVG ,Examples,"Try-it Yourself Examples,SVG Examples",,"The examples below embed the SVG code directly into the HTML code.,This is supported by Firefox, Internet Explorer 9, Google Chrome, Opera, and 
Safari.,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
",,,
HTML Canvas, Coordinates,"Canvas Coordinates,Coordinates Example,Draw a Line,Draw a Circle","Example,Example","The HTML canvas is a two-dimensional grid.,The upper-left corner of the canvas has the coordinates (0,0),In the previous chapter, you saw this method used: fillRect(0,0,150,75).,This means: Start at the upper-left corner (0,0) and draw a 150x75 pixels rectangle.,Mouse over the rectangle below to see its x and y coordinates:,To draw a straight line on a canvas, use the following methods:,To actually draw the line, you must use one of the ""ink"" methods, like stroke().,To draw a circle on a canvas, use the following methods:","moveTo(,) - defines the starting point of the line,lineTo(,) - defines the ending point of the line,beginPath() - begins a path,arc(x,y,r,startangle,endangle) - creates an arc/curve. To create a circle with arc(): Set start angle to 0 and end angle to 2*Math.PI. The x and y parameters define the x- and y-coordinates of the center of the circle. The r parameter defines the radius of the circle.
 ",,
SVG Gradients - ,Radial,"SVG Radial Gradient - <radialGradient>,Example 1,Example 2","Example,Example","The <radialGradient> element is used to define a radial gradient.,The <radialGradient> element must be nested within a <defs> tag. The <defs> tag is short 
for definitions and contains definition of special 
elements (such as gradients).,Define an ellipse with a radial gradient from white to blue:,Here is the SVG code:,Define another ellipse with a radial gradient from white to blue:,Here is the SVG code:","The id attribute of the <radialGradient> tag defines a unique name for the gradient,The cx, cy and r attributes define the outermost 
  circle and the fx and fy define the innermost circle,The color range for a gradient can be composed of two or more colors. Each color 
  is specified with a <stop> tag. The offset attribute is used to define where the gradient color begin and end,The fill attribute links the ellipse element to the gradient","
 <svg height=""150"" width=""500"">,
 
<defs>,
   
<radialGradient id=""grad1"" cx=""50%"" cy=""50%"" r=""50%""
fx=""50%"" fy=""50%"">,
     
<stop offset=""0%"" style=""stop-color:rgb(255,255,255);,
      stop-opacity:0"" />,
     
<stop offset=""100%"" style=""stop-color:rgb(0,0,255);stop-opacity:1"" />,
   
</radialGradient>,
 
</defs>,
 
<ellipse cx=""200"" cy=""70"" rx=""85"" ry=""55""
fill=""url(#grad1)"" />,
</svg>
,
 <svg height=""150"" width=""500"">,
 
<defs>,
   
<radialGradient id=""grad2"" cx=""20%"" cy=""30%"" r=""30%"" fx=""50%"" fy=""50%"">,
     
<stop offset=""0%"" style=""stop-color:rgb(255,255,255);,
      stop-opacity:0"" />,
     
<stop offset=""100%"" style=""stop-color:rgb(0,0,255);stop-opacity:1"" />,
   
</radialGradient>,
 
</defs>,
 
<ellipse cx=""200"" cy=""70"" rx=""85"" ry=""55"" fill=""url(#grad2)"" />,
</svg>
",
HTML Canvas ,Tutorial,"What is HTML Canvas?,Browser Support,HTML Canvas Can Draw Text,HTML Canvas Can Draw Graphics,HTML Canvas Can be Animated,HTML Canvas Can be Interactive,HTML Canvas Can be Used in Games,Canvas Example",Example,"The HTML <canvas> element is used to draw graphics on a web page.,The graphic above is created with <canvas>.,It shows four elements: a red rectangle, a gradient rectangle,
a multicolor rectangle, and a multicolor text.,The HTML <canvas> element is used to draw graphics, on the fly, via scripting (usually JavaScript).,The <canvas> element is only a container for graphics. You must use a script to actually draw the graphics.,Canvas has several methods for drawing paths, boxes, circles, text, and adding images.,The numbers in the table specify the first browser version that fully supports the 
<canvas> element.,Canvas can draw colorful text, with or without animation. ,Canvas has great features for graphical data presentation with an imagery of 
graphs and charts. ,Canvas objects can move. Everything is possible: from simple bouncing balls 
to complex animations.,Canvas can respond to 
JavaScript events.,Canvas can respond to any user action (key clicks, mouse 
clicks, button clicks, finger movement).,Canvas' methods for animations, offer a lot of possibilities for HTML gaming 
applications.,In HTML, a <canvas> element looks like this:,The <canvas> element must have an id attribute so it can be referred to by JavaScript.,The width and height attribute is necessary to define the size of the canvas., You can have multiple <canvas> elements on one HTML page.,To add a border, use a style attribute:,The next chapters show how to draw on the canvas.",,"
<canvas id=""myCanvas"" width=""200"" height=""100""></canvas>,
<canvas id=""myCanvas"" width=""200"" height=""100""
style=""border:1px solid 
#000000;""></canvas>
",
HTML Canvas ,Gradients,"Canvas - Gradients,Using createLinearGradient(),Using createRadialGradient():","Example,Example","Gradients can be used to fill rectangles, circles, lines, text, etc. Shapes 
on the canvas are not limited to solid colors.,There are two different types of gradients:,Once we have a gradient object, we must add two or more color stops.,The addColorStop() method specifies the color stops, and its position along 
the gradient. Gradient positions can be anywhere between 0 to 1.,To use the gradient, set the fillStyle or strokeStyle property to the 
gradient, then draw the shape (rectangle, text, or a line).","createLinearGradient(,) - creates a linear gradient,createRadialGradient(,) - creates a radial/circular gradient",,
HTML Canvas ,Drawing,"Draw on the Canvas With JavaScript,Step 1: Find the Canvas Element,Step 2: Create a Drawing Object,Step 3: Draw on the Canvas",Example,"All drawing on the HTML canvas must be done with JavaScript:,First of all, you must find the <canvas> element.,This is done by using the HTML DOM method getElementById():,Secondly, you need a drawing object for the canvas.,The getContext() is a built-in HTML object, with properties and methods for 
drawing:,Finally, you can draw on the canvas.,Set the fill style of the drawing object to the color red:,The fillStyle property can be a CSS color, a gradient, or a pattern. The default fillStyle is black.,The fillRect(,) method draws a rectangle, filled with the fill style, on the canvas:",,"
 <script>,var canvas = document.getElementById(""myCanvas"");,
var ctx = canvas.getContext(""2d"");,
ctx.fillStyle = ""#FF0000"";,
ctx.fillRect(0, 0, 150, 75);,</script>,
",
HTML Canvas ,Images,Canvas - Images,Example,"To draw an image on a canvas, use the following method:","drawImage(,)",,
HTML Canvas ,Text,"Drawing Text on the Canvas,Using fillText(),Using strokeText(),Add Color and Center Text","Example,Example,Example","To draw text on a canvas, the most important property and methods are:","font - defines the font properties for the text,fillText(,) - draws ""filled"" text on the canvas,strokeText(,) - draws text on the canvas (no fill)",,
