H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
SciPy ,Tutorial,"Learning by Reading,Learning by Quiz Test,Learning by Exercises,Learning by Examples",Example,"We have created 10 tutorial pages for you to learn the fundamentals of SciPy:,Test your SciPy skills with a quiz test.,In our ""Try it Yourself"" editor, you can use the SciPy module, and modify the code to see the result.",,,
SciPy ,Sparse Data,"What is Sparse Data,How to Work With Sparse Data,CSR Matrix,Sparse Matrix Methods","Example,Example,Example,Example,Example,Example","Sparse data is data that has mostly unused elements (elements that don't carry any information ).,It can be an array like this one:,In scientific computing, when we are dealing with partial derivatives in linear algebra we will come across sparse data.,SciPy has a module, ,
that provides functions to deal with sparse data.,There are primarily two types of sparse matrices that we use:, - Compressed Sparse Column. For efficient arithmetic, 
fast column slicing., - Compressed Sparse Row. For fast row slicing, faster 
matrix vector products,We will use the ,matrix in this tutorial.,We can create CSR matrix by passing an arrray into function ,.,The example above returns:,Viewing stored data (not the zero items) with the , property:,Counting nonzeros with the , method:,Removing zero-entries from the matrix with the , method:,Eliminating duplicate entries with the , method:,Converting from csr to csc with the , method:",,,
SciPy ,Optimizers,"Optimizers in SciPy,Optimizing Functions,Roots of an Equation,Minimizing a Function,Finding Minima","Example,Example,Example","Optimizers are a set of procedures defined in SciPy that either find the minimum value of 
a function, or the root of an equation.,Essentially, all of the algorithms in Machine Learning are nothing more than a complex equation that needs to be minimized with the help of given data.,NumPy is capable of finding roots for polynomials and linear equations, but it can not find roots for , 
linear equations, like this one:,For that you can use SciPy's , function.,This function takes two required arguments:, - a function representing an equation., - an initial guess for the root.,The function returns an object with information regarding the solution.,The actual solution is given under attribute , 
of the returned object:,A function, in this context, represents a curve, curves have , and ,.,High points are called ,.,Low points are called ,.,The highest point in the whole curve is called ,, whereas the rest of them are called ,.,The lowest point in whole curve is called ,, whereas the rest of them are called ,.,We can use , function to minimize the function.,The , function takes the following arguments:, - a function representing an equation., - an initial guess for the root., - name of the method to use. Legal values:,
    ,
    ,
    ,
    ,
    ,
    ,
    , - function called after each iteration of optimization., - a dictionary defining extra params:
",,,
SciPy ,Spatial Data,"Working with Spatial Data,Triangulation,Convex Hull,KDTrees,Distance Matrix,Euclidean Distance,Cityblock Distance (Manhattan Distance),Cosine Distance,Hamming Distance","Example,Result:,Example,Result:,Example,Result:,Example,Result:,Example,Result:,Example,Result:,Example,Result:","Spatial data refers to data that is represented in a geometric space.,E.g. points on a coordinate system.,We deal with spatial data problems on many tasks.,E.g. finding if a point is inside a boundary or not.,SciPy provides us with the module ,, which has 
functions for working with 
spatial data.,A Triangulation of a polygon is to divide the polygon into multiple
triangles with which we can compute an area of the polygon.,A Triangulation , means creating surface composed triangles in which all
of the given points are on at least one vertex of any triangle in the surface.,One method to generate these triangulations through points is the , Triangulation.,A convex hull is the smallest polygon that covers all of the given points.,Use the , method to create a Convex Hull.,KDTrees are a datastructure optimized for nearest neighbor queries.,E.g. in a set of points using KDTrees we can efficiently ask which points are nearest to a certain given point.,The , method returns a KDTree object.,The , method returns the distance to the nearest neighbor , 
the location of the neighbors.,There are many Distance Metrics used to find various types of distances between two points in data science, Euclidean distsance, cosine distsance etc.,The distance between two vectors may not only be the length of straight line between them,
it can also be the angle between them from origin, or number of unit steps required etc.,Many of the Machine Learning algorithm's performance depends greatly on distance metrices.
E.g. ""K Nearest Neighbors"", or ""K Means"" etc.,Let us look at some of the Distance Metrices:,Find the euclidean distance between given points.,Is the distance computed using 4 degrees of movement.,E.g. we can only move: up, down, right, or left, not diagonally.,Is the value of cosine angle between the two points A and B.,Is the proportion of bits where two bits are difference.,It's a way to measure distance for binary sequences.",,,
SciPy ,Matlab Arrays,"Working With Matlab Arrays,Exporting Data in Matlab Format,Import Data from Matlab Format","Example,Example,Result:,Example,Result:,Example,Result:","We know that NumPy provides us with methods to persist the data in readable formats for 
Python.
But SciPy provides us with interoperability with Matlab as well.,SciPy provides us with the module ,, which has functions for working with 
Matlab arrays.,The , function allows us to export data in 
Matlab format.,The method takes the following parameters:,The , function allows us to import data from a 
Matlab file.,The function takes one required parameter:,
, - the file name of the saved data.
,It will return a structured array whose keys are the variable names, and the corresponding values are the variable values.,Use the variable name ""vec"" to display only the array from the matlab data:, We can see that the array originally was 1D,
but on extraction it has increased one dimension.,In order to resolve this we can pass an additional argument ,:",,,
SciPy ,Quiz,"The Test,Count Your Score",,"You can test your SciPy skills with W3Schools' Quiz.,The test contains 25 questions and there is no time limit.,The test is not official, it's just a nice way to see how much you know, or don't know, about 
SciPy.,You will get 1 point for each correct answer. At the end of the Quiz,
your total score will be displayed. Maximum score is 25 points.",,,
SciPy ,Statistical Significance Tests,"What is Statistical Significance Test?,T-Test,KS-Test,Statistical Description of Data,Normality Tests (Skewness and Kurtosis)","Example,Result:,Example,Result:,Example,Result:,Example,Result:,Example,Result:,Example,Result:","In statistics, statistical significance means that the result that was produced has a reason behind it, it was not produced randomly, or by chance.,SciPy provides us with a module called ,, which has functions for performing statistical significance tests.

,Here are some techniques and keywords that are important when performing such tests:,Hypothesis is an assumption about a parameter in population.,It assumes that the observation is not statistically significant.,It assumes that the observations are due to some reason.,Its alternate to Null Hypothesis.,For an assessment of a student we would take:, - as a null hypothesis,
and:, - as an alternate hypothesis.,When our hypothesis is testing for one side of the value only, it is called ""one tailed test"".,For the null hypothesis:,we can have alternate hypothesis:, or:,When our hypothesis is testing for both side of the values.,For the null hypothesis:,we can have alternate hypothesis:,In this case the mean is less than, or greater than k, and both sides are to be checked.,Alpha value is the level of significance.,How close to extremes the data must be for null hypothesis to be rejected.,It is usually taken as 0.01, 0.05, or 0.1.,P value tells how close to extreme the data actually is.,P value and alpha values are compared to establish the statistical significance.,If p value <= alpha we reject the null hypothesis and say that the data is statistically significant.
otherwise we accept the null hypothesis.,T-tests are used to determine if there is significant deference between means of two variables.
and lets us know if they belong to the same distribution.,It is a two tailed test.,The function , takes two samples of same size and produces a tuple of t-statistic and p-value.,If you want to return only the p-value, use the , property:,KS test is used to check if given values follow a distribution.,The function takes the value to be tested, and the CDF as two parameters.,It can be used as a one tailed or two tailed test.,By default it is two tailed. We can pass parameter alternative as a string of one of two-sided, less, or greater.,In order to see a summary of values in an array, we can use the , function.,It returns the following description:,Normality tests are based on the skewness and kurtosis.,The , function returns p value for the null hypothesis:,.,A measure of symmetry in data.,For normal distributions it is 0.,If it is negative, it means the data is skewed left.,If it is positive it means the data is skewed right.,A measure of whether the data is heavy or lightly tailed to a normal distribution.,Positive kurtosis means heavy tailed.,Negative kurtosis means lightly tailed.",,,
SciPy ,Constants,"Constants in SciPy,Constant Units,Unit Categories,Metric (SI) Prefixes:,Binary Prefixes:,Mass:,Angle:,Time:,Length:,Pressure:,Area:,Volume:,Speed:,Temperature:,Energy:,Power:,Force:","Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example","As SciPy is more focused on scientific implementations, it provides many built-in scientific constants.,These constants can be helpful when you are working with Data Science.,A list of all units under the constants module can be seen using the ,
function.,The units are placed under these categories:,Return the specified unit in ,(e.g. , 
  returns ,),Return the specified unit in ,(e.g. , 
  returns ,),Return the specified unit in ,(e.g. , 
  returns ,),Return the specified unit in ,(e.g. , returns ,),Return the specified unit in ,(e.g. , returns ,),Return the specified unit in ,(e.g. , returns ,),Return the specified unit in ,(e.g. , returns ,),Return the specified unit in ,(e.g. , returns ,),Return the specified unit in ,(e.g. 
, returns ,),Return the specified unit in ,(e.g. 
, returns ,),Return the specified unit in ,(e.g. , returns ,),Return the specified unit in ,(e.g. 
, returns ,),Return the specified unit in ,(e.g. , returns ,),Return the specified unit in ,(e.g. 
, returns ,)","Metric,Binary,Mass,Angle,Time,Length,Pressure,Volume,Speed,Temperature,Energy,Power,Force",,
SciPy ,Interpolation,"What is Interpolation?,How to Implement it in SciPy?,1D Interpolation,Spline Interpolation,Interpolation with Radial Basis Function","Example,Result:,Example,Result:,Example,Result:","Interpolation is a method for generating points between given points.,For example: for points 1 and 2, we may interpolate and find points 1.33 and 1.66.,Interpolation has many usage, in Machine Learning we often deal with missing data in a dataset,
interpolation is often used to substitute those values.,This method of filling values is called ,.,Apart from imputation, interpolation is often used where we need to smooth the discrete points in 
a dataset.,SciPy provides us with a module called ,
which has many functions to deal with interpolation:,The function , is used to interpolate a distribution with 1 variable.,It takes , and , points and returns
a callable function that can be called with new , and returns corresponding ,.,In 1D interpolation the points are fitted for a , whereas in Spline interpolation
the points are fitted against a , function defined with polynomials called splines.,The , function takes
, and ,
and produce a callable funciton that can be called with new ,.
,Radial basis function is a function that is defined corresponding to a fixed reference point.,The , function also takes , and ,
as arguments and produces a callable function that can be called with new ,.",,,
SciPy ,Graphs,"Working with Graphs,Adjacency Matrix,Connected Components,Dijkstra,Floyd Warshall,Bellman Ford,Depth First Order,Breadth First Order","Example,Example,Example,Example,Example,Example","Graphs are an essential data structure.,SciPy provides us with the module , for working with 
such data structures.,Adjacency matrix is a , matrix where ,
is the number of elements in a graph.,And the values represents the connection between the elements.,Example:,For a graph like this, with elements A, B and C, the connections are:,A & B are connected with weight 1.,A & C are connected with weight 2.,C & B is not connected.,The Adjency Matrix would look like this:,Below follows some of the most used methods for working with adjacency matrices.,Use the , method to find the shortest path in a graph from one element to 
another.,It takes following arguments:,Use the , method to find shortest path between all pairs of elements.,The , method can also find the shortest path between all pairs of elements, but this method can handle negative weights as well.,The , method returns a depth first traversal from a node.,This function takes following arguments:,The , method returns a breadth first traversal from a node.,This function takes following arguments:",,,
