H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
Statistics Tutorial,,"Learn Statistics,Learning by Examples",Example,"We have created 36 tutorial pages for you to learn more about some of the most important concepts in Statistics.,In our ""Try it Yourself"" editor, you can use Python modules and R code, and modify the code to see the result.",,,
Statistics - Quartiles and Percentiles,,"Quartiles,Calculating Quartiles with Programming,Percentiles,Calculating Percentiles with Programming","Example,Example,Example,Example","Quartiles and percentiles are a measures of variation, which describes how spread out the data is.,Quartiles and percentiles are both types of ,., are values that separate the data into four equal parts.,Here is a histogram of the age of all 934 Nobel Prize winners up to the year 2020, showing the ,:,The quartiles (Q,,Q,,Q,,Q,,Q,) are the values that separate each quarter.,Between Q, and Q, are the 25% lowest values in the data. Between Q, and Q, are the next 25%. And so on.,Quartiles can easily be found with many programming languages.,Using software and programming to calculate statistics is more common for bigger sets of data, as finding it manually becomes difficult., are values that separate the data into 100 equal parts.,For example, The 95th percentile separates the lowest 95% of the values from the top 5%,The 25th percentile (P,) is the same as the first quartile (Q,).,The 50th percentile (P,) is the same as the second quartile (Q,) and the median.,The 75th percentile (P,) is the same as the third quartile (Q,),Percentiles can easily be found with many programming languages.,Using software and programming to calculate statistics is more common for bigger sets of data, as finding it manually becomes difficult.","Q, is the smallest value in the data.,Q, is the value separating the first quarter from the second quarter of the data.,Q, is the middle value (median), separating the bottom from the top half.,Q, is the value separating the third quarter from the fourth quarter,Q, is the largest value in the data.",,
Statistics - Range,,"Range,Calculating the Range,Calculating the Range with Programming","Example,Example","The range is a measure of variation, which describes how spread out the data is.,The range is the difference between the smallest and the largest value of the data.,Range is the simplest measure of variation.,Here is a histogram of the age of all 934 Nobel Prize winners up to the year 2020, showing the ,:,The youngest winner was 17 years and the oldest was 97 years. The range of ages for Nobel Prize winners is then 80 years.,The range can only be calculated for numerical data.,First, find the smallest and largest values of this example:,Calculate the difference by substracting the smallest from the largest:,72 - 13 = ,The range can easily be found with many programming languages.,Using software and programming to calculate statistics is more common for bigger sets of data, as finding it manually becomes difficult.",,,
Statistics - Variation,,"The Variation of the Data,Range,Quartiles and Percentiles,Interquartile Range,Standard Deviation",,"Variation is a measure of how spread out the data is around the centre of the data.,Measures of variation are statistics of how far away the values in the observations (data points) are from each other.,There are different measures of variation. The most commonly used are:,Measures of variation combined with an average (measure of centre) gives a good picture of the distribution of the data.,The range is the difference between the smallest and the largest value of the data.,Range is the simplest measure of variation.,Here is a histogram of the age of all 934 Nobel Prize winners up to the year 2020, showing the ,:,The youngest winner was 17 years and the oldest was 97 years. The range of ages for Nobel Prize winners is then 80 years.,Quartiles and percentiles are ways of separating equal numbers of values in the data into parts., are values that separate the data into four equal parts., are values that separate the data into 100 equal parts.,Here is a histogram of the age of all 934 Nobel Prize winners up to the year 2020, showing the ,:,The quartiles (Q,,Q,,Q,,Q,,Q,) are the values that separate each quarter.,Between Q, and Q, are the 25% lowest values in the data. Between Q, and Q, are the next 25%. And so on.,Interquartile range is the difference between the first and third quartiles (Q, and Q,).,The 'middle half' of the data is between the first and third quartile.,Here is a histogram of the age of all 934 Nobel Prize winners up to the year 2020, showing the ,:,Here, the middle half of is between 51 and 69 years. The interquartile range for Nobel Prize winners is then 18 years.,Standard deviation is the most used measure of variation.,Standard deviation (σ) measures how far a 'typical' observation is from the average of the data (μ).,Standard deviation is important for many statistical methods.,Here is a histogram of the age of all 934 Nobel Prize winners up to the year 2020, showing ,:","Q, is the smallest value in the data.,Q, is the middle value (median).,Q, is the largest value in the data.",,
Statistics - Estimation,,"The Point Estimate,Confidence Intervals,The Confidence Level,The Margin of Error,Steps for Calculating the Confidence Interval",,"Point estimates are the most likely value for a ,.,Confidence intervals express the uncertainty of an estimated population parameter.,A point estimate is calculated from a ,.,The point estimate depends on the type of data:,One example could be:,Estimates are always ,. This uncertainty can be expressed with a ,.,The confidence interval is defined by a , and an ,.,This gives us a range of values that the true parameter is likely to be between.,For example that:,Here, 170 cm is the lower bound, and 190 cm is the upper bound.,The lower and upper bounds of a confidence interval is based on the ,.,Confidence levels can be expressed as percentages or decimal numbers, and the most commonly used are:,The higher the confidence level, the bigger the interval will be.,For example, the confidence intervals for the average height of people in Denmark might be:,We use this confidence level together with a probability distribution to decide how large the , is.,The margin of error is the distance between the point estimate and the lower and upper bounds.,The margin of error is based on the confidence level and the data we have from the sample.,For example, if the point estimate for the average height of people in denmark is 180 cm:,The following steps are used to calculate a confidence interval:,One , is that the sample is , from the population.,The other conditions depends on what type of parameter you are calculate the confidence interval for.,Commonly  estimated parameters are:,You will learn the steps for both types in the following pages.",": the number of occurences divided by the sample size.,: the , (the average) of the sample.,90% (0.90),95% (0.95),99% (0.99),Proportions (for qualitative data),Mean values (for numerical data)",,
Statistics - Interquartile Range,,"Interquartile Range,Calculating the Interquartile Range with Programming","Example,Example","Interquartile range is a measure of variation, which describes how spread out the data is.,Interquartile range is the difference between the first and third , (Q, and Q,).,The 'middle half' of the data is between the first and third quartile.,The first quartile is the value in the data that separates the bottom 25% of values from the top 75%.,The third quartile is the value in the data that separates the bottom 75% of the values from the top 25%,Here is a histogram of the age of all 934 Nobel Prize winners up to the year 2020, showing the ,:,Here, the middle half of is between 51 and 69 years. The interquartile range for Nobel Prize winners is then 18 years.,The interquartile range can easily be found with many programming languages.,Using software and programming to calculate statistics is more common for bigger sets of data, as finding it manually becomes difficult.",,,
Statistics - Standard Deviation,,"Standard Deviation,Calculating the Standard Deviation,Calculating the Standard Deviation with Programming,Statistics Symbol Reference","Example,Example,Example,Example","Standard deviation is the most commonly used measure of variation, which describes how spread out the data is.,Standard deviation (σ) measures how far a 'typical' observation is from the average of the data (μ).,Standard deviation is important for many statistical methods.,Here is a histogram of the age of all 934 Nobel Prize winners up to the year 2020, showing ,:,Each dotted line in the histogram shows a shift of one extra standard deviation.,If the data is ,You can calculate the standard deviation for both ,.,The formulas are , the same and uses different symbols to refer to the standard deviation (\(\sigma\)) and , standard deviation (\(s\)).,Calculating the , (\(\sigma\)) is done with this formula:,\(\displaystyle  \sigma = \sqrt{\frac{\sum (x_{i}-\mu)^2}{n}}\),Calculating the , (\(s\)) is done with this formula:,\(\displaystyle s = \sqrt{\frac{\sum (x_{i}-\bar{x})^2}{n-1}}\),\(n\) is the total number of observations.,\(\sum \) is the symbol for adding together a list of numbers.,\(x_{i}\) is the list of values in the data: \(x_{1}, x_{2}, x_{3}, \ldots \),\(\mu\) is the population mean and \(\bar{x}\) is the sample mean (average value).,\( (x_{i} - \mu ) \) and \( (x_{i} - \bar{x} ) \) are the differences between the values of the observations (\(x_{i}\)) and the mean.,Each difference is squared and added together.,Then the sum is divided by \(n\) or (\( n - 1 \)) and then we find the square root.,Using these 4 example values for calculating the ,:,We must first find the ,:,\(\displaystyle \mu = \frac{\sum x_{i}}{n} = \frac{4 + 11 + 7 + 14}{4} = \frac{36}{4} = \underline{9} \),Then we find the difference between each value and the mean \( (x_{i}- \mu)\):,Each value is then squared, or multiplied with itself \( ( x_{i}- \mu )^2\):,All of the squared differences are then added together \( \sum (x_{i} -\mu )^2\):,\( 25 + 4 + 4 + 25 = 58\),Then the sum is divided by the total number of observations, \( n \):,\( \displaystyle \frac{58}{4} = 14.5\),Finally, we take the square root of this number:
,\( \sqrt{14.5} \approx \underline{3.81} \),So, the standard deviation of the example values is roughly: \(3.81 \),The standard deviation can easily be calculated with many programming languages.,Using software and programming to calculate statistics is more common for bigger sets of data, as calculating by hand becomes difficult.","Roughly 68.3% of the data is within 1 standard deviation of the average (from μ-1σ to μ+1σ) ,Roughly 95.5% of the data is within 2 standard deviations of the average (from μ-2σ to μ+2σ) ,Roughly 99.7% of the data is within 3 standard deviations of the average (from μ-3σ to μ+3σ) ,\( 4-9 \; \:= -5 \),\( 11-9 = 2 \),\( 7-9 \; \:= -2 \),\( 14-9 = 5 \),\( (-5)^2 = (-5)(-5) = 25 \),\( 2^2 \; \; \; \; \; \, = 2*2 \; \; \; \; \; \; \; \: = 4 \),\( (-2)^2 = (-2)(-2) = 4 \),\( 5^2 \; \; \; \; \; \, = 5*5 \; \; \; \; \; \; \; \: = 25 \)",,
Statistics - Student's T Distribution,,"Student's T Distribution,Finding the P-Value of a T-Value,Finding the T-value of a P-Value","Example,Example,Example,Example","The student's t-distribution is similar to a , and used in statistical inference to adjust for uncertainty.,The t-distribution is used for estimation and hypothesis testing of a population , (average).,The t-distribution is adjusted for the extra uncertainty of estimating the mean.,If the sample is small, the t-distribution is wider. If the sample is big, the t-distribtution is narrower.,The bigger the sample size is, the closer the t-distribution gets to the standard normal distribution.,Below is a graph of a few different t-distributions.,Notice how some of the curves have bigger tails.,This is due to the uncertainty from a smaller sample size.,The green curve has the smallest sample size.,For the t-distribution this is expressed as 'degrees of freedom' (df), which is calculated by subtracting 1 from the sample size (n).,For example a sample size of 30 will make 29 degrees of freedom for the t-distribution.,The t-distribution is used to find , and , (probabilities) for estimation and hypothesis testing.,You can find the p-values of a t-value by using a , or with programming.,You can find the t-values of a p-value by using a , or with programming.",,,
Statistics - Normal Distribution,,"Normal Distribution,Different Mean and Standard Deviations,A Real Data Example of Normally Distributed Data,Probability Distributions",,"The normal distribution is an important probability distribution used in stastistics.,Many real world examples of data are normally distributed.,The normal distribution is described by the , (\(\mu\)) and the , (\(\sigma\)).,The normal distribution is often referred to as a 'bell curve' because of it's shape:,The area under the curve of the normal distribution represents probabilities for the data.,The area under the whole curve is equal to 1, or 100%,Here is a graph of a normal distribution with probabilities between standard deviations (\(\sigma\)):,The mean describes where the centre of the normal distribution is.,Here is a graph showing three different normal distributions with the , standard deviation but different means.,The standard deviation describes how spread out the normal distribution is.,Here is a graph showing three different normal distributions with the , mean but different standard deviations.,The purple cuve has the biggest standard deviation and the black curve has the smallest standard deviation.,The area under each of the curves is still 1, or 100%.,Real world data is often normally distributed.,Here is a histogram of the age of Nobel Prize winners when they won the prize:,The normal distribution drawn on top of the histogram is based on the population mean (\(\mu\)) and standard deviation (\(\sigma\)) of the real data.,We can see that the histogram close to a normal distribution.,Examples of real world variables that can be normally distributed:,Probability distributions are functions that calculates the probabilities of the outcomes of random variables.,Typical examples of random variables are coin tosses and dice rolls.,Here is an graph showing the results of a growing number of coin tosses and the expected values of the results (heads or tails).,The expected values of the coin toss is the probability distribution of the coin toss.,Notice how the result of random coin tosses gets closer to the expected values (50%) as the number of tosses increases.,Similarly, here is a graph showing the results of a growing number of dice rolls and the expected values of the results (from 1 to 6).,Notice again how the result of random dice rolls gets closer to the expected values (1/6, or 16.666%) as the number of rolls increases.,When the random variable is a , of dice rolls the results and expected values take a different shape.,The different shape comes from there being more ways of getting a sum of near the middle, than a small or large sum.,As we keep increasing the number of dice for a sum the shape of the results and expected values look more and more like a normal distribution.,Many real world variables follow a similar pattern and naturally form normal distributions.,Normally distributed varaiables can be analysed with well-known techniques.,You will learn about some of the most common and useful techniques in the following pages.","Most of the values are around the centre (\(\mu\)),The , and mean are equal,It has only one ,It is symmetric, meaning it decreases the same amount on the left and the right of the centre ,Roughly 68.3% of the data is within 1 standard deviation of the average (from μ-1σ to μ+1σ) ,Roughly 95.5% of the data is within 2 standard deviations of the average (from μ-2σ to μ+2σ) ,Roughly 99.7% of the data is within 3 standard deviations of the average (from μ-3σ to μ+3σ) ,Test scores,Height,Birth weight",,
Statistics - Statistical Inference,,"Statistical Inference,Estimation,Hypothesis Testing,Probability Distributions",,"Using data analysis and statistics to make conclusions about a , is called statistical inference.,The main types of statistical inference are:,Statistics from a sample are used to estimate population ,.,The most likely value is called a ,.,There is , uncertainty when estimating.,The uncertainty is often expressed as , defined by a likely lowest and highest value for the parameter.,An example could be a confidence interval for the number of bicycles a Dutch person owns:, is a method to check if a claim about a population is true. More precisely, it checks how likely it is that a hypothesis is true is based on the sample data.,There are different types of hypothesis testing.,The steps of the test depends on:,Some examples of claims or questions that can be checked with hypothesis testing:,Statistical inference methods rely on probability calculation and probability distributions.,You will learn about the most important probability distributions in the next pages.","Estimation,Hypothesis testing,Type of data (categorical or numerical),If you are looking a at:,A single group,Comparing one group to another,Comparing the same group before and after a change,90% of Australians are left handed,Is the average weight of dogs more than 40kg?,Do doctors make more money than lawyers?",,
