H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
XML ,Tutorial,"Why Study XML?,What You Will Learn,Important XML Standards,Learn by Examples,XML Quiz Test","XML Example 1,XML Example 2","XML plays an important role in many different IT systems.,XML is often used for distributing data over the Internet.,It is important (for all types of software developers!) to have a good understanding of XML.,This tutorial will give you a solid understanding of XML:,This tutorial will also dig deep into the following important XML standards:,Examples are better than 1000 words. Examples are often easier to understand 
than text explanations.,This tutorial supplements all explanations with clarifying ""Try it Yourself"" examples.,Test your XML skills at W3Schools!","What is XML?,How does XML work?,How can I use XML?,What can I use XML for?","
<?xml version=""1.0"" encoding=""UTF-8""?>,
<note>,  <to>Tove</to>,
  <from>Jani</from>,
  <heading>Reminder</heading>,
  <body>Don't forget me this weekend!</body>,
</note>
,
<?xml version=""1.0"" encoding=""UTF-8""?>,<breakfast_menu>,
<food>,    <name>Belgian Waffles</name>,    
<price>$5.95</price>,    <description>,   Two of our famous 
Belgian Waffles with plenty of real maple syrup,   </description>,    
<calories>650</calories>,</food>,<food>,    
<name>Strawberry Belgian Waffles</name>,    
<price>$7.95</price>,    <description>,    Light Belgian 
waffles covered with strawberries and whipped cream,    </description>,    
<calories>900</calories>,</food>,<food>,    
<name>Berry-Berry Belgian Waffles</name>,    
<price>$8.95</price>,    <description>,    Belgian 
waffles covered with assorted fresh berries and whipped 
cream,    </description>,    <calories>900</calories>,
</food>,<food>,    <name>French Toast</name>,    
<price>$4.50</price>,    <description>,    Thick slices made 
from our homemade sourdough bread,    </description>,    
<calories>600</calories>,</food>,<food>,    <name>Homestyle 
Breakfast</name>,    <price>$6.95</price>,    
<description>,    Two eggs, bacon or sausage, toast, and our ever-popular hash 
browns,    </description>,    <calories>950</calories>,
</food>,</breakfast_menu>
",
AJAX ,XML Example,"AJAX XML Example,Example Explained,The XML File","Example,LoadXMLDoc()","AJAX can be used for interactive communication with an XML file.,The following example will demonstrate how a web page can fetch information 
from an XML file with AJAX:,When a user clicks on the ""Get CD info"" button above, the loadDoc() 
function is executed.,The loadDoc() function creates an XMLHttpRequest object, adds the function 
to be executed when the server response is ready, and sends the request off to the server.,When the server response is ready, an HTML 
table is built, nodes (elements) are extracted from the XML file, and it finally updates the 
element ""demo"" with the HTML table filled with XML data:,The XML file used in the example above looks like this: "","".",,,
AJAX - Server ,Response,"The onreadystatechange Property,Using a Callback Function,Server Response Properties,Server Response Methods,The responseText Property,The responseXML Property,The getAllResponseHeaders() Method,The getResponseHeader() Method","Example,Example,Example,Example,Example,Example","The , property holds the status of the XMLHttpRequest.,The , property defines a function to be executed when the readyState changes.,The , property and the , property holds the status of the XMLHttpRequest object.,The onreadystatechange function is called every time the readyState changes. ,When readyState is 4 and status is 200, the response is ready:,The ""ajax_info.txt"" file used in the example above, is a simple text file and looks like this:,A callback function is a function passed as a parameter to another function.,If you have more than one AJAX task in a website, you should create one function for 
executing the XMLHttpRequest object, and one callback function for each 
AJAX task.,The function call should contain the URL and what function to call when the 
response is ready.,The , property returns the server response as a 
JavaScript string, and you can use it accordingly:,The XML HttpRequest object has an in-built XML parser.,The , property returns the server response as an XML DOM object.,Using this property you can parse the response as an XML DOM object:,The , method returns all header information from the server response.,The , method returns specific header information from the server response.",,"
  <h1>AJAX</h1>,<p>AJAX is not a programming language.</p>,<p>AJAX is a 
  technique for accessing web servers from a web page.</p>,<p>AJAX stands for 
  Asynchronous JavaScript And XML.</p>
",
AJAX ,Database Example,"AJAX Database Example,Example Explained - The showCustomer() Function,The AJAX Server Page","Example,showCustomer","AJAX can be used for interactive communication with a database.,The following example will demonstrate how a web page can fetch 
information from a database with AJAX:,When a user selects a customer in the dropdown list above, a function called ""showCustomer()"" is executed. The 
function is triggered by the ""onchange"" event:,The showCustomer() function does the following:,The page on the server called by the JavaScript above is an PHP file called ""getcustomer.php"".,The source code in ""getcustomer.php"" runs a query against a database, and returns the result in an HTML 
table:","Check if a customer is selected,Create an XMLHttpRequest object,Create the function to be executed when the server response is ready,Send the request off to a file on the server,Notice that a parameter (q) is added to the URL (with the content of the dropdown list)",,
AJAX ,Examples,,,"
,
Create a simple XMLHttpRequest, and retrieve data from a TXT file.
,
,
Create a XMLHttpRequest with a callback function, and retrieve data from a TXT file.
,
,
,
,
,
,
Create an XMLHttpRequest to retrieve data from an XML file.
,
,
Create an XMLHttpRequest to retrieve data from an XML file and display the data in an HTML table.
,
,
How a web page can communicate with a web server while a user type characters in an input field.
,
,
How a web page can communicate with a web server while a user type characters in an input field.
,
,
How a web page can fetch information from a database with AJAX.
,
,
,
,
,
,
",,,
XML ,Applications,"The XML Document Used,Display XML Data in an HTML Table,Display the First CD in an HTML div Element,Navigate Between the CDs,Show Album Information When Clicking On a CD","Example,Example,Example,Example","This chapter demonstrates some HTML applications using 
XML, HTTP, DOM, and JavaScript.,In this chapter we will use the XML file called ,.,This example loops through each <CD> element, and displays the values of the <ARTIST> and the 
<TITLE> elements in an HTML table:,For more information about using JavaScript and the XML DOM, go to
,This example uses a function to display the first CD element in an HTML element with id=""showCD"":,To navigate between the CDs, in the example above, add a 
next() and previous() function:,
The last example shows how you can display album information when the user clicks on a CD:",,"
<html>,<head>,<style>,table, th, td {,
  border: 1px solid black;,  border-collapse:collapse;,
},th, td {,  padding: 5px;,},</style>,
</head>,<body>,
  ,<button type=""button"" onclick=""loadXMLDoc()"">Get my CD collection</button>,
  <br><br>,<table id=""demo""></table>,<script>,function loadXMLDoc() {,  
var xmlhttp = new XMLHttpRequest();,  xmlhttp.onreadystatechange = 
function() {,    if (this.readyState == 4 && this.status == 200) {,      myFunction(this);,    
},  };,  xmlhttp.open(""GET"", ""cd_catalog.xml"", true);,  
xmlhttp.send();,},function myFunction(xml) {,  var i;,  
var xmlDoc = xml.responseXML;,  var table=""<tr><th>Artist</th><th>Title</th></tr>"";,  
var x = xmlDoc.getElementsByTagName(""CD"");,  for (i = 0; i <x.length; 
i++) { ,    table += ""<tr><td>"" +,    x[i].getElementsByTagName(""ARTIST"")[0].childNodes[0].nodeValue 
+,    ""</td><td>"" +,    x[i].getElementsByTagName(""TITLE"")[0].childNodes[0].nodeValue 
+,    ""</td></tr>"";,  },  
document.getElementById(""demo"").innerHTML = table;,},</script>,
,
</body>,
</html>",
AJAX ,ASP Example,"AJAX ASP Example,Example Explained,The ASP File - ""gethint.asp""","Example,Example","AJAX is used to create more interactive applications.,The following example will demonstrate how a web page can communicate with a 
web server while a user type characters in an input field:,In the example above, when a user types a character in the input field, a function 
called ""showHint()"" is executed.,The function is triggered by the onkeyup event.,Here is the HTML code:,Code explanation:,First, check if the input field is empty (str.length == 0). If it is, clear the 
content of the txtHint placeholder and exit the function.,However, if the input field is not empty, do the following:,The ASP file checks an array of names, and returns the corresponding name(s) to the 
browser:","Create an XMLHttpRequest object,Create the function to be executed when the server response is ready,Send the request off to an ASP file (gethint.asp) on the server,Notice that q parameter is added gethint.asp?q=""+str,The str variable holds the content of the input field","
<html>,<head>,<script>,function showHint(str) {,    
if (str.length == 0) { ,        
document.getElementById(""txtHint"").innerHTML = """";,        
return;,    } else {,        var xmlhttp = new 
XMLHttpRequest();,        xmlhttp.onreadystatechange = function() 
{,            if (this.readyState == 4 && 
this.status == 200) {,                document.getElementById(""txtHint"").innerHTML = 
this.responseText;,            
},        };,        xmlhttp.open(""GET"", ""gethint.asp?q="" + str, true);,        xmlhttp.send();,    
},},</script>,</head>,<body>,<p><b>Start typing a name in the 
input field below:</b></p>,<form> ,First name: <input type=""text"" 
onkeyup=""showHint(this.value)"">,</form>,<p>Suggestions: <span id=""txtHint""></span></p>,
</body>,</html>",
XML DOM ,Nodes,"DOM Example,Text is Always Stored in Text Nodes,The XML DOM Node Tree,Node Parents, Children, and Siblings,First Child - Last Child",,"According to the XML DOM, everything in an XML document is a ,:,Look at the following XML file (,):,The root node in the XML above is named <bookstore>.,All other nodes in the document are contained within <bookstore>.,The root node <bookstore> holds 4 <book> nodes.,The first <book> node holds the child nodes: <title>, <author>, <year>, and <price>.,The child nodes contain one text node each, ""Everyday Italian"", ""Giada 
De Laurentiis"", ""2005"", and ""30.00"".,A common error in DOM processing is to expect an element node to contain text. ,However, the text of an element node is stored in a text node.,In this example: ,, the element node <year> holds a text node with the value ""2005"". ,""2005"" is , the value of the <year> element!,The XML DOM views an XML document as a tree-structure. The tree structure is called a ,All nodes can be accessed through the tree. Their contents can be 
modified or deleted, and new elements can be created.,The node tree shows the set of nodes, and the connections between them. The tree starts at 
the root node and branches out to the text nodes at the lowest level of the tree:,The image above represents the XML file ,.,The nodes in the node tree have a hierarchical relationship to each other.,The terms parent, child, and sibling are used to describe the relationships. Parent nodes have 
children. Children on the same level are called siblings (brothers or sisters).,The following image illustrates a part of the node tree and the relationship between the nodes:,Because the XML data is structured in a tree form, it can be traversed without  
knowing the exact structure of the tree and without knowing the type of data contained within. ,You will learn more about traversing the node tree in a later chapter of this tutorial.,Look at the following XML fragment:,In the XML above, the <title> element is the first child of the <book> 
element, and the <price> element is the last child of the <book> element.,Furthermore, the <book> element is the parent node of the <title>, 
<author>, <year>, and <price> elements.","The entire document is a document node,Every XML element is an element node,The text in the XML elements are text nodes,Every attribute is an attribute node,Comments are comment nodes,In a node tree, the top node is called the root,Every node, except the root, has exactly one parent node,A node can have any number of children,A leaf is a node with no children,Siblings are nodes with the same parent","
<?xml version=""1.0"" encoding=""UTF-8""?>,
<bookstore>,
 
<book category=""cooking"">,
     
  <title lang=""en"">Everyday Italian</title>,
     
  <author>Giada De Laurentiis</author>,
     
  <year>2005</year>,
     
  <price>30.00</price>,
 
</book>,
 
<book category=""children"">,
     
  <title lang=""en"">Harry Potter</title>,
     
  <author>J K. Rowling</author>,
     
  <year>2005</year>,
     
  <price>29.99</price>,
 
</book>,
 
<book category=""web"">,
     
  <title lang=""en"">XQuery Kick Start</title>,
     
  <author>James McGovern</author>,
     
  <author>Per Bothner</author>,
     
  <author>Kurt Cagle</author>,
     
  <author>James Linn</author>,
     
  <author>Vaidyanathan Nagarajan</author>,
     
  <year>2003</year>,
     
  <price>49.99</price>,
 
</book>,
 
<book category=""web"" cover=""paperback"">,
     
  <title lang=""en"">Learning XML</title>,
     
  <author>Erik T. Ray</author>,
     
  <year>2003</year>,
     
  <price>39.95</price>,
 
</book>,
</bookstore>
,
<bookstore>,
   
  <book category=""cooking"">,
       
    <title lang=""en"">Everyday Italian</title>,
       
    <author>Giada De Laurentiis</author>,
       
    <year>2005</year>,
       
    <price>30.00</price>,
   
  </book>,
</bookstore>
",
"AJAX - Send a , To a Server",Request,"Send a Request To a Server,GET or POST?,GET Requests,POST Requests,The url - A File On a Server,Asynchronous - True or False?,The onreadystatechange Property,Synchronous Request","Example,Example,Example,Example,Example,Example,Example","The XMLHttpRequest object is used to exchange data with a 
server.,To send a request to a server, we use the open() and send() methods of the XMLHttpRequest object:,GET is simpler and faster than POST, and can be used in most cases.,However, always use POST requests when:,A simple GET request:,In the example above, you may get a cached result. To avoid this, add a unique ID to the URL:,If you want to send information with the GET method, add the information to the URL:,A simple POST request:,To POST data like an HTML form, add an HTTP header with setRequestHeader(). 
Specify the data you want to send in the send() method:,The url parameter of the open() method, is an address to a file on a server:,The file can be any kind of file, like .txt and 
.xml, or server scripting files like .asp and .php (which can perform  
actions on the server before sending the response back).,Server requests should be sent asynchronously.,The async parameter of the open() 
method should be set to true:,By sending asynchronously, the 
JavaScript does not have to wait for the server response, but can instead:,With the XMLHttpRequest object you can define a function to be executed when 
the request receives an answer.,The function is defined in the , property of the XMLHttpResponse object:,The ""ajax_info.txt"" file used in the example above, is a simple text file and looks like this:,You will learn more about onreadystatechange in a later chapter.,
,To execute a synchronous request, change the third parameter in the open() method to false:,Sometimes async = false are used for quick testing. You will also find 
synchronous requests in older JavaScript code.,Since the code will wait for server completion, there is no need for an onreadystatechange 
function:","A cached file is not an option (update a file or database on the server).,Sending a large amount of data to the server (POST has no size limitations).,Sending user input (which can contain unknown characters), POST is more robust and secure than GET.,execute other scripts while waiting for server response,deal with the response after the response is ready","
  <h1>AJAX</h1>,<p>AJAX is not a programming language.</p>,<p>AJAX is a 
  technique for accessing web servers from a web page.</p>,<p>AJAX stands for 
  Asynchronous JavaScript And XML.</p>
",
XML DOM ,Tutorial,"What is the DOM?,The HTML DOM,The XML DOM,Get the Value of an XML Element,Loading an XML File,
Example Explained,Loading an XML String,Programming Interface,XML DOM Properties,XML DOM Methods","Example,Example,Example,Example,Example","The DOM defines a standard for accessing and manipulating documents:,The HTML DOM defines a standard way for accessing and manipulating HTML documents. 
It presents an HTML document as a tree-structure.,The XML DOM defines a standard way for accessing and manipulating XML documents. 
It presents an XML document as a tree-structure.,
All 
HTML elements can be accessed through the HTML DOM.,This example changes the value of an HTML element with id=""demo"":,This example changes the value of the first <h1> element in an HTML document:, Even if the HTML document contains 
only ONE <h1> element you still have to specify the array index [0], 
because the getElementsByTagName() method always returns an array. ,
You can learn a lot more about the HTML DOM in our ,.,
All XML elements can be accessed through the XML DOM.,The XML DOM is:,In other words: ,This code retrieves the text value of the first <title> element in an 
XML document:,The XML file used in the examples below is ,.,This example reads ""books.xml"" into xmlDoc and retrieves the text value of the first <title> element in 
books.xml:,This example loads a text string into an XML DOM object, and  
extracts the info from it with JavaScript:,The DOM models XML as a set of node objects. The nodes can be accessed with 
JavaScript or other programming languages. In this tutorial we use JavaScript.,The programming interface to the DOM is defined by a set standard properties 
and methods., are often referred to as something that is (i.e. nodename 
is ""book"")., are often referred to as something that is done (i.e. delete 
""book"").,These are some typical DOM properties:,Note: In the list above, x is a node object.,Note: In the list above, x is a node object.","A standard object model for XML,A standard programming interface for XML,Platform- and language-independent,A W3C standard, - the XML DOM object created by the parser., - get the first <title> element, - the first child of the <title> element (the text node), - the value of the node (the text itself),x.nodeName - the name of x,x.nodeValue - the value of x,x.parentNode - the parent node of x,x.childNodes - the child nodes of x,x.attributes - the attributes nodes of x,x.getElementsByTagName(,) - get all elements with a specified tag name,x.appendChild(,) - insert a child node to x,x.removeChild(,) - remove a child node from x","
<h1 id=""demo"">This is a Heading</h1>,<script>,
document.getElementById(""demo"").innerHTML = ""Hello World!"";,</script>,
    <h1>This is a Heading</h1>,<h1>This is a Heading</h1>,<script>,
 document.getElementsByTagName(""h1"")[0].innerHTML = ""Hello World!"";,
 </script>,
<!DOCTYPE html>,
<html>,
<body>,
<p id=""demo""></p>,
<script>,
var xhttp = new XMLHttpRequest();,
xhttp.onreadystatechange = function() {,
    
if (this.readyState == 4 && this.status == 200) {,
    
myFunction(this);,
    },
};,
xhttp.open(""GET"", ""books.xml"", true);,
xhttp.send();,
function myFunction(xml) {,    var xmlDoc = xml.responseXML;,
    document.getElementById(""demo"").innerHTML =,
    xmlDoc.getElementsByTagName(""title"")[0].childNodes[0].nodeValue;,
},
</script>,
</body>,
</html>
,
 <html>,<body>,<p id=""demo""></p>,<script>,var text, parser, 
 xmlDoc;,text = ""<bookstore><book>"" +,""<title>Everyday 
 Italian</title>"" +,""<author>Giada De Laurentiis</author>"" +,
 ""<year>2005</year>"" +,""</book></bookstore>"";,parser = new DOMParser();,
 xmlDoc = parser.parseFromString(text,""text/xml"");,
 document.getElementById(""demo"").innerHTML =,;,
 </script>,</body>,</html>
",
