H1_leftside_heading,H1_rightside_heading,H2,H3,All_para,li,div,div_2
CSS ,Tutorial,"Examples in Each Chapter,CSS Examples,Use the Menu,CSS Templates,CSS Exercises,CSS Quiz,CSS References",CSS Example,"This CSS tutorial contains hundreds of CSS examples.,With our online editor, you can edit the CSS, and click on a button to view the result.,Learn from over 300 examples! With our editor, you can edit the CSS, and click on a
button to view the result.,We recommend reading this tutorial, in the sequence listed in the menu.,If you have a large screen, the menu will always be present on the left.,If you have a small screen, open the menu by clicking the top menu sign ,.,We have created some responsive W3.CSS templates for you to use.,You are free to modify, save, share, and use them in all your projects.,Test your CSS skills with a quiz.,At W3Schools you will find complete CSS references of all properties and selectors with syntax, examples, browser support, and more.",,,
CSS ,Layout - float and clear,"The float Property,Example - float: right;,Example - float: left;,Example - No float,Example - Float Next To Each Other","Example,Example,Example,Example","The CSS , property specifies 
how an element should float.,The CSS , property 
specifies what elements can float beside the cleared element and on which side.,The , property is used for 
positioning and formatting content e.g. let an image float left to the text in a 
container.,The , property can have one of the 
following values:,In its simplest use, the , property can be used to wrap text around images.,The following example specifies that an image should float to the , in a text:,The following example specifies that an image should float to the , in a text:,In the following example the image will be displayed just where it occurs in 
the text (float: none;):,Normally div elements will be displayed on top of each other. However, if we 
use , we can let elements float next to each other:"," , - The element floats to the left of its container, , - The element floats to the right of its container, , - The element does not float (will be displayed just where it occurs in the text). This is default, , - The element inherits the float value of its parent",,
CSS ,Layout - Overflow,"CSS Overflow,overflow: visible,overflow: hidden,overflow: scroll,overflow: auto,overflow-x and overflow-y,All CSS Overflow Properties","Example,Example,Example,Example,Example","The CSS , property controls what 
happens to content that is too big to fit into an area.,The , property specifies whether to clip 
the content or 
to add scrollbars when the content of an element is too big to fit in the specified 
area.,The , property has the following values:,By default, the overflow is ,, meaning that it is not clipped and it 
renders outside the element's box:,With the , value, the overflow is clipped, and the rest of the content is hidden:,Setting the value to ,, the overflow is clipped and a scrollbar is added to scroll inside the box. Note that this will add a scrollbar both horizontally and vertically (even if you do not need it):,The , value is similar to ,, 
but it adds scrollbars only when necessary:,The , and , properties specifies 
whether to change the overflow of content just horizontally or vertically (or 
both):, specifies what to do with the left/right edges of the 
content.,

, specifies what to do with the top/bottom edges of the 
content."," - Default. The overflow is not clipped. 
The content renders outside the element's box, - The overflow is clipped, and the rest of the content will be invisible, - The overflow is clipped, and a scrollbar is added to see the rest of the content, - Similar to ,, 
but it adds scrollbars only when necessary",,
"CSS , Property",Layout - The z-index,"The z-index Property,Another z-index Example,Without z-index, CSS Property","Example,Example,Example","The , property specifies the 
stack order of an element.,When elements are positioned, they can overlap other elements.,The , property specifies the stack order of an element (which element should be placed in front of, or behind, the others).,An element can have a positive or negative stack order:, , only works on , (position: absolute, 
position: relative, position: fixed, or position: sticky) and , 
(elements that are direct children of display: flex elements).,If two positioned elements overlap each other without a , 
specified, the element defined , will be shown on top.",,"
  <html>,<head>,<style>,.container {,  position: relative;,},
  ,.black-box {,  position: relative;,  z-index: 1;,  
  border: 2px solid black;,  height: 100px;,  margin: 30px;,},.gray-box {,  
  position: absolute;,  z-index: 3;,  background: lightgray;,  height: 60px; ,  
  width: 70%;,  left: 50px;,  top: 50px;,},.green-box {,  position: absolute;,  z-index: 2;,  background: lightgreen;,  
  width: 35%;,  left: 270px;,  top: -15px;,  height: 
  100px;,},</style>,</head>,<body>,
  ,<div class=""container"">,  <div 
  class=""black-box"">Black box</div>,  <div class=""gray-box"">Gray 
  box</div>,  <div class=""green-box"">Green box</div>,</div>,</body>,</html>,
  <html>,<head>,<style>,.container {,  position: relative;,},
  ,.black-box {,  position: relative;,  
  border: 2px solid black;,  height: 100px;,  margin: 30px;,},.gray-box {,  
  position: absolute;,  background: lightgray;,  height: 60px; ,  
  width: 70%;,  left: 50px;,  top: 50px;,},.green-box {,  position: absolute;,  background: lightgreen;,  
  width: 35%;,  left: 270px;,  top: -15px;,  height: 
  100px;,},</style>,</head>,<body>,
  ,<div class=""container"">,  <div 
  class=""black-box"">Black box</div>,  <div class=""gray-box"">Gray 
  box</div>,  <div class=""green-box"">Green box</div>,</div>,</body>,</html>",
CSS ,Pseudo-elements,"What are Pseudo-Elements?,Syntax,The ::first-line Pseudo-element,The ::first-letter Pseudo-element,Pseudo-elements and HTML Classes,Multiple Pseudo-elements,CSS - The ::before Pseudo-element,CSS - The ::after Pseudo-element,CSS - The ::marker Pseudo-element,CSS - The ::selection Pseudo-element,All CSS Pseudo Elements,All CSS Pseudo Classes","Example ,Example,Example,Example,Example,Example,Example,Example","A CSS pseudo-element is used to style specified parts of an element.,For example, it can be used to:,The syntax of pseudo-elements:,The , pseudo-element is used to add a special style 
to the first line of a text.,The following example formats the first line of the text in all <p> 
elements:, The , pseudo-element can only be applied to block-level 
elements.,The following properties apply to the , 
pseudo-element:,The , pseudo-element is used to add a special style to the first 
letter of a text.,The following example formats the first letter of the text in all <p> 
elements: , The , pseudo-element can only be applied to block-level 
elements.,The following properties apply to the ::first-letter pseudo- element: ,Pseudo-elements can be combined with HTML classes: ,The example above will display the first letter of paragraphs with class=""intro"", in 
red and in a larger size.,Several pseudo-elements can also be combined.,In the following example, the first letter of a paragraph will be red, in 
an xx-large font size. The rest of the first line will be blue, and in 
small-caps. The rest of the paragraph will be the default font size and color:,The , pseudo-element can be used to insert some content before the content of an element.,The following example inserts an image before the content of each <h1> element:,The , pseudo-element can be used to insert some content after the content of an element.,The following example inserts an image after the content of each <h1> element:,The , pseudo-element selects the 
markers of list items.,The following example styles the markers of list items:,The , pseudo-element matches the portion of an element that is 
selected by a user.,The following CSS properties can be applied to ,: 
,, 
,, ,, and ,.,The following example makes the selected text red on a yellow background:","Style the first letter, or line, of an element,Insert content before, or after, the content of an element ,font properties,color properties,background properties,word-spacing,letter-spacing,text-decoration,vertical-align,text-transform,line-height,clear, font properties, color properties , background properties,margin properties,padding properties,border properties,text-decoration,vertical-align (only if ""float"" is ""none""),text-transform,line-height,float,clear",,
CSS ,Layout - Horizontal & Vertical Align,"Center Align Elements,Center Align Text,Center an Image,Left and Right Align - Using position,Left and Right Align - Using float,The clearfix Hack,Center Vertically - Using padding,Center Vertically - Using line-height,Center Vertically - Using position & transform,Center Vertically - Using Flexbox","Example,Example,Example,Example,Example,Example,Example,Example,Example,Example,Example","To horizontally center a block element (like <div>), use ,Setting the width of the element will prevent it from stretching out to the 
edges of its container.,The element will then take up the specified width, and the remaining space 
will be split equally between the two margins:, Center aligning has no effect if the , property is not set 
(or set to 100%).,To just center the text inside an element, use , For more examples on how to align text, see the , chapter.,To center an image, set left and right margin to , and make it into a , element:,One method for aligning elements is to use ,:, Absolute positioned elements are removed from the normal flow, and can overlap elements.,Another method for aligning elements is to use the , property:,Then we can add the clearfix hack to the containing element to fix 
this problem:,There are many ways to center an element vertically in CSS. A simple solution is to use top and bottom ,:,To center both vertically and horizontally, use , and ,:,Another trick is to use the , property with a value that is equal 
to the , property:,If , and , 
are not options, another solution is to use positioning and the , property:, You will learn more about the transform property in our ,.,You can also use flexbox to center things. Just note that flexbox is not supported in IE10 and earlier versions:, You will learn more about Flexbox in our ,.",,,
CSS ,Opacity / Transparency,"Transparent Image,Transparent Hover Effect,Transparent Box,Transparency using RGBA,Text in Transparent Box,Example explained","Example,Example,Example,Example,Example,Example","The , property specifies the opacity/transparency of an element.,The , property can take a value from 0.0 - 1.0. The lower value, the more transparent:,The , property is often used together with the , 
selector to change the opacity on mouse-over:,The first CSS block is similar to the code in Example 1. In addition, we have added what should happen when a user hovers over one of the images. In this case we want the image to NOT be transparent when the user hovers over it. The CSS for this is ,.,When the mouse pointer moves away from the image, the image will be transparent again.,An example of reversed hover effect:,When using the , property to add transparency to the background of an element, all of its child elements 
inherit the same transparency. This can make the text inside a fully transparent element hard to read:,If you do not want to apply opacity to child elements, like in our example above, use , color values. 
The following example sets the opacity for the background color and not the text:,You learned from our ,, that you can use RGB as a color value. In addition to RGB, 
you can use an RGB color value with an alpha channel (RGBA) - which specifies the opacity for a color.,An RGBA color value is specified with: rgba(red, green, blue, ,). The 
, parameter is a number between 0.0 (fully transparent) and 1.0 (fully opaque)., You will learn more about RGBA Colors in our ,.,First, we create a <div> element (class=""background"") with a background image, and a border.
,Then we create another <div> (class=""transbox"") inside the first <div>. ,The 
<div class=""transbox""> have a background color, and a border - 
the div is transparent. ,Inside the transparent 
<div>, we add some text inside a <p> element.",,"
<html>,
<head>,
<style>,
div.background {,
    background: url(klematis.jpg) repeat;,
    border: 2px solid black;,
},
,
div.transbox {,
    margin: 30px;,
    background-color: #ffffff;,
    border: 1px solid black;,
  opacity: 0.6;,
},
,
div.transbox p {,
  margin: 5%;,
  font-weight: bold;,
    color: #000000;,
},
</style>,
</head>,
<body>,
,
<div class=""background"">,
  <div class=""transbox"">,
    <p>This is some text that is placed in the transparent box.</p>,
  </div>,
</div>,
,
</body>,
</html>
",
CSS ,Pseudo-classes,"What are Pseudo-classes?,Syntax,Anchor Pseudo-classes,Pseudo-classes and HTML Classes,Hover on <div>,Simple Tooltip Hover,CSS - The :first-child Pseudo-class,Match the first <p> element,Match the first <i> element in all <p> elements,Match all <i> elements in all first child <p> elements,CSS - The :lang Pseudo-class,More Examples,All CSS Pseudo Classes,All CSS Pseudo Elements","Example,Example,Example,Example,Example,Example,Example,Example","A pseudo-class is used to define a special state 
of an element.,For example, it can be used to:,The syntax of pseudo-classes:,Links can be displayed in different ways:,Pseudo-classes can be combined with HTML classes:,When you hover over the link in the example, it will change color:,An example of using the , pseudo-class on a <div> element:,Hover over a <div> element to show a <p> element (like a tooltip):,The , pseudo-class matches a specified element that is the first child of another element.,In the following example, the selector matches any <p> element that is the first child of any element:,In the following example, the selector matches the first <i> element in all <p> elements:,In the following example, the selector matches all <i> elements in <p> elements that are the first child of another element:,The , pseudo-class allows you to define special rules for different languages.,In the example below, , defines the quotation marks for <q> elements with lang=""no"":,
This example demonstrates how to add other styles to hyperlinks.,
This example demonstrates how to use the :focus pseudo-class.","Style an element when a user mouses over it,Style visited and unvisited links differently,Style an element when it gets focus","
<html>,
<head>,
<style>,
  q:lang(no) {,  quotes: ""~"" ""~"";,},
</style>,
</head>,
<body>,
<p>Some text <q lang=""no"">A quote in a paragraph</q> 
Some text.</p>,
</body>,
</html>
",
CSS ,Layout - display: inline-block,"The display: inline-block Value,Using inline-block to Create Navigation Links","Example,Example","Compared to ,, the major 
difference is that , allows 
to set a width and height on the element.,Also, with ,, the top and bottom margins/paddings are respected, 
but with , they are not.,Compared to ,, the major 
difference is that , does 
not add a line-break after the element, so the element can sit next to other 
elements.,The following example shows the different behavior of ,, , 
and ,:,One common use for , 
is to display list items horizontally instead of vertically. The following 
example creates horizontal navigation links:",,,
CSS ,Navigation Bar,"Demo: Navigation Bars,Navigation Bars,Navigation Bar = List of Links","Example,Example","Having easy-to-use navigation is important for any web site.,With CSS you can transform boring HTML menus into good-looking navigation bars.,A navigation bar needs standard HTML as a base.,In our examples we will build the navigation bar from a standard HTML list.,A navigation bar is basically a list of links, so using the <ul> and <li> elements makes perfect 
sense:,Now let's remove the bullets and the margins and padding from the list:,Example explained:,The code in the example above is the standard code used in both vertical, and horizontal navigation bars, which you will learn more about in the next chapters."," - Removes the bullets. A navigation bar 
does not need list markers,Set , and , 
to remove browser default settings","
<ul>,
 
<li><a href=""default.asp"">Home</a></li>,
 
<li><a href=""news.asp"">News</a></li>,
 
<li><a href=""contact.asp"">Contact</a></li>,
 
<li><a href=""about.asp"">About</a></li>,
</ul>
",
